epoch,alpha,q_assignment,q_mean,q_mean_pre_norm,q_tilde_mean,q_std,q_min,q_max,q_os_mean,q_os_std,p_gt_tau,p_at_qmax,q_cap,mean_normalize_q,ga_mode,ga_kappa_res_mean,ga_kappa_sc_mean,ga_frac_phi_neg_res,ga_cov_mean,mne_grad_match_scale,mne_ref_grad_norm,reg_grad_norm,reg_coeff_grad_norm,ce_grad_norm,reg_ce_ratio,ann_train_acc,ann_test_acc,train_loss
0.0,0.25,risk,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.1988931873929687e-06,0.6597937941551208,0.0,0.0,0.0,off,1.0,1.0,0.0,0.0,,,0.6715615638081703,6.715615638081703e-05,1.227729076556757,5.4699491657524866e-05,1.838,1.08,1773.761365890503
1.0,0.25,risk,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.1988931873929687e-06,0.6597937941551208,0.0,0.0,0.0,off,1.0,1.0,0.0,0.0,,,0.5470473523473255,5.470473523473255e-05,0.9398559045594542,5.820544933467723e-05,2.24,1.27,1744.3493905067444
2.0,0.25,risk,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.1988931873929687e-06,0.6597937941551208,0.0,0.0,0.0,off,1.0,1.0,0.0,0.0,,,0.4629600410356629,4.6296004103566294e-05,0.8794489239574003,5.264206122993543e-05,2.484,1.86,1730.9205250740051
3.0,0.25,risk,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.1988931873929687e-06,0.6597937941551208,0.0,0.0,0.0,off,1.0,1.0,0.0,0.0,,,0.3754260898674845,3.7542608986748454e-05,0.9114879317611823,4.1188267752715506e-05,2.834,3.47,1716.558569431305
4.0,0.25,risk,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.1988931873929687e-06,0.6597937941551208,0.0,0.0,0.0,off,1.0,1.0,0.0,0.0,,,0.33193728033971714,3.319372803397172e-05,0.9538998973654745,3.4797915510472024e-05,3.094,3.89,1701.9592714309692
5.0,0.25,risk,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.1988931873929687e-06,0.6597937941551208,0.0,0.0,0.0,off,1.0,1.0,0.0,0.0,,,0.2991805253581383,2.9918052535813835e-05,0.8605028335489807,3.476810461207025e-05,3.518,4.13,1686.13844871521
6.0,0.25,risk,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.1988931873929687e-06,0.6597937941551208,0.0,0.0,0.0,off,1.0,1.0,0.0,0.0,,,0.3039642840666002,3.0396428406660022e-05,1.023298495752215,2.9704361467194334e-05,4.02,5.02,1668.608082294464
7.0,0.25,risk,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.1988931873929687e-06,0.6597937941551208,0.0,0.0,0.0,off,1.0,1.0,0.0,0.0,,,0.28128655737732683,2.8128655737732684e-05,0.9572918694775536,2.938357321794034e-05,4.57,6.63,1652.4807198047638
8.0,0.25,risk,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.1988931873929687e-06,0.6597937941551208,0.0,0.0,0.0,off,1.0,1.0,0.0,0.0,,,0.26905219134247516,2.6905219134247515e-05,0.9352265944163922,2.8768663439299574e-05,4.892,6.53,1636.7123272418976
9.0,0.25,risk,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.1988931873929687e-06,0.6597937941551208,0.0,0.0,0.0,off,1.0,1.0,0.0,0.0,,,0.27972898903933413,2.7972898903933414e-05,1.0335897745181712,2.7063830925546402e-05,5.368,5.98,1618.9387373924255
10.0,0.25,risk,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.1988931873929687e-06,0.6597937941551208,0.0,0.0,0.0,off,1.0,1.0,0.0,0.0,,,0.28104547417110304,2.8104547417110306e-05,1.1230458001065053,2.5025290521940403e-05,5.854,7.81,1605.356440782547
11.0,0.25,risk,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.1988931873929687e-06,0.6597937941551208,0.0,0.0,0.0,off,1.0,1.0,0.0,0.0,,,0.28908820445827343,2.8908820445827343e-05,0.9323467069242212,3.100651316847197e-05,6.228,8.77,1589.902069568634
12.0,0.25,risk,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.1988931873929687e-06,0.6597937941551208,0.0,0.0,0.0,off,1.0,1.0,0.0,0.0,,,0.2938090170225725,2.938090170225725e-05,1.192486598142273,2.4638349603281563e-05,6.706,10.22,1574.6573250293732
13.0,0.25,risk,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.1988931873929687e-06,0.6597937941551208,0.0,0.0,0.0,off,1.0,1.0,0.0,0.0,,,0.31804106920604014,3.180410692060401e-05,1.1132884120490092,2.8567715765646476e-05,7.91,11.19,1556.8665387630463
