name,role,is_head,matched,n_params,out_channels,bn_name,if_name,risk_mean,risk_max,p_gt_tau,q_mean,q_max,q_os_mean,q_mean_pre_norm,kappa_mean
layer1.0,layer1,False,True,1728,64,layer1.1,layer1.2,6.818358421325684,7.650150299072266,1.0,26.273433685302734,29.600601196289062,26.273433685302734,3.0254788398742676,1.0
layer1.4,layer1,False,True,36864,64,layer1.5,layer1.6,0.49511462450027466,1.1969807147979736,0.03125,1.065187692642212,3.7879228591918945,1.065187692642212,3.0254788398742676,1.0
layer2.0,layer2,False,True,73728,128,layer2.1,layer2.2,0.6139583587646484,2.560478448867798,0.375,1.5089881420135498,9.241913795471191,1.5089881420135498,3.0254788398742676,1.0
layer2.4,layer2,False,True,147456,128,layer2.5,layer2.6,0.4788658618927002,0.5554598569869995,0.0078125,1.0017330646514893,1.221839427947998,1.0017330646514893,3.0254788398742676,1.0
layer3.0,layer3,False,True,294912,256,layer3.1,layer3.2,0.5607426166534424,1.0586565732955933,0.4609375,1.2875431776046753,3.234626293182373,1.2875431776046753,3.0254788398742676,1.0
layer3.4,layer3,False,True,589824,256,layer3.5,layer3.6,0.4799197316169739,0.6103929877281189,0.01953125,1.004917025566101,1.4415719509124756,1.004917025566101,3.0254788398742676,1.0
layer3.8,layer3,False,True,589824,256,layer3.9,layer3.10,0.6134318113327026,1.2116202116012573,0.63671875,1.483278751373291,3.8464808464050293,1.483278751373291,3.0254788398742676,1.0
layer4.0,layer4,False,True,1179648,512,layer4.1,layer4.2,1.4946606159210205,2.6603071689605713,0.998046875,4.978813171386719,9.641228675842285,4.978813171386719,3.0254788398742676,1.0
layer4.4,layer4,False,True,2359296,512,layer4.5,layer4.6,0.9028000235557556,1.5358449220657349,0.97265625,2.613300085067749,5.1433796882629395,2.613300085067749,3.0254788398742676,1.0
layer4.8,layer4,False,True,2359296,512,layer4.9,layer4.10,0.4784352779388428,0.5306486487388611,0.005859375,1.0005276203155518,1.1225945949554443,1.0005276203155518,3.0254788398742676,1.0
layer5.0,layer5,False,True,2359296,512,layer5.1,layer5.2,0.49788880348205566,0.6202847361564636,0.302734375,1.047711968421936,1.4811389446258545,1.047711968421936,3.0254788398742676,1.0
layer5.4,layer5,False,True,2359296,512,layer5.5,layer5.6,0.4781343936920166,0.4781343936920166,0.0,1.0,1.0,1.0,3.0254788398742676,1.0
layer5.8,layer5,False,True,2359296,512,layer5.9,layer5.10,0.4781343936920166,0.4781343936920166,0.0,1.0,1.0,1.0,3.0254788398742676,1.0
classifier.1,classifier_head,True,True,2097152,4096,,classifier.2,1.237671971321106,1.237671971321106,1.0,3.950687885284424,3.950687885284424,3.950687885284424,3.0254788398742676,1.0
classifier.4,classifier_head,True,True,16777216,4096,,classifier.5,1.2862904071807861,1.2862904071807861,1.0,4.1451616287231445,4.1451616287231445,4.1451616287231445,3.0254788398742676,1.0
classifier.7,classifier_head,True,False,409600,100,,,nan,nan,nan,1.0,1.0,1.0,1.0,1.0
