name,role,is_head,matched,n_params,out_channels,bn_name,if_name,risk_mean,risk_max,p_gt_tau,q_mean,q_max,q_os_mean,q_mean_pre_norm,kappa_mean
layer1.0,layer1,False,True,1728,64,layer1.1,layer1.2,3.864527940750122,6.573639869689941,0.78125,14.53474235534668,25.294559478759766,14.53474235534668,3.156175374984741,1.0
layer1.4,layer1,False,True,36864,64,layer1.5,layer1.6,0.41085249185562134,0.41085249185562134,0.0,1.0,1.0,1.0,3.156175374984741,1.0
layer2.0,layer2,False,True,73728,128,layer2.1,layer2.2,0.41085249185562134,0.41085249185562134,0.0,1.0,1.0,1.0,3.156175374984741,1.0
layer2.4,layer2,False,True,147456,128,layer2.5,layer2.6,0.41085249185562134,0.41085249185562134,0.0,1.0,1.0,1.0,3.156175374984741,1.0
layer3.0,layer3,False,True,294912,256,layer3.1,layer3.2,0.41085249185562134,0.41085249185562134,0.0,1.0,1.0,1.0,3.156175374984741,1.0
layer3.4,layer3,False,True,589824,256,layer3.5,layer3.6,0.41085249185562134,0.41085249185562134,0.0,1.0,1.0,1.0,3.156175374984741,1.0
layer3.8,layer3,False,True,589824,256,layer3.9,layer3.10,0.41085249185562134,0.41085249185562134,0.0,1.0,1.0,1.0,3.156175374984741,1.0
layer4.0,layer4,False,True,1179648,512,layer4.1,layer4.2,0.41085249185562134,0.41085249185562134,0.0,1.0,1.0,1.0,3.156175374984741,1.0
layer4.4,layer4,False,True,2359296,512,layer4.5,layer4.6,0.41085249185562134,0.41085249185562134,0.0,1.0,1.0,1.0,3.156175374984741,1.0
layer4.8,layer4,False,True,2359296,512,layer4.9,layer4.10,0.41085249185562134,0.41085249185562134,0.0,1.0,1.0,1.0,3.156175374984741,1.0
layer5.0,layer5,False,True,2359296,512,layer5.1,layer5.2,0.41085249185562134,0.41085249185562134,0.0,1.0,1.0,1.0,3.156175374984741,1.0
layer5.4,layer5,False,True,2359296,512,layer5.5,layer5.6,0.41085249185562134,0.41085249185562134,0.0,1.0,1.0,1.0,3.156175374984741,1.0
layer5.8,layer5,False,True,2359296,512,layer5.9,layer5.10,0.41085249185562134,0.41085249185562134,0.0,1.0,1.0,1.0,3.156175374984741,1.0
classifier.1,classifier_head,True,True,2097152,4096,,classifier.2,0.9367695450782776,0.9367695450782776,1.0,2.7470781803131104,2.7470781803131104,2.7470781803131104,3.156175374984741,1.0
classifier.4,classifier_head,True,True,16777216,4096,,classifier.5,1.5241197347640991,1.5241197347640991,1.0,5.0964789390563965,5.0964789390563965,5.0964789390563965,3.156175374984741,1.0
classifier.7,classifier_head,True,False,409600,100,,,nan,nan,nan,1.0,1.0,1.0,1.0,1.0
