epoch,alpha,q_assignment,q_mean,q_mean_pre_norm,q_tilde_mean,q_std,q_min,q_max,q_os_mean,q_os_std,p_gt_tau,p_at_qmax,q_cap,mean_normalize_q,mne_grad_match_scale,mne_ref_grad_norm,reg_grad_norm,reg_coeff_grad_norm,ce_grad_norm,reg_ce_ratio,ann_train_acc,ann_test_acc,train_loss
0.0,0.25,risk,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.1988931873929687e-06,0.6597937941551208,0.0,0.0,0.0,,,1.2918783009361907,0.00012918783009361907,1.302258119105993,9.920293695869386e-05,15.052,17.95,865.447779417038
1.0,0.25,risk,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.1988931873929687e-06,0.6597937941551208,0.0,0.0,0.0,,,1.1322909009340723,0.00011322909009340723,0.8779322685631334,0.00012897246649644562,17.824,20.66,817.6114656925201
2.0,0.25,risk,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.1988931873929687e-06,0.6597937941551208,0.0,0.0,0.0,,,0.8732154137336361,8.732154137336362e-05,1.0760698395631547,8.114858177682314e-05,19.28,20.31,807.03784263134
3.0,0.25,risk,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.1988931873929687e-06,0.6597937941551208,0.0,0.0,0.0,,,0.8876961140476884,8.876961140476884e-05,0.9364587356369312,9.479287023190863e-05,22.112,28.6,775.9337391853333
4.0,0.25,risk,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.1988931873929687e-06,0.6597937941551208,0.0,0.0,0.0,,,0.9092267154368288,9.092267154368288e-05,0.9242010737265081,9.837975103953293e-05,24.202,30.34,755.2507536411285
5.0,0.25,risk,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.1988931873929687e-06,0.6597937941551208,0.0,0.0,0.0,,,0.9611734966914597,9.611734966914598e-05,0.9086073832351603,0.00010578534958291161,27.382,24.87,730.1426154375076
6.0,0.25,risk,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.1988931873929687e-06,0.6597937941551208,0.0,0.0,0.0,,,0.9625523710091316,9.625523710091317e-05,1.013743600752815,9.495027838344248e-05,30.036,40.42,711.8771971464157
7.0,0.25,risk,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.1988931873929687e-06,0.6597937941551208,0.0,0.0,0.0,,,1.0240684768213069,0.00010240684768213069,0.8590359504321141,0.0001192113643563087,32.228,39.93,696.5596035718918
8.0,0.25,risk,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.1988931873929687e-06,0.6597937941551208,0.0,0.0,0.0,,,1.0868448075151669,0.0001086844807515167,0.898743994499278,0.00012092929846175902,34.138,41.18,678.7240341901779
9.0,0.25,risk,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.1988931873929687e-06,0.6597937941551208,0.0,0.0,0.0,,,1.194186121698142,0.0001194186121698142,0.8729043305011932,0.00013680607140675763,36.998,46.95,659.9572017192841
10.0,0.25,risk,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.1988931873929687e-06,0.6597937941551208,0.0,0.0,0.0,,,1.4223728254910117,0.00014223728254910117,1.014091266095936,0.00014026082987253052,39.66,49.63,641.058668255806
11.0,0.25,risk,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.1988931873929687e-06,0.6597937941551208,0.0,0.0,0.0,,,1.5641207484803943,0.00015641207484803945,1.0735746250272742,0.00014569278297171546,41.276,50.07,627.0048331022263
