epoch,alpha,q_assignment,q_mean,q_mean_pre_norm,q_tilde_mean,q_std,q_min,q_max,q_os_mean,q_os_std,p_gt_tau,p_at_qmax,q_cap,mean_normalize_q,mne_grad_match_scale,mne_ref_grad_norm,reg_grad_norm,reg_coeff_grad_norm,ce_grad_norm,reg_ce_ratio,ann_train_acc,ann_test_acc,train_loss
0.0,0.25,risk,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.1988931873929687e-06,0.6597937941551208,0.0,0.0,0.0,,,0.7172166598174325,7.172166598174326e-05,1.1659367428447533,6.151419999574809e-05,15.084,17.74,864.7306005954742
1.0,0.25,risk,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.1988931873929687e-06,0.6597937941551208,0.0,0.0,0.0,,,0.7032637565181321,7.032637565181321e-05,0.8962975536165813,7.846320160982775e-05,18.074,20.58,817.8128697872162
2.0,0.25,risk,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.1988931873929687e-06,0.6597937941551208,0.0,0.0,0.0,,,0.5713257085017999,5.713257085017999e-05,0.8892213539805623,6.425011117246388e-05,19.922,23.0,801.9708971977234
3.0,0.25,risk,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.1988931873929687e-06,0.6597937941551208,0.0,0.0,0.0,,,0.491015879009609,4.910158790096091e-05,1.1313601246359044,4.3400493646320474e-05,23.118,29.8,771.3833385705948
4.0,0.25,risk,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.1988931873929687e-06,0.6597937941551208,0.0,0.0,0.0,,,0.44724131605562617,4.4724131605562617e-05,0.8842817805273685,5.0576787388845685e-05,25.236,29.51,747.5543079376221
5.0,0.25,risk,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.1988931873929687e-06,0.6597937941551208,0.0,0.0,0.0,,,0.47745179625184364,4.774517962518437e-05,0.8073913707670827,5.9135112603225926e-05,28.328,28.59,728.1005485057831
6.0,0.25,risk,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.1988931873929687e-06,0.6597937941551208,0.0,0.0,0.0,,,0.45628985359914276,4.562898535991428e-05,1.110904320337188,4.107373112570551e-05,30.508,40.72,711.6724482774734
7.0,0.25,risk,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.1988931873929687e-06,0.6597937941551208,0.0,0.0,0.0,,,0.5531140714982815,5.5311407149828154e-05,0.8844431992010313,6.253811120916996e-05,32.754,41.28,695.2318892478943
8.0,0.25,risk,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.1988931873929687e-06,0.6597937941551208,0.0,0.0,0.0,,,0.6592567624843594,6.592567624843594e-05,1.0908532234821513,6.0434964878219136e-05,35.734,46.18,671.604772567749
9.0,0.25,risk,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.1988931873929687e-06,0.6597937941551208,0.0,0.0,0.0,,,0.7079432767197236,7.079432767197236e-05,0.843727503484599,8.390662551545542e-05,38.11,48.64,655.699206829071
10.0,0.25,risk,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.1988931873929687e-06,0.6597937941551208,0.0,0.0,0.0,,,0.8664200142316582,8.664200142316581e-05,0.9824680959689448,8.818810684912512e-05,40.846,52.34,635.3611464500427
11.0,0.25,risk,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.1988931873929687e-06,0.6597937941551208,0.0,0.0,0.0,,,1.0264369984412836,0.00010264369984412835,1.2108798339359252,8.476786627991679e-05,42.378,56.56,619.6219849586487
12.0,0.25,risk,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.1988931873929687e-06,0.6597937941551208,0.0,0.0,0.0,,,1.2226258127854122,0.0001222625812785412,1.1359948425541135,0.0001076260003114558,43.876,54.82,607.3450293540955
13.0,0.25,risk,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.1988931873929687e-06,0.6597937941551208,0.0,0.0,0.0,,,1.4388058415675957,0.00014388058415675957,1.0540154298374391,0.00013650709475756943,45.304,57.8,593.9963142871857
14.0,0.25,risk,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.1988931873929687e-06,0.6597937941551208,0.0,0.0,0.0,,,2.0568245124481472,0.00020568245124481473,0.9043235446103486,0.00022744343268585183,47.018,62.33,581.0092597007751
15.0,0.25,risk,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.1988931873929687e-06,0.6597937941551208,0.0,0.0,0.0,,,2.975040303761691,0.0002975040303761691,0.930398601333929,0.0003197597566780864,48.602,61.23,565.1765617132187
16.0,0.25,risk,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.1988931873929687e-06,0.6597937941551208,0.0,0.0,0.0,,,4.7895838852721395,0.00047895838852721396,0.9059663239974644,0.0005286712936678147,50.304,65.4,550.3980174064636
17.0,0.25,risk,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.1988931873929687e-06,0.6597937941551208,0.0,0.0,0.0,,,6.45404740932913,0.000645404740932913,0.9963974018991202,0.0006477382816362028,51.512,64.72,540.4343410730362
18.0,0.25,risk,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.1988931873929687e-06,0.6597937941551208,0.0,0.0,0.0,,,9.696883689450505,0.0009696883689450505,0.8548564703695258,0.001134328864032446,52.208,66.83,533.5658251047134
19.0,0.25,risk,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.1988931873929687e-06,0.6597937941551208,0.0,0.0,0.0,,,11.358894248441398,0.0011358894248441399,0.9536076877764331,0.0011911496094297862,53.376,68.15,525.9794120788574
20.0,0.25,risk,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.1988931873929687e-06,0.6597937941551208,0.0,0.0,0.0,,,13.665046996675445,0.0013665046996675445,1.0225731212415892,0.0013363393495111236,54.052,66.05,517.942702293396
21.0,0.25,risk,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.1988931873929687e-06,0.6597937941551208,0.0,0.0,0.0,,,13.91784738471139,0.0013917847384711391,0.9397517798010819,0.0014810131445196512,54.432,70.96,516.5715816020966
22.0,0.25,risk,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.1988931873929687e-06,0.6597937941551208,0.0,0.0,0.0,,,13.724196690969285,0.0013724196690969284,1.0062513536120739,0.0013638934886104196,55.408,70.47,508.1013197898865
23.0,0.25,risk,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.1988931873929687e-06,0.6597937941551208,0.0,0.0,0.0,,,16.863286942442816,0.0016863286942442816,1.0536852205647713,0.0016004103135663379,55.886,68.2,500.50738632678986
24.0,0.25,risk,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.1988931873929687e-06,0.6597937941551208,0.0,0.0,0.0,,,20.925113640981383,0.0020925113640981384,1.082526391299533,0.0019329887759929395,56.202,72.79,498.60774487257004
25.0,0.25,risk,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.1988931873929687e-06,0.6597937941551208,0.0,0.0,0.0,,,20.304042593829823,0.0020304042593829825,1.1995399307074999,0.0016926524973499056,56.426,73.44,498.35337287187576
26.0,0.25,risk,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.1988931873929687e-06,0.6597937941551208,0.0,0.0,0.0,,,25.61155247173669,0.002561155247173669,1.034415032968826,0.002475945501123488,57.264,70.63,492.1391244530678
27.0,0.25,risk,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.1988931873929687e-06,0.6597937941551208,0.0,0.0,0.0,,,24.848872052609718,0.0024848872052609717,1.104534500238255,0.0022497144314867178,57.268,73.95,488.62333583831787
28.0,0.25,risk,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.1988931873929687e-06,0.6597937941551208,0.0,0.0,0.0,,,20.400100453213593,0.0020400100453213596,1.2760503928416607,0.0015986908172007399,58.068,73.96,482.2813700437546
29.0,0.25,risk,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.1988931873929687e-06,0.6597937941551208,0.0,0.0,0.0,,,28.2154000512769,0.0028215400051276904,1.066328477024143,0.002646032686852653,58.448,73.33,480.4735538363457
30.0,0.25,risk,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.1988931873929687e-06,0.6597937941551208,0.0,0.0,0.0,,,28.80006852348772,0.0028800068523487724,1.0357556383844568,0.002780585251595567,59.256,75.83,473.3159399032593
31.0,0.25,risk,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.1988931873929687e-06,0.6597937941551208,0.0,0.0,0.0,,,25.084887704472433,0.0025084887704472435,1.1156714811225013,0.002248411663192644,59.592,74.26,469.60677045583725
32.0,0.25,risk,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.1988931873929687e-06,0.6597937941551208,0.0,0.0,0.0,,,21.737486824264174,0.0021737486824264175,1.3224054866294996,0.001643783774647511,59.88,76.39,466.52290880680084
33.0,0.25,risk,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.1988931873929687e-06,0.6597937941551208,0.0,0.0,0.0,,,29.491152788415206,0.0029491152788415206,0.9087516870808693,0.0032452377484049506,59.928,76.71,465.07423466444016
34.0,0.25,risk,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.1988931873929687e-06,0.6597937941551208,0.0,0.0,0.0,,,27.315505752765787,0.0027315505752765787,0.9442396275524869,0.0028928573802360796,60.206,77.63,465.03499311208725
35.0,0.25,risk,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.1988931873929687e-06,0.6597937941551208,0.0,0.0,0.0,,,29.858274892705808,0.002985827489270581,1.2643034008205722,0.0023616384226544723,60.878,76.15,459.5168576836586
36.0,0.25,risk,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.1988931873929687e-06,0.6597937941551208,0.0,0.0,0.0,,,29.482917839596784,0.0029482917839596784,0.944837642198637,0.0031204215965602348,60.522,77.79,460.11495047807693
37.0,0.25,risk,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.1988931873929687e-06,0.6597937941551208,0.0,0.0,0.0,,,31.967745501341586,0.0031967745501341586,0.9700073936947545,0.003295618745706315,61.758,78.31,450.7432625889778
38.0,0.25,risk,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.1988931873929687e-06,0.6597937941551208,0.0,0.0,0.0,,,28.451963841952555,0.002845196384195256,0.9537083273781833,0.0029832982501231974,61.214,76.42,452.2739602923393
39.0,0.25,risk,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.1988931873929687e-06,0.6597937941551208,0.0,0.0,0.0,,,35.365690930662275,0.0035365690930662277,0.9895239258753282,0.003574010694019142,61.334,78.65,450.0424481034279
40.0,0.25,risk,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.1988931873929687e-06,0.6597937941551208,0.0,0.0,0.0,,,38.769722287262276,0.003876972228726228,1.175967874546691,0.00329683515395411,61.838,77.66,451.31811982393265
41.0,0.25,risk,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.1988931873929687e-06,0.6597937941551208,0.0,0.0,0.0,,,35.738373711570944,0.0035738373711570945,1.367054487343748,0.002614261102424111,62.234,78.7,446.4692875146866
42.0,0.25,risk,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.1988931873929687e-06,0.6597937941551208,0.0,0.0,0.0,,,30.30532664927793,0.0030305326649277932,1.0141323217037812,0.0029883010333763764,62.71,78.63,437.8497245311737
43.0,0.25,risk,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.1988931873929687e-06,0.6597937941551208,0.0,0.0,0.0,,,25.20488603260811,0.002520488603260811,1.3425178892514322,0.0018774339049338088,62.904,78.49,438.36023288965225
44.0,0.25,risk,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.1988931873929687e-06,0.6597937941551208,0.0,0.0,0.0,,,33.262238032195704,0.0033262238032195704,1.2765320798593176,0.0026056719260718797,63.114,79.73,436.8989715576172
45.0,0.25,risk,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.1988931873929687e-06,0.6597937941551208,0.0,0.0,0.0,,,30.974092067038303,0.0030974092067038305,1.0409037333182938,0.0029756922831178723,62.95,81.25,438.5693768262863
46.0,0.25,risk,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.1988931873929687e-06,0.6597937941551208,0.0,0.0,0.0,,,30.572735252470334,0.0030572735252470335,1.1983758612889124,0.002551180830660912,63.728,80.81,429.1540839076042
47.0,0.25,risk,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.1988931873929687e-06,0.6597937941551208,0.0,0.0,0.0,,,37.445829139995894,0.0037445829139995898,1.000321703357351,0.003743378656517952,63.368,80.42,433.1869792342186
48.0,0.25,risk,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.1988931873929687e-06,0.6597937941551208,0.0,0.0,0.0,,,33.9553975443261,0.0033955397544326096,0.9051801286421768,0.003751230994792294,64.21,81.97,425.4863607287407
49.0,0.25,risk,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.1988931873929687e-06,0.6597937941551208,0.0,0.0,0.0,,,34.491635968992725,0.0034491635968992725,1.221689191448032,0.0028232742182249166,64.342,80.49,421.73379504680634
50.0,0.25,risk,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.1988931873929687e-06,0.6597937941551208,0.0,0.0,0.0,,,26.38846181311991,0.0026388461813119913,1.2859470892435991,0.002052064352713123,64.086,82.09,428.1003560423851
51.0,0.25,risk,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.1988931873929687e-06,0.6597937941551208,0.0,0.0,0.0,,,35.87464670180101,0.0035874646701801014,1.140754860854624,0.003144816466083226,64.424,80.52,423.7642199397087
52.0,0.25,risk,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.1988931873929687e-06,0.6597937941551208,0.0,0.0,0.0,,,35.59530546073497,0.003559530546073497,1.0014977926899418,0.0035542070806895013,64.124,80.29,423.8243622779846
53.0,0.25,risk,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.1988931873929687e-06,0.6597937941551208,0.0,0.0,0.0,,,34.49836428710655,0.003449836428710655,1.2743063586443302,0.002707226880968216,64.428,82.25,420.7652404308319
54.0,0.25,risk,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.1988931873929687e-06,0.6597937941551208,0.0,0.0,0.0,,,30.723863177107145,0.003072386317710715,1.1557516658430749,0.002658344701990571,64.448,82.33,419.6071290373802
55.0,0.25,risk,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.1988931873929687e-06,0.6597937941551208,0.0,0.0,0.0,,,26.867101919310212,0.002686710191931021,1.051054285220441,0.002556204974101341,64.626,81.67,415.9016633629799
56.0,0.25,risk,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.1988931873929687e-06,0.6597937941551208,0.0,0.0,0.0,,,31.385106156517423,0.0031385106156517424,1.1056806518306448,0.002838532636394964,65.288,82.07,413.8630296587944
57.0,0.25,risk,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.1988931873929687e-06,0.6597937941551208,0.0,0.0,0.0,,,36.69975862618569,0.0036699758626185693,1.0282617143886892,0.0035691067860096327,65.162,82.45,412.73006868362427
58.0,0.25,risk,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.1988931873929687e-06,0.6597937941551208,0.0,0.0,0.0,,,32.31193585336827,0.003231193585336827,0.919277982624511,0.003514925459339151,65.384,82.83,409.6763472557068
59.0,0.25,risk,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.1988931873929687e-06,0.6597937941551208,0.0,0.0,0.0,,,34.01513100275452,0.0034015131002754525,1.3529035960450364,0.002514231694127466,65.066,81.67,412.71976882219315
