epoch,alpha,q_assignment,q_mean,q_mean_pre_norm,q_tilde_mean,q_std,q_min,q_max,q_os_mean,q_os_std,p_gt_tau,p_at_qmax,q_cap,mean_normalize_q,mne_grad_match_scale,mne_ref_grad_norm,reg_grad_norm,reg_coeff_grad_norm,ce_grad_norm,reg_ce_ratio,ann_train_acc,ann_test_acc,train_loss
0.0,0.25,risk,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.1988931873929687e-06,0.6597937941551208,0.0,0.0,0.0,,,0.3328212637822008,3.328212637822008e-05,1.2081219855103638,2.754864722055385e-05,15.156,18.8,863.0754804611206
1.0,0.25,risk,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.1988931873929687e-06,0.6597937941551208,0.0,0.0,0.0,,,0.24741986909814473,2.4741986909814473e-05,0.9374449388406914,2.639300281509025e-05,18.212,23.79,817.42911195755
2.0,0.25,risk,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.1988931873929687e-06,0.6597937941551208,0.0,0.0,0.0,,,0.22092355882854145,2.2092355882854146e-05,1.3631121728188893,1.620729117044534e-05,20.952,22.38,792.0791463851929
3.0,0.25,risk,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.1988931873929687e-06,0.6597937941551208,0.0,0.0,0.0,,,0.19328778198625648,1.932877819862565e-05,0.9898128360463802,1.952771018390789e-05,23.92,31.29,762.3738378286362
4.0,0.25,risk,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.1988931873929687e-06,0.6597937941551208,0.0,0.0,0.0,,,0.1649723757651871,1.649723757651871e-05,0.987892056073056,1.6699433379489305e-05,26.062,29.06,745.662636756897
5.0,0.25,risk,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.1988931873929687e-06,0.6597937941551208,0.0,0.0,0.0,,,0.15458775592413432,1.5458775592413434e-05,0.8179935192639096,1.8898408396101196e-05,29.432,31.49,720.2545249462128
6.0,0.25,risk,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.1988931873929687e-06,0.6597937941551208,0.0,0.0,0.0,,,0.14316090292293382,1.4316090292293383e-05,1.1236060076269014,1.2741201270834703e-05,31.19,39.04,708.773201584816
7.0,0.25,risk,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.1988931873929687e-06,0.6597937941551208,0.0,0.0,0.0,,,0.13892985641199956,1.3892985641199956e-05,1.0352797175637618,1.3419547785494312e-05,32.854,39.66,693.81189930439
8.0,0.25,risk,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.1988931873929687e-06,0.6597937941551208,0.0,0.0,0.0,,,0.13682389090811284,1.3682389090811284e-05,0.9200862561281451,1.4870767821691783e-05,35.188,43.57,673.1433573961258
9.0,0.25,risk,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.1988931873929687e-06,0.6597937941551208,0.0,0.0,0.0,,,0.13553218819528728,1.3553218819528729e-05,0.9883913831765571,1.3712400826452479e-05,37.694,46.64,657.9461914300919
10.0,0.25,risk,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.1988931873929687e-06,0.6597937941551208,0.0,0.0,0.0,,,0.1387188929950274,1.387188929950274e-05,0.8126557218470962,1.7069822960174493e-05,40.516,49.82,636.1621453762054
11.0,0.25,risk,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.1988931873929687e-06,0.6597937941551208,0.0,0.0,0.0,,,0.13685546578839683,1.3685546578839684e-05,1.0178194139754115,1.3445947670998442e-05,41.988,49.97,622.3761798143387
12.0,0.25,risk,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.1988931873929687e-06,0.6597937941551208,0.0,0.0,0.0,,,0.1309478282006021,1.309478282006021e-05,0.910706648883604,1.4378705630526076e-05,43.646,51.58,608.568158864975
13.0,0.25,risk,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.1988931873929687e-06,0.6597937941551208,0.0,0.0,0.0,,,0.12864840658932505,1.2864840658932505e-05,1.1387994554194507,1.1296844758495284e-05,44.956,57.24,597.8305056095123
14.0,0.25,risk,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.1988931873929687e-06,0.6597937941551208,0.0,0.0,0.0,,,0.12272960531177547,1.2272960531177548e-05,0.9353154253282966,1.312173433563306e-05,46.456,58.24,584.9845753908157
15.0,0.25,risk,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.1988931873929687e-06,0.6597937941551208,0.0,0.0,0.0,,,0.12106079928984784,1.2106079928984784e-05,0.8965596155050537,1.3502816454837905e-05,47.774,63.48,574.0971392393112
16.0,0.25,risk,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.1988931873929687e-06,0.6597937941551208,0.0,0.0,0.0,,,0.11910030931640478,1.1910030931640478e-05,0.8598819564063361,1.3850774333509108e-05,49.452,63.54,560.7695413827896
17.0,0.25,risk,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.1988931873929687e-06,0.6597937941551208,0.0,0.0,0.0,,,0.1162347133140612,1.162347133140612e-05,1.1542376872532516,1.0070258023775489e-05,50.638,63.17,547.8445287942886
18.0,0.25,risk,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.1988931873929687e-06,0.6597937941551208,0.0,0.0,0.0,,,0.11369883480379726,1.1369883480379726e-05,1.210385548090061,9.393604788425423e-06,51.124,66.34,541.5287314653397
19.0,0.25,risk,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.1988931873929687e-06,0.6597937941551208,0.0,0.0,0.0,,,0.11509357099712718,1.1509357099712718e-05,0.9912541352735478,1.1610904499819899e-05,52.508,62.65,528.2537022829056
20.0,0.25,risk,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.1988931873929687e-06,0.6597937941551208,0.0,0.0,0.0,,,0.11502879755549927,1.1502879755549928e-05,1.2280117908942647,9.367075984810604e-06,52.916,63.2,523.3759914636612
21.0,0.25,risk,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.1988931873929687e-06,0.6597937941551208,0.0,0.0,0.0,,,0.1115265028276747,1.1152650282767471e-05,0.9035128696339374,1.2343654039245751e-05,53.722,68.13,517.3195852041245
22.0,0.25,risk,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.1988931873929687e-06,0.6597937941551208,0.0,0.0,0.0,,,0.10823753374462436,1.0823753374462437e-05,1.1764050465216003,9.20070294365547e-06,54.548,67.38,510.91566479206085
23.0,0.25,risk,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.1988931873929687e-06,0.6597937941551208,0.0,0.0,0.0,,,0.11230370116837299,1.1230370116837299e-05,1.0586307148587712,1.0608392482108842e-05,54.966,68.46,504.0187631249428
24.0,0.25,risk,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.1988931873929687e-06,0.6597937941551208,0.0,0.0,0.0,,,0.11080380202475297,1.1080380202475298e-05,0.9369532390219177,1.1825969259727485e-05,55.938,70.99,494.92008316516876
25.0,0.25,risk,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.1988931873929687e-06,0.6597937941551208,0.0,0.0,0.0,,,0.11093926067365488,1.109392606736549e-05,1.1783605237805312,9.414712936727439e-06,56.098,71.62,492.7677919268608
26.0,0.25,risk,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.1988931873929687e-06,0.6597937941551208,0.0,0.0,0.0,,,0.10591623184388,1.0591623184388e-05,1.0117113157636675,1.0469017218012583e-05,56.374,65.83,489.8541629910469
27.0,0.25,risk,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.1988931873929687e-06,0.6597937941551208,0.0,0.0,0.0,,,0.107499095947947,1.07499095947947e-05,1.363512230850094,7.88398472090901e-06,57.258,72.69,481.16145330667496
28.0,0.25,risk,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.1988931873929687e-06,0.6597937941551208,0.0,0.0,0.0,,,0.10926705380998471,1.0926705380998471e-05,1.33338819873312,8.194691831966237e-06,57.924,72.5,472.9371279478073
29.0,0.25,risk,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.1988931873929687e-06,0.6597937941551208,0.0,0.0,0.0,,,0.11075480597793909,1.1075480597793909e-05,0.8956155104521838,1.2366334066950284e-05,58.248,72.84,471.5555999279022
30.0,0.25,risk,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.1988931873929687e-06,0.6597937941551208,0.0,0.0,0.0,,,0.11414034829050684,1.1414034829050684e-05,1.2207543741402274,9.349984788782383e-06,58.72,73.39,466.25042152404785
