epoch,alpha,q_assignment,q_mean,q_mean_pre_norm,q_tilde_mean,q_std,q_min,q_max,q_os_mean,q_os_std,p_gt_tau,p_at_qmax,q_cap,mean_normalize_q,mne_grad_match_scale,mne_ref_grad_norm,reg_grad_norm,reg_coeff_grad_norm,ce_grad_norm,reg_ce_ratio,ann_train_acc,ann_test_acc,train_loss
0.0,0.25,risk,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.1988931873929687e-06,0.6597937941551208,0.0,0.0,0.0,,,1.5165330804751074,0.00015165330804751075,1.2186338513665995,0.00012444534334693215,14.836,17.96,867.4094367027283
1.0,0.25,risk,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.1988931873929687e-06,0.6597937941551208,0.0,0.0,0.0,,,1.2193942583231145,0.00012193942583231146,0.9245819085315168,0.00013188601756872342,18.446,23.05,817.0761368274689
2.0,0.25,risk,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.1988931873929687e-06,0.6597937941551208,0.0,0.0,0.0,,,0.9400192367235259,9.40019236723526e-05,0.8860961184439233,0.00010608547054401923,21.678,23.54,790.1193324327469
3.0,0.25,risk,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.1988931873929687e-06,0.6597937941551208,0.0,0.0,0.0,,,0.8462452069663539,8.46245206966354e-05,0.9533975580507665,8.876100004876382e-05,24.962,35.24,760.6062622070312
4.0,0.25,risk,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.1988931873929687e-06,0.6597937941551208,0.0,0.0,0.0,,,0.8207366351925889,8.207366351925889e-05,0.8784403417492731,9.343111833391251e-05,26.644,31.78,740.0766102075577
5.0,0.25,risk,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.1988931873929687e-06,0.6597937941551208,0.0,0.0,0.0,,,0.7814500951450782,7.814500951450783e-05,0.9226155327173189,8.46994297661047e-05,29.396,28.83,720.131622672081
6.0,0.25,risk,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.1988931873929687e-06,0.6597937941551208,0.0,0.0,0.0,,,0.7474577663750959,7.47457766375096e-05,1.0134699234125728,7.375233828925516e-05,31.192,36.7,706.339058637619
7.0,0.25,risk,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.1988931873929687e-06,0.6597937941551208,0.0,0.0,0.0,,,0.7369400556840292,7.369400556840292e-05,0.899393965618447,8.193740272398757e-05,33.868,44.25,686.8613893985748
8.0,0.25,risk,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.1988931873929687e-06,0.6597937941551208,0.0,0.0,0.0,,,0.734171604550337,7.34171604550337e-05,0.9847725811823038,7.455240109030058e-05,36.112,46.55,671.5264672040939
9.0,0.25,risk,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.1988931873929687e-06,0.6597937941551208,0.0,0.0,0.0,,,0.7502579957936144,7.502579957936144e-05,0.8927192565687664,8.404187433765991e-05,38.116,47.37,654.5931210517883
10.0,0.25,risk,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.1988931873929687e-06,0.6597937941551208,0.0,0.0,0.0,,,0.7369790420690786,7.369790420690786e-05,1.0742862253233425,6.860173989918375e-05,40.432,49.79,636.4981707334518
11.0,0.25,risk,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.1988931873929687e-06,0.6597937941551208,0.0,0.0,0.0,,,0.722282898719157,7.22282898719157e-05,0.9238051825849593,7.818562964737764e-05,42.458,54.27,617.188337802887
12.0,0.25,risk,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.1988931873929687e-06,0.6597937941551208,0.0,0.0,0.0,,,0.7547962915925813,7.547962915925814e-05,0.9601269409496314,7.861421853719011e-05,43.85,51.19,605.6375000476837
13.0,0.25,risk,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.1988931873929687e-06,0.6597937941551208,0.0,0.0,0.0,,,0.7386383709122044,7.386383709122044e-05,0.8978774786540553,8.22649402031383e-05,45.166,56.13,595.3825417757034
14.0,0.25,risk,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.1988931873929687e-06,0.6597937941551208,0.0,0.0,0.0,,,0.743504239598714,7.43504239598714e-05,0.8771465861220317,8.476396663479406e-05,46.474,60.77,585.0527265071869
15.0,0.25,risk,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.1988931873929687e-06,0.6597937941551208,0.0,0.0,0.0,,,0.7768138495816966,7.768138495816966e-05,1.0124622939544448,7.672521280250749e-05,47.946,62.24,571.1991188526154
16.0,0.25,risk,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.1988931873929687e-06,0.6597937941551208,0.0,0.0,0.0,,,0.7747793277637341,7.747793277637342e-05,1.0507548309924546,7.373549993883376e-05,49.102,62.74,563.686336517334
17.0,0.25,risk,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.1988931873929687e-06,0.6597937941551208,0.0,0.0,0.0,,,0.7632813336935798,7.632813336935798e-05,1.175285673626619,6.494432382029269e-05,50.442,62.33,552.9731297492981
18.0,0.25,risk,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.1988931873929687e-06,0.6597937941551208,0.0,0.0,0.0,,,0.7915861305026294,7.915861305026294e-05,0.8846168995467212,8.948349629181165e-05,50.816,65.19,545.2257608175278
19.0,0.25,risk,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.1988931873929687e-06,0.6597937941551208,0.0,0.0,0.0,,,0.7978550747889808,7.978550747889808e-05,1.0000091090191925,7.978478071779925e-05,52.194,63.53,532.9811098575592
20.0,0.25,risk,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.1988931873929687e-06,0.6597937941551208,0.0,0.0,0.0,,,0.7801706180098449,7.801706180098449e-05,1.0192378679989111,7.654450864758082e-05,52.624,61.71,529.7823394536972
21.0,0.25,risk,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.1988931873929687e-06,0.6597937941551208,0.0,0.0,0.0,,,0.8048206493772885,8.048206493772885e-05,0.9497894259236688,8.473674557858987e-05,53.318,67.2,522.6052575111389
22.0,0.25,risk,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.1988931873929687e-06,0.6597937941551208,0.0,0.0,0.0,,,0.8483652361370414,8.483652361370414e-05,1.1018263745253072,7.699627234849385e-05,53.99,66.37,515.5691123008728
