epoch,alpha,q_assignment,q_mean,q_mean_pre_norm,q_tilde_mean,q_std,q_min,q_max,q_os_mean,q_os_std,p_gt_tau,p_at_qmax,q_cap,mean_normalize_q,mne_grad_match_scale,mne_ref_grad_norm,reg_grad_norm,reg_coeff_grad_norm,ce_grad_norm,reg_ce_ratio,ann_train_acc,ann_test_acc,train_loss
0.0,0.25,risk,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.1988931873929687e-06,0.6597937941551208,0.0,0.0,0.0,,,1.728260640017235,0.0001728260640017235,1.2288556800966797,0.00014063983818516954,15.222,20.66,866.9745841026306
1.0,0.25,risk,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.1988931873929687e-06,0.6597937941551208,0.0,0.0,0.0,,,1.3037182689846358,0.00013037182689846358,0.9460139401519513,0.00013781173972713648,18.484,22.52,818.0988014936447
2.0,0.25,risk,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.1988931873929687e-06,0.6597937941551208,0.0,0.0,0.0,,,1.1214248495604486,0.00011214248495604487,1.345880961874592,8.332273665558709e-05,21.02,24.13,795.4966229200363
3.0,0.25,risk,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.1988931873929687e-06,0.6597937941551208,0.0,0.0,0.0,,,0.9720094293816555,9.720094293816556e-05,1.256100092503085,7.738311900325477e-05,23.726,31.31,769.1297423839569
4.0,0.25,risk,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.1988931873929687e-06,0.6597937941551208,0.0,0.0,0.0,,,0.9808749126090894,9.808749126090894e-05,0.8511911387088889,0.00011523556437592955,26.162,33.48,744.2964843511581
5.0,0.25,risk,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.1988931873929687e-06,0.6597937941551208,0.0,0.0,0.0,,,0.9615211371720326,9.615211371720327e-05,0.9305970063136203,0.00010332304215988318,29.152,31.18,722.8467046022415
6.0,0.25,risk,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.1988931873929687e-06,0.6597937941551208,0.0,0.0,0.0,,,0.9176698411093871,9.176698411093871e-05,1.0469010656660502,8.765583217030687e-05,30.886,38.61,708.682167172432
7.0,0.25,risk,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.1988931873929687e-06,0.6597937941551208,0.0,0.0,0.0,,,0.9659783713256604,9.659783713256605e-05,1.0229916428430204,9.442680965028092e-05,33.324,45.75,691.8144780397415
8.0,0.25,risk,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.1988931873929687e-06,0.6597937941551208,0.0,0.0,0.0,,,1.040639131780486,0.0001040639131780486,1.216768398908989,8.55248322288425e-05,35.788,40.47,670.0631544589996
9.0,0.25,risk,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.1988931873929687e-06,0.6597937941551208,0.0,0.0,0.0,,,1.0930228832849753,0.00010930228832849754,1.3800265791014477,7.9203031292097e-05,37.704,48.36,657.2689247131348
10.0,0.25,risk,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.1988931873929687e-06,0.6597937941551208,0.0,0.0,0.0,,,1.2848120144303463,0.00012848120144303465,1.0480185411463316,0.00012259439733050984,40.614,51.16,636.0801786184311
11.0,0.25,risk,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.1988931873929687e-06,0.6597937941551208,0.0,0.0,0.0,,,1.5532788473672285,0.00015532788473672287,0.9181275658027104,0.00016917897961262187,41.92,51.24,626.1991527080536
12.0,0.25,risk,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.1988931873929687e-06,0.6597937941551208,0.0,0.0,0.0,,,1.9871797106433549,0.0001987179710643355,0.9550815922027597,0.00020806386876959988,43.982,54.66,609.0214140415192
13.0,0.25,risk,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.1988931873929687e-06,0.6597937941551208,0.0,0.0,0.0,,,2.761104420484044,0.00027611044204840443,0.9610014734178394,0.0002873153160383894,45.692,53.62,595.1551643610001
14.0,0.25,risk,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.1988931873929687e-06,0.6597937941551208,0.0,0.0,0.0,,,4.313084239490384,0.0004313084239490384,0.8547514543976199,0.0005046009828120152,46.66,60.15,585.1307954788208
15.0,0.25,risk,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.1988931873929687e-06,0.6597937941551208,0.0,0.0,0.0,,,6.319488577855446,0.0006319488577855446,0.9436503043121728,0.000669685427851552,48.296,61.08,572.2194663286209
16.0,0.25,risk,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.1988931873929687e-06,0.6597937941551208,0.0,0.0,0.0,,,7.612579103439436,0.0007612579103439437,1.1641293261579386,0.0006539289864437819,49.166,63.35,561.0612893104553
17.0,0.25,risk,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.1988931873929687e-06,0.6597937941551208,0.0,0.0,0.0,,,9.915632799870046,0.0009915632799870047,1.3226452690208264,0.0007496819466349231,50.672,61.34,553.0510742664337
18.0,0.25,risk,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.1988931873929687e-06,0.6597937941551208,0.0,0.0,0.0,,,12.288274964529254,0.0012288274964529255,1.1549153473128801,0.0010639978932759145,51.548,66.55,544.8048685789108
19.0,0.25,risk,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.1988931873929687e-06,0.6597937941551208,0.0,0.0,0.0,,,16.523894710913986,0.0016523894710913987,1.234716579785956,0.0013382743037093161,52.61,68.87,536.6420872211456
20.0,0.25,risk,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.1988931873929687e-06,0.6597937941551208,0.0,0.0,0.0,,,18.52611650305786,0.001852611650305786,1.1403992643240681,0.00162452897705424,52.632,65.32,534.1151652336121
21.0,0.25,risk,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.1988931873929687e-06,0.6597937941551208,0.0,0.0,0.0,,,16.729948235408,0.0016729948235408,1.2666669074858266,0.0013207851358977103,53.982,70.23,522.9000806808472
22.0,0.25,risk,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.1988931873929687e-06,0.6597937941551208,0.0,0.0,0.0,,,18.912138849316907,0.0018912138849316907,1.173298137682789,0.0016118783659426522,54.464,67.43,518.6088029146194
23.0,0.25,risk,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.1988931873929687e-06,0.6597937941551208,0.0,0.0,0.0,,,20.0325337070205,0.00200325337070205,1.0880929733743414,0.0018410681988779484,55.344,71.19,509.4412420988083
24.0,0.25,risk,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.1988931873929687e-06,0.6597937941551208,0.0,0.0,0.0,,,21.46538497981251,0.0021465384979812508,1.2731134338724512,0.0016860543930104384,55.548,70.88,506.0762768983841
25.0,0.25,risk,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.1988931873929687e-06,0.6597937941551208,0.0,0.0,0.0,,,23.633268012068644,0.0023633268012068645,1.007665184156099,0.0023453492671636827,55.862,72.87,504.664932012558
26.0,0.25,risk,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.1988931873929687e-06,0.6597937941551208,0.0,0.0,0.0,,,31.117187792654615,0.0031117187792654615,1.0288351849327002,0.003024506572905562,56.76,67.44,498.80605602264404
27.0,0.25,risk,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.1988931873929687e-06,0.6597937941551208,0.0,0.0,0.0,,,25.746975962282228,0.002574697596228223,1.1614243590432198,0.0022168448389951593,57.26,73.69,493.25443202257156
28.0,0.25,risk,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.1988931873929687e-06,0.6597937941551208,0.0,0.0,0.0,,,25.09957239103973,0.002509957239103973,1.0025200575878492,0.002503647902210704,58.078,72.93,487.5176517367363
29.0,0.25,risk,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.1988931873929687e-06,0.6597937941551208,0.0,0.0,0.0,,,23.861920430929228,0.002386192043092923,1.2408383606783877,0.0019230482540758577,58.072,73.28,486.0377786755562
30.0,0.25,risk,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.1988931873929687e-06,0.6597937941551208,0.0,0.0,0.0,,,27.48219248232457,0.0027482192482324573,0.9876697934109752,0.0027825283982223672,58.614,75.05,480.9052432179451
