epoch,alpha,q_assignment,q_mean,q_mean_pre_norm,q_tilde_mean,q_std,q_min,q_max,q_os_mean,q_os_std,p_gt_tau,p_at_qmax,q_cap,mean_normalize_q,mne_grad_match_scale,mne_ref_grad_norm,reg_grad_norm,reg_coeff_grad_norm,ce_grad_norm,reg_ce_ratio,ann_train_acc,ann_test_acc,train_loss
0.0,0.25,risk,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.1988931873929687e-06,0.6597937941551208,0.0,0.0,0.0,,,1.3646773619566765,0.00013646773619566767,0.9197143703211936,0.00014838056313941117,1.31,1.74,1798.8056826591492
1.0,0.25,risk,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.1988931873929687e-06,0.6597937941551208,0.0,0.0,0.0,,,0.8517953284800713,8.517953284800714e-05,0.9943661553518892,8.566214003720145e-05,1.9,1.34,1763.3301138877869
2.0,0.25,risk,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.1988931873929687e-06,0.6597937941551208,0.0,0.0,0.0,,,0.6525180492425969,6.52518049242597e-05,0.8261349453209574,7.89844386729205e-05,2.182,2.17,1740.012249469757
3.0,0.25,risk,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.1988931873929687e-06,0.6597937941551208,0.0,0.0,0.0,,,0.613377090196938,6.13377090196938e-05,1.1062697058346698,5.5445528966568866e-05,2.61,3.22,1726.0228147506714
4.0,0.25,risk,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.1988931873929687e-06,0.6597937941551208,0.0,0.0,0.0,,,0.4812872941197752,4.8128729411977525e-05,0.8652400588503552,5.5624712378581026e-05,2.988,3.01,1713.077926158905
5.0,0.25,risk,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.1988931873929687e-06,0.6597937941551208,0.0,0.0,0.0,,,0.417456138540445,4.17456138540445e-05,0.9479642327722694,4.4037119134718555e-05,3.464,4.2,1696.2759490013123
6.0,0.25,risk,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.1988931873929687e-06,0.6597937941551208,0.0,0.0,0.0,,,0.36583126338164046,3.658312633816405e-05,1.0081428877614458,3.628764015723594e-05,3.756,3.79,1678.9127321243286
7.0,0.25,risk,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.1988931873929687e-06,0.6597937941551208,0.0,0.0,0.0,,,0.3362021761570024,3.362021761570024e-05,0.995668860473621,3.376646488643597e-05,4.422,5.81,1663.7482423782349
8.0,0.25,risk,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.1988931873929687e-06,0.6597937941551208,0.0,0.0,0.0,,,0.30963079463556686,3.096307946355669e-05,0.9350574691918695,3.31135577049791e-05,4.628,6.85,1645.0733468532562
9.0,0.25,risk,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.1988931873929687e-06,0.6597937941551208,0.0,0.0,0.0,,,0.2956909595795461,2.9569095957954613e-05,0.9948457322375155,2.972229261259484e-05,5.21,6.49,1627.3081526756287
10.0,0.25,risk,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.1988931873929687e-06,0.6597937941551208,0.0,0.0,0.0,,,0.26857569644854495,2.6857569644854498e-05,1.0568894679047103,2.541190016596512e-05,5.522,7.34,1614.883716583252
11.0,0.25,risk,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.1988931873929687e-06,0.6597937941551208,0.0,0.0,0.0,,,0.25540078881261535,2.5540078881261538e-05,0.9833963505652145,2.5971297195258233e-05,6.222,8.59,1600.0373678207397
12.0,0.25,risk,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.1988931873929687e-06,0.6597937941551208,0.0,0.0,0.0,,,0.2453087221279175,2.453087221279175e-05,1.0955526480666413,2.239132209308444e-05,6.65,9.18,1585.3320667743683
13.0,0.25,risk,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.1988931873929687e-06,0.6597937941551208,0.0,0.0,0.0,,,0.23172580854069794,2.3172580854069793e-05,1.152873581690148,2.0099845483576852e-05,7.408,10.16,1570.9762761592865
14.0,0.25,risk,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.1988931873929687e-06,0.6597937941551208,0.0,0.0,0.0,,,0.22466622078991683,2.2466622078991683e-05,1.15947023023186,1.9376626922537733e-05,7.708,11.96,1558.17600274086
15.0,0.25,risk,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.1988931873929687e-06,0.6597937941551208,0.0,0.0,0.0,,,0.2168860362221515,2.1688603622215152e-05,1.0963462866384344,1.978262150065353e-05,8.148,12.27,1543.4457650184631
