dataset,method,sigma,if_name,n_channels,r_mean,m_mean,q_mean,A_mean,p_cross_mean,p_bound_mean,D_mean,S_mean
cifar10,mne,0.25,layer1.6,64,0.6464556390419602,19.544275157153606,1.0,0.25962624211158924,0.04483184051513672,0.009005343053625256,5.137748148112389e-08,2.392206264088382e-09
cifar10,mne,0.25,layer2.2,128,2.798697254154831,52.101418271660805,1.0,0.25178555430954175,0.05159657287597656,0.011693687508707262,3.6485700268768415e-08,2.099612016773223e-09
cifar10,mne,0.25,layer2.6,128,1.387623752001673,28.929920334368944,1.0,0.3419458634548904,0.05442159118652344,0.012462681677332147,2.1586237924312718e-08,1.2258108766275355e-09
cifar10,mne,0.25,layer3.2,256,3.3425832241773605,46.6018480733037,1.0,0.2476183121918816,0.041335308837890626,0.009070519295195117,1.8934019859410956e-08,7.96866273362221e-10
cifar10,mne,0.25,layer3.6,256,2.722259094938636,39.39577656239271,1.0,0.3147684232675342,0.044414562988281246,0.009511477612331511,1.4656435649231794e-08,6.563133862240276e-10
cifar10,mne,0.25,layer3.10,256,3.3066837689839303,30.17420168966055,1.0,0.2537562438239088,0.04525791625976562,0.009826265727949795,8.436413269908216e-09,3.894874406588431e-10
cifar10,mne,0.25,layer4.2,512,6.781284699216485,28.372314363718033,1.0,0.15629576497687814,0.03648583984374999,0.007870017461391397,2.7819075680758667e-09,1.06570740303483e-10
cifar10,mne,0.25,layer4.6,512,0.8963012531166896,3.725966272642836,1.0,0.11831663753537257,0.032081030273437505,0.006858258052678139,8.418443888008635e-10,2.8089643720554544e-11
cifar10,mne,0.25,layer4.10,512,0.3509016625757795,1.111981468333397,1.0,0.09652030249557524,0.035659606933593754,0.007254534029620117,4.242385510709979e-10,1.5543966452682585e-11
cifar10,mne,0.25,layer5.2,512,0.7211371042067185,2.187787742819637,1.0,0.11229140625950318,0.042285302734375,0.008784380752150902,1.007301781907683e-09,4.33834903635931e-11
cifar10,mne,0.25,layer5.6,512,0.5250040124519728,1.8067717504454777,1.0,0.12686659614492327,0.046122900390625,0.009618512268405174,1.0309411855127405e-09,4.694547468517136e-11
cifar10,mne,0.25,layer5.10,512,2.634296366304625,11.002150679007173,1.0,0.3496755736072583,0.045070263671875006,0.010306145178918839,6.5461247827357046e-09,3.41355030553153e-10
cifar10,mne,0.25,classifier.2,4096,1993.4873046875,42.326025728005334,2.2332608699798584,0.11439984942171247,0.022198974609375,0.004482961252866131,5.902437988440957e-09,2.72556425123422e-10
