dataset,method,sigma,if_name,n_channels,r_mean,m_mean,q_mean,A_mean,p_cross_mean,p_bound_mean,D_mean,S_mean
cifar10,onesided,0.25,layer1.6,64,107.7372114174068,33.534313866868615,1.4210703372955322,0.3243777285544708,0.037244226074218754,0.007481670190051954,6.881703554868962e-08,2.967974594892365e-09
cifar10,onesided,0.25,layer2.2,128,943.5647804141045,90.48831604421139,6.977790405973792,0.2060909339869228,0.041120330810546876,0.010035542119436832,4.8985713102107873e-08,2.2347582811038924e-09
cifar10,onesided,0.25,layer2.6,128,39.05129047483206,28.704850980080664,1.002208398655057,0.2358201830614634,0.034915869140625,0.007570105651917402,4.3805642798808166e-08,1.6375666657039773e-09
cifar10,onesided,0.25,layer3.2,256,742.2049151882529,72.12073009461164,8.186254071071744,0.197515851816857,0.03463467407226563,0.007416702392464504,2.1311789031100424e-08,7.650596968040559e-10
cifar10,onesided,0.25,layer3.6,256,63.36567697674036,32.84090244024992,1.011426649056375,0.2616709521020124,0.03287266235351563,0.006806849526675068,2.201415482530177e-08,7.595919093468852e-10
cifar10,onesided,0.25,layer3.10,256,139.3159435093403,29.210462792310864,1.8762738797813654,0.18552335578197449,0.028237731933593753,0.005723186171401176,1.1728686421088718e-08,3.483419776684982e-10
cifar10,onesided,0.25,layer4.2,512,412.85937973856926,19.58715721592307,5.385133958887309,0.10680606755716283,0.024970031738281252,0.005347705509733351,2.754389956399702e-09,6.972742580613497e-11
cifar10,onesided,0.25,layer4.6,512,21.013988260179758,1.5162666864925995,1.0,0.08584949531851753,0.02651297607421875,0.005316965927602724,7.633351994731817e-10,2.0612896987307132e-11
cifar10,onesided,0.25,layer4.10,512,7.872173313982785,0.2371042204031255,1.0,0.06968312915837302,0.02554019775390625,0.005308816707876395,3.474725053478495e-10,9.062058895818025e-12
cifar10,onesided,0.25,layer5.2,512,14.147864634171128,0.3967386067379266,1.0,0.07803416965562068,0.031375537109375004,0.006587628393058549,9.323009858242012e-10,2.9739219457137825e-11
cifar10,onesided,0.25,layer5.6,512,9.933703416958451,0.3622177730430849,1.0,0.08169254375382487,0.02985078125,0.006266606762528682,8.700375637061477e-10,2.6377000775266082e-11
cifar10,onesided,0.25,layer5.10,512,36.94989127293229,1.4001481044106185,1.0094896159134805,0.14605224279134182,0.043910400390625,0.00802932216230838,2.3228848201044743e-09,1.1380041304715086e-10
cifar10,onesided,0.25,classifier.2,4096,169.43338012695312,0.549789387268002,2.3727757930755615,0.02237549124406016,0.0110464111328125,0.0022388567997140155,2.380551211774593e-09,1.1761415254018124e-10
cifar10,onesided,0.25,classifier.5,4096,275.36090087890625,0.5517084199236706,4.481390953063965,0.010017993874543241,0.00442880859375,0.0008745979296110819,5.954981461417987e-09,4.100981341484388e-10
cifar10,onesided,0.5,layer1.6,64,107.7372114174068,33.534313866868615,1.4210703372955322,0.6487554572999756,0.07066088867187499,0.01419810456458363,6.881703554868962e-08,5.737735323331032e-09
cifar10,onesided,0.5,layer2.2,128,943.5647804141045,90.48831604421139,6.977790405973792,0.35767243612740385,0.0699145050048828,0.01737381865864845,4.8985713102107873e-08,3.80726327586937e-09
cifar10,onesided,0.5,layer2.6,128,39.05129047483206,28.704850980080664,1.002208398655057,0.35283902731593264,0.05182476806640625,0.011320174299180507,4.3805642798808166e-08,2.4355247340853057e-09
cifar10,onesided,0.5,layer3.2,256,742.2049151882529,72.12073009461164,8.186254071071744,0.2793385586343392,0.048807427978515616,0.010513128862949089,2.1311789031100424e-08,1.079175448105941e-09
cifar10,onesided,0.5,layer3.6,256,63.36567697674036,32.84090244024992,1.011426649056375,0.33851936593106546,0.04231913452148437,0.008816698544996327,2.201415482530177e-08,9.807111262696705e-10
cifar10,onesided,0.5,layer3.10,256,139.3159435093403,29.210462792310864,1.8762738797813654,0.22980654755312185,0.034852001953125,0.0071163927463523576,1.1728686421088718e-08,4.310146350685214e-10
cifar10,onesided,0.5,layer4.2,512,412.85937973856926,19.58715721592307,5.385133958887309,0.13321753690433358,0.031000793457031252,0.006670202072436222,2.754389956399702e-09,8.666034512849638e-11
cifar10,onesided,0.5,layer4.6,512,21.013988260179758,1.5162666864925995,1.0,0.10524173955773711,0.032429052734375005,0.006519953208573861,7.633351994731817e-10,2.5240269460238167e-11
cifar10,onesided,0.5,layer4.10,512,7.872173313982785,0.2371042204031255,1.0,0.0884967770519795,0.032082885742187504,0.006744623873691307,3.474725053478495e-10,1.1384493533859011e-11
cifar10,onesided,0.5,layer5.2,512,14.147864634171128,0.3967386067379266,1.0,0.10220697224435615,0.04044521484375,0.008627562553292955,9.323009858242012e-10,3.832253487857437e-11
cifar10,onesided,0.5,layer5.6,512,9.933703416958451,0.3622177730430849,1.0,0.1053748779862466,0.037937939453125,0.008081573597188252,8.700375637061477e-10,3.352687431930713e-11
cifar10,onesided,0.5,layer5.10,512,36.94989127293229,1.4001481044106185,1.0094896159134805,0.18598352980162722,0.055284375,0.01022858290660588,2.3228848201044743e-09,1.432686932662505e-10
cifar10,onesided,0.5,classifier.2,4096,169.43338012695312,0.549789387268002,2.3727757930755615,0.02883487485689912,0.0140724853515625,0.0028864207327487608,2.380551211774593e-09,1.50054462684223e-10
cifar10,onesided,0.5,classifier.5,4096,275.36090087890625,0.5517084199236706,4.481390953063965,0.012843417524735608,0.0056287109375,0.0011221391579412739,5.954981461417987e-09,5.217777457319862e-10
cifar10,onesided,1.0,layer1.6,64,107.7372114174068,33.534313866868615,1.4210703372955322,1.2975109143105186,0.11456241912841797,0.023003777712379814,6.881703554868962e-08,9.783843806216759e-09
cifar10,onesided,1.0,layer2.2,128,943.5647804141045,90.48831604421139,6.977790405973792,0.6830406256794428,0.12475370178222657,0.030750192089576744,4.8985713102107873e-08,6.8400585893437515e-09
cifar10,onesided,1.0,layer2.6,128,39.05129047483206,28.704850980080664,1.002208398655057,0.6168837731728449,0.08513628234863281,0.018897387683438138,4.3805642798808166e-08,4.0545686230361996e-09
cifar10,onesided,1.0,layer3.2,256,742.2049151882529,72.12073009461164,8.186254071071744,0.4734797010463604,0.08024685668945312,0.01761464274890022,2.1311789031100424e-08,1.780281465848873e-09
cifar10,onesided,1.0,layer3.6,256,63.36567697674036,32.84090244024992,1.011426649056375,0.5264425257238471,0.06305060424804687,0.013503051704954123,2.201415482530177e-08,1.4753358727628825e-09
cifar10,onesided,1.0,layer3.10,256,139.3159435093403,29.210462792310864,1.8762738797813654,0.3450941672263167,0.05110218505859375,0.01076482698591426,1.1728686421088718e-08,6.383599608720228e-10
cifar10,onesided,1.0,layer4.2,512,412.85937973856926,19.58715721592307,5.385133958887309,0.20465621894420366,0.0470770263671875,0.010248435586277627,2.754389956399702e-09,1.3188820798603856e-10
cifar10,onesided,1.0,layer4.6,512,21.013988260179758,1.5162666864925995,1.0,0.15773321073731228,0.04818416748046875,0.009782353074490675,7.633351994731817e-10,3.7558578055020976e-11
cifar10,onesided,1.0,layer4.10,512,7.872173313982785,0.2371042204031255,1.0,0.13950513766099937,0.049722827148437496,0.010638443185022332,3.474725053478495e-10,1.7656486470327265e-11
cifar10,onesided,1.0,layer5.2,512,14.147864634171128,0.3967386067379266,1.0,0.1679865968968985,0.065136962890625,0.01418244580271712,9.323009858242012e-10,6.177046126733207e-11
cifar10,onesided,1.0,layer5.6,512,9.933703416958451,0.3622177730430849,1.0,0.17062386204894311,0.06014824218749999,0.013083512320902081,8.700375637061477e-10,5.3208382713154e-11
cifar10,onesided,1.0,layer5.10,512,36.94989127293229,1.4001481044106185,1.0094896159134805,0.29486424368044517,0.08516416015625,0.016196431437873977,2.3228848201044743e-09,2.2117063169787962e-10
cifar10,onesided,1.0,classifier.2,4096,169.43338012695312,0.549789387268002,2.3727757930755615,0.046704821242451025,0.022363793945312502,0.004680418718005512,2.380551211774593e-09,2.38689042536351e-10
cifar10,onesided,1.0,classifier.5,4096,275.36090087890625,0.5517084199236706,4.481390953063965,0.020746319695796774,0.008775439453124999,0.001813747220717778,5.954981461417987e-09,8.136871380813091e-10
