dataset,arch,method,method_label,seed,L,T,sigma,condition,use_for_energy,noise_position,n_samples,accuracy,firing_density_mean,firing_density_median,firing_density_p95,event_synops_mean,event_synops_median,event_synops_p95,rest_acs_mean,rest_acs_median,rest_acs_p95,first_macs_per_sample,energy_mJ_mean,energy_mJ_median,energy_mJ_p95,checkpoint
cifar10,vgg16,l2,L2,40,16,4,0,clean,yes,post_input_if,10000,90.64999999999999,0.10993165458843862,0.11071338241906475,0.1263719737100944,131207455.80375,131891520.625,150418722.22499996,124421407.80455,125105472.625,143632674.22499996,7077888.0,0.14453755182409503,0.14515321016250002,0.1618276916025,/home/595/sl9144/codes/snn_simulation/QCFS_simulation/cifar10-checkpoints/vgg16_L[16]_mneablate_cifar10_weight_decay_rcnone_seed40_L16_trainT0.pth
cifar10,vgg16,l2,L2,40,16,4,1,noise,no,post_input_if,10000,10.190000000000001,0.14795693341810925,0.1482425387814748,0.15641005262196492,263203049.3043875,263214901.5,267692810.6,256417001.3051875,256428853.5,260906762.6,7077888.0,0.26333358597466877,0.2633442529500001,0.26737437113999996,/home/595/sl9144/codes/snn_simulation/QCFS_simulation/cifar10-checkpoints/vgg16_L[16]_mneablate_cifar10_weight_decay_rcnone_seed40_L16_trainT0.pth
cifar10,vgg16,l2,L2,40,16,8,0,clean,yes,post_input_if,10000,90.68,0.11005714769980891,0.11085872512927158,0.12644238369070368,266457288.7081,267645031.5,304856868.65,252885192.7081,254072935.5,291284772.65,14155776.0,0.29271324303729,0.29378221155000006,0.327272864985,/home/595/sl9144/codes/snn_simulation/QCFS_simulation/cifar10-checkpoints/vgg16_L[16]_mneablate_cifar10_weight_decay_rcnone_seed40_L16_trainT0.pth
cifar10,vgg16,l2,L2,40,16,8,1,noise,no,post_input_if,10000,11.87,0.13417011630929632,0.13447142676483814,0.14350502508149732,514159602.0689,513884364.25,526147455.3,500587506.0689,500312268.25,512575359.3,14155776.0,0.51564532506201,0.515397611025,0.5264343929699999,/home/595/sl9144/codes/snn_simulation/QCFS_simulation/cifar10-checkpoints/vgg16_L[16]_mneablate_cifar10_weight_decay_rcnone_seed40_L16_trainT0.pth
cifar10,vgg16,l2,L2,40,16,16,0,clean,yes,post_input_if,10000,90.79,0.11008553811491822,0.11090120823263264,0.12643508362255507,543673559.106775,546571819.0,620230098.3,516529367.106775,519427627.0,593085906.3,28311552.0,0.5951095695960976,0.5977180035,0.6640104548700001,/home/595/sl9144/codes/snn_simulation/QCFS_simulation/cifar10-checkpoints/vgg16_L[16]_mneablate_cifar10_weight_decay_rcnone_seed40_L16_trainT0.pth
cifar10,vgg16,l2,L2,40,16,16,1,noise,no,post_input_if,10000,17.93,0.12108771825557132,0.12108002806738985,0.13328300860288333,998245255.86305,993555864.5,1051305054.1999999,971101063.86305,966411672.5,1024160862.1999999,28311552.0,1.004224096676745,1.00000364445,1.05197791518,/home/595/sl9144/codes/snn_simulation/QCFS_simulation/cifar10-checkpoints/vgg16_L[16]_mneablate_cifar10_weight_decay_rcnone_seed40_L16_trainT0.pth
cifar10,vgg16,l2,L2,41,16,4,0,clean,yes,post_input_if,10000,90.08,0.10297012913107015,0.10351430769446943,0.11792295167772031,127327089.95384374,127890175.875,146191860.8375,120541041.95464376,121104127.875,139405812.8375,7077888.0,0.1410452225591794,0.1415519998875,0.15802351635375,/home/595/sl9144/codes/snn_simulation/QCFS_simulation/cifar10-checkpoints/vgg16_L[16]_mneablate_cifar10_weight_decay_rcnone_seed41_L16_trainT0.pth
cifar10,vgg16,l2,L2,41,16,4,1,noise,no,post_input_if,10000,10.0,0.1397881484656025,0.14004055544626798,0.14728178394784172,267439220.1924,267387760.5,271870446.1,260653172.1932,260601712.5,265084398.1,7077888.0,0.26714613977388,0.26709982605000004,0.27113424309,/home/595/sl9144/codes/snn_simulation/QCFS_simulation/cifar10-checkpoints/vgg16_L[16]_mneablate_cifar10_weight_decay_rcnone_seed41_L16_trainT0.pth
cifar10,vgg16,l2,L2,41,16,8,0,clean,yes,post_input_if,10000,90.55,0.10305392614131352,0.10361639887308903,0.11793680534088355,258562018.4382,259768720.75,296254206.05,244989922.4382,246196624.75,282682110.05,14155776.0,0.28560749979438,0.286693531875,0.319530468645,/home/595/sl9144/codes/snn_simulation/QCFS_simulation/cifar10-checkpoints/vgg16_L[16]_mneablate_cifar10_weight_decay_rcnone_seed41_L16_trainT0.pth
cifar10,vgg16,l2,L2,41,16,8,1,noise,no,post_input_if,10000,10.31,0.12445505006639218,0.12461029711387141,0.13302638650798113,513209873.289075,512645172.0,526708639.425,499637777.289075,499073076.0,513136543.425,14155776.0,0.5147905691601674,0.514282338,0.5269394586824999,/home/595/sl9144/codes/snn_simulation/QCFS_simulation/cifar10-checkpoints/vgg16_L[16]_mneablate_cifar10_weight_decay_rcnone_seed41_L16_trainT0.pth
