dataset,arch,method,method_label,T,sigma,condition,use_for_energy,n_seeds,n_samples,noise_position,accuracy_mean,accuracy_std,firing_density_mean_mean,firing_density_mean_std,firing_density_median_mean,firing_density_median_std,firing_density_p95_mean,firing_density_p95_std,event_synops_mean_mean,event_synops_mean_std,event_synops_median_mean,event_synops_median_std,event_synops_p95_mean,event_synops_p95_std,rest_acs_mean_mean,rest_acs_mean_std,rest_acs_median_mean,rest_acs_median_std,rest_acs_p95_mean,rest_acs_p95_std,energy_mJ_mean_mean,energy_mJ_mean_std,energy_mJ_median_mean,energy_mJ_median_std,energy_mJ_p95_mean,energy_mJ_p95_std
cifar10,vgg16,l2,L2,4,0,clean,yes,5,10000,post_input_if,90.292,0.2291724241700964,0.1045940456384892,0.0030268350880415496,0.10524577408385791,0.003111239734632697,0.12035838614264838,0.0035349837583227408,128495475.35643499,1627196.7301402895,129112668.925,1663675.6395632604,147646546.30749997,1685644.8445286036,121709427.357235,1627196.7301402932,122326620.925,1663675.6395632604,140860498.30749997,1685644.8445286036,0.14209676942151153,0.0014644770571262693,0.1426522436325,0.0014973080756069412,0.15933273327675002,0.0015170803600757501
cifar10,vgg16,l2,L2,4,1,noise,no,5,10000,post_input_if,10.104000000000001,0.1453616180427285,0.13890391455780687,0.005628600355787574,0.13914944216501798,0.005659691413698178,0.14740032388151977,0.005693879626399768,262338045.63209748,3849704.4761414994,262406018.375,3892469.443086881,267637318.2325,3235457.182041421,255551997.63289753,3849704.4761414877,255619970.375,3892469.443086881,260851270.2325,3235457.182041411,0.26255508266960775,0.00346473402852734,0.26261625813750006,0.003503222498778203,0.26732442800925,0.0029119114638372877
cifar10,vgg16,l2,L2,8,0,clean,yes,5,10000,post_input_if,90.524,0.13501851724856107,0.10470619700040748,0.0030347875455609785,0.10535954537151529,0.003129546281366392,0.12041942568991681,0.003544938180954456,260864936.24160498,3320707.224696361,262133007.65,3315085.861958728,299210411.335,3447813.448270323,247292840.24160498,3320707.224696361,248560911.65,3315085.861958728,285638315.335,3447813.448270323,0.2876801258174445,0.0029886365022267266,0.288821390085,0.002983577275762881,0.3221910534015,0.00310303210344331
cifar10,vgg16,l2,L2,8,1,noise,no,5,10000,post_input_if,11.166,1.1751936010717547,0.12476918010025573,0.005537611513621812,0.12494397060476618,0.005624046942016342,0.1345408663303732,0.005387922236964502,507039049.868585,6935817.180901863,506336532.75,7373809.025372032,523239316.63500005,3953808.0456400253,493466953.868585,6935817.180901863,492764436.75,7373809.025372032,509667220.63500005,3953808.0456400253,0.5092368280817265,0.00624223546281167,0.508604562675,0.006636428122834852,0.5238170681715,0.003558427241075965
cifar10,vgg16,l2,L2,16,0,clean,yes,5,10000,post_input_if,90.59400000000001,0.13240090634131027,0.10473400542115137,0.003035630979670391,0.10537910735864434,0.003141289909119425,0.12044946464703236,0.0035309121036432205,532251155.72717,6721811.6038860725,534995975.5,6842526.86386231,608455480.9799999,7114972.432452034,505106963.72717,6721811.603886047,507851783.5,6842526.86386231,581311288.9799999,7114972.432452034,0.584829406554453,0.0060496304434974535,0.58729974435,0.006158274177476085,0.653413299282,0.006403475189206883
cifar10,vgg16,l2,L2,16,1,noise,no,5,10000,post_input_if,23.304,6.463302561384543,0.11259886638394363,0.004805520236749294,0.11241610959279451,0.00491873057346792,0.12511559575581724,0.004707295734589014,983436249.111455,9727662.803712545,978570599.05,9859940.248014001,1042942676.0199999,5788225.425027681,956292057.111455,9727662.803712545,951426407.05,9859940.248014001,1015798484.0199999,5788225.425027681,0.9908959906003094,0.00875489652334132,0.986516905545,0.008873946223212614,1.044451774818,0.005209402882524867
cifar10,vgg16,l2_wo,L2-wo,4,0,clean,yes,5,10000,post_input_if,90.574,0.18270194306574658,0.10212262955260791,0.0011594642635489503,0.10278873580822841,0.001116357202177444,0.11745581757250449,0.001251725621377223,106985208.09392785,906057.1606080084,106717545.7375,949328.6507488282,125037276.27000001,1197206.9583564263,100199160.09472784,906057.1606080084,99931497.7375,949328.6507488282,118251228.27000001,1197206.9583564263,0.12273752888525506,0.0008154514445472122,0.12249663276375,0.0008543957856739473,0.138984390243,0.0010774862625207748
cifar10,vgg16,l2_wo,L2-wo,4,1,noise,no,5,10000,post_input_if,88.43199999999999,0.2664957785781947,0.10317759976393885,0.0011747297181184213,0.10387033146919963,0.0011566619112254057,0.11860605363365558,0.0012165140340091407,215785023.83812267,543629.9004782224,215319808.85,605909.2956051296,230027448.99124998,551116.2336058016,208998975.83892265,543629.900478216,208533760.85,605909.2956051296,223241400.99124998,551116.2336058016,0.22065736305503042,0.0004892669104303959,0.220238669565,0.0005453183660446061,0.233475545692125,0.0004960046102452318
cifar10,vgg16,l2_wo,L2-wo,8,0,clean,yes,5,10000,post_input_if,90.964,0.06268971207462697,0.10237605293109261,0.0011290100209716471,0.1030149610780126,0.0011017213530863617,0.11762254893350943,0.0011829874910966912,217070816.24192876,1785492.3610562312,216391756.975,1842385.5934352379,253103777.80249995,2441403.884283252,203498720.24192876,1785492.3610562312,202819660.975,1842385.5934352379,239531681.80249995,2441403.884283252,0.24826541781773592,0.00160694312495062,0.24765426447750002,0.0016581470340917182,0.28069508322225,0.0021972634958549544
cifar10,vgg16,l2_wo,L2-wo,8,1,noise,no,5,10000,post_input_if,90.19,0.2018662923818601,0.10291430168755619,0.001144258621523805,0.10360581651866008,0.0011068288341749316,0.11823042396161196,0.0011914944731324535,435391426.6111913,1126204.365541328,434494651.1,1193209.401726362,463566793.11499995,1266424.4968355128,421819330.6111913,1126204.365541328,420922555.1,1193209.401726362,449994697.11499995,1266424.4968355128,0.44475396715007215,0.0010135839289871751,0.44394686919000004,0.0010738884615537475,0.4701117970035001,0.0011397820471519486
