dataset,arch,method,method_label,seed,L,T,n_samples,mode,accuracy,if_firing_density,ann_macs_per_sample,snn_first_macs_per_sample,snn_rest_acs_per_sample,event_synops_per_sample,ann_energy_mJ,snn_energy_mJ,snn_event_only_energy_mJ,energy_mJ,energy_ratio_ann_over_snn,checkpoint
cifar10,vgg16,l2,L2,40,16,0,10000,ANN,90.78,0.2744301367890063,332111872.0,1769472.0,78609576.1526,80306088.1522,1.5277146112,0.07888818973734,0.07227547933698,1.5277146112,1.0,/home/595/sl9144/codes/snn_simulation/QCFS_simulation/cifar10-checkpoints/vgg16_L[16]_mneablate_cifar10_weight_decay_rcnone_seed40_L16_trainT0.pth
cifar10,vgg16,l2,L2,40,16,4,10000,SNN,90.65,0.10993165458843862,332111872.0,7077888.0,124421407.9862,131207455.9862,1.5277146112,0.14453755198758,0.11808671038758002,0.14453755198758,10.56967265732628,/home/595/sl9144/codes/snn_simulation/QCFS_simulation/cifar10-checkpoints/vgg16_L[16]_mneablate_cifar10_weight_decay_rcnone_seed40_L16_trainT0.pth
cifar10,vgg16,l2,L2,40,16,8,10000,SNN,90.68,0.1100571476998089,332111872.0,14155776.0,252885192.71,266457288.71,1.5277146112,0.29271324303900004,0.23981155983900004,0.29271324303900004,5.219150986607233,/home/595/sl9144/codes/snn_simulation/QCFS_simulation/cifar10-checkpoints/vgg16_L[16]_mneablate_cifar10_weight_decay_rcnone_seed40_L16_trainT0.pth
cifar10,vgg16,l2,L2,40,16,16,10000,SNN,90.79,0.11008553811491822,332111872.0,28311552.0,516529368.7432,543673560.7432,1.5277146112,0.5951095710688801,0.48930620466888003,0.5951095710688801,2.5671148398034704,/home/595/sl9144/codes/snn_simulation/QCFS_simulation/cifar10-checkpoints/vgg16_L[16]_mneablate_cifar10_weight_decay_rcnone_seed40_L16_trainT0.pth
cifar10,vgg16,l2,L2,41,16,0,10000,ANN,90.46,0.26506095646919964,332111872.0,1769472.0,77554271.4632,79250783.4628,1.5277146112,0.07793841551688001,0.07132570511652,1.5277146112,1.0,/home/595/sl9144/codes/snn_simulation/QCFS_simulation/cifar10-checkpoints/vgg16_L[16]_mneablate_cifar10_weight_decay_rcnone_seed41_L16_trainT0.pth
cifar10,vgg16,l2,L2,41,16,4,10000,SNN,90.08,0.10297012913107015,332111872.0,7077888.0,120541041.8794,127327089.8794,1.5277146112,0.14104522249146,0.11459438089146001,0.14104522249146,10.831381483286325,/home/595/sl9144/codes/snn_simulation/QCFS_simulation/cifar10-checkpoints/vgg16_L[16]_mneablate_cifar10_weight_decay_rcnone_seed41_L16_trainT0.pth
cifar10,vgg16,l2,L2,41,16,8,10000,SNN,90.55,0.1030539261413135,332111872.0,14155776.0,244989922.5116,258562018.5116,1.5277146112,0.28560749986044004,0.23270581666044002,0.28560749986044004,5.349000330686366,/home/595/sl9144/codes/snn_simulation/QCFS_simulation/cifar10-checkpoints/vgg16_L[16]_mneablate_cifar10_weight_decay_rcnone_seed41_L16_trainT0.pth
cifar10,vgg16,l2,L2,41,16,16,10000,SNN,90.45,0.10307435827461078,332111872.0,28311552.0,500524182.489,527668374.489,1.5277146112,0.5807049034401,0.4749015370401001,0.5807049034401,2.6307933722443324,/home/595/sl9144/codes/snn_simulation/QCFS_simulation/cifar10-checkpoints/vgg16_L[16]_mneablate_cifar10_weight_decay_rcnone_seed41_L16_trainT0.pth
cifar10,vgg16,l2,L2,42,16,0,10000,ANN,90.51,0.26635899807497754,332111872.0,1769472.0,77451743.6168,79148255.6164,1.5277146112,0.07784614045512,0.07123343005476002,1.5277146112,1.0,/home/595/sl9144/codes/snn_simulation/QCFS_simulation/cifar10-checkpoints/vgg16_L[16]_mneablate_cifar10_weight_decay_rcnone_seed42_L16_trainT0.pth
cifar10,vgg16,l2,L2,42,16,4,10000,SNN,90.27,0.10258489568696605,332111872.0,7077888.0,120387283.264,127173331.264,1.5277146112,0.14090683973760001,0.11445599813760002,0.14090683973760001,10.842018840568318,/home/595/sl9144/codes/snn_simulation/QCFS_simulation/cifar10-checkpoints/vgg16_L[16]_mneablate_cifar10_weight_decay_rcnone_seed42_L16_trainT0.pth
