model,sigma,l2_weights_only,calibrated_mne_alpha_0p1,mne_minus_l2
c2-c4,0.0,82.19,82.78,0.5900000000000034
c2-c4,0.1,81.7,82.42,0.7199999999999989
c2-c4,0.2,80.87,81.29,0.4200000000000017
c2-c4,0.3,78.48,80.24,1.759999999999991
c2-c4,0.4,72.43,78.05,5.61999999999999
c2-c4,0.5,66.24,74.68,8.440000000000012
c2-c4,0.6,61.3,69.73,8.430000000000007
c2-c4,0.7,56.12,65.57,9.449999999999996
c2-c4,0.8,51.95,60.79,8.839999999999996
c2-c4,0.9,45.63,55.05,9.419999999999995
c2-c4,1.0,42.12,50.51,8.39
c4-c8,0.0,84.75,85.02,0.269999999999996
c4-c8,0.1,83.96,84.13,0.1700000000000017
c4-c8,0.2,83.33,83.51,0.18000000000000682
c4-c8,0.3,81.8,82.83,1.0300000000000011
c4-c8,0.4,79.76,80.69,0.9299999999999926
c4-c8,0.5,77.81,78.36,0.5499999999999972
c4-c8,0.6,74.6,74.73,0.13000000000000966
c4-c8,0.7,71.47,71.79,0.3200000000000074
c4-c8,0.8,66.48,66.52,0.03999999999999204
c4-c8,0.9,60.99,61.55,0.5599999999999952
c4-c8,1.0,54.6,55.54,0.9399999999999977
c8-c16,0.0,86.6,86.93,0.3300000000000125
c8-c16,0.1,86.24,86.62,0.38000000000000966
c8-c16,0.2,85.94,86.06,0.12000000000000455
c8-c16,0.3,84.01,84.86,0.8499999999999943
c8-c16,0.4,82.06,82.4,0.3400000000000034
c8-c16,0.5,78.76,79.78,1.019999999999996
c8-c16,0.6,73.58,74.77,1.1899999999999977
c8-c16,0.7,67.28,68.91,1.6299999999999955
c8-c16,0.8,60.08,62.25,2.1700000000000017
c8-c16,0.9,52.05,54.07,2.020000000000003
c8-c16,1.0,46.56,48.06,1.5
c16-c32,0.0,88.33,88.39,0.060000000000002274
c16-c32,0.1,88.58,88.19,-0.39000000000000057
c16-c32,0.2,88.05,87.16,-0.8900000000000006
c16-c32,0.3,87.21,86.1,-1.1099999999999994
c16-c32,0.4,85.94,83.73,-2.2099999999999937
c16-c32,0.5,84.35,80.78,-3.569999999999993
c16-c32,0.6,82.17,77.37,-4.799999999999997
c16-c32,0.7,79.25,72.62,-6.6299999999999955
c16-c32,0.8,75.27,66.5,-8.769999999999996
c16-c32,0.9,70.47,59.79,-10.68
c16-c32,1.0,64.79,53.27,-11.520000000000003
