dataset,arch,method,method_label,regularizer,reg_coeff,weight_decay,seed,L,train_T,test_T,if_mode,spike_schedule,noise_position,noise_type,sigma,acc,checkpoint,matrix_csv
fashion_mnist,cnn2_avg_c2_c4,weight_decay,L2-all (all params),weight_decay,none,0.0005,42,16,0,16,rate_uniform,normal,post_input_if,gaussian,0,85.750000,fashion_mnist-checkpoints/cnn2_avg_c2_c4_L[16]_fashion_four_regs_cnn2_avg_c2_c4_weight_decay_seed42_ep30_L16.pth,/home/595/sl9144/codes/snn_simulation/important_results/fashion_cnn2_avg_widths_four_regs_sigma0_3_seed42/cnn2_avg_c2_c4/weight_decay/seed_42/noise_sweep_matrix_fashion_mnist_cnn2_avg_c2_c4_T16_mode_rate_uniform_schedule_normal_seed_42.csv
fashion_mnist,cnn2_avg_c2_c4,weight_decay,L2-all (all params),weight_decay,none,0.0005,42,16,0,16,rate_uniform,normal,post_input_if,gaussian,0.25,84.380000,fashion_mnist-checkpoints/cnn2_avg_c2_c4_L[16]_fashion_four_regs_cnn2_avg_c2_c4_weight_decay_seed42_ep30_L16.pth,/home/595/sl9144/codes/snn_simulation/important_results/fashion_cnn2_avg_widths_four_regs_sigma0_3_seed42/cnn2_avg_c2_c4/weight_decay/seed_42/noise_sweep_matrix_fashion_mnist_cnn2_avg_c2_c4_T16_mode_rate_uniform_schedule_normal_seed_42.csv
fashion_mnist,cnn2_avg_c2_c4,weight_decay,L2-all (all params),weight_decay,none,0.0005,42,16,0,16,rate_uniform,normal,post_input_if,gaussian,0.5,81.980000,fashion_mnist-checkpoints/cnn2_avg_c2_c4_L[16]_fashion_four_regs_cnn2_avg_c2_c4_weight_decay_seed42_ep30_L16.pth,/home/595/sl9144/codes/snn_simulation/important_results/fashion_cnn2_avg_widths_four_regs_sigma0_3_seed42/cnn2_avg_c2_c4/weight_decay/seed_42/noise_sweep_matrix_fashion_mnist_cnn2_avg_c2_c4_T16_mode_rate_uniform_schedule_normal_seed_42.csv
fashion_mnist,cnn2_avg_c2_c4,weight_decay,L2-all (all params),weight_decay,none,0.0005,42,16,0,16,rate_uniform,normal,post_input_if,gaussian,0.75,77.170000,fashion_mnist-checkpoints/cnn2_avg_c2_c4_L[16]_fashion_four_regs_cnn2_avg_c2_c4_weight_decay_seed42_ep30_L16.pth,/home/595/sl9144/codes/snn_simulation/important_results/fashion_cnn2_avg_widths_four_regs_sigma0_3_seed42/cnn2_avg_c2_c4/weight_decay/seed_42/noise_sweep_matrix_fashion_mnist_cnn2_avg_c2_c4_T16_mode_rate_uniform_schedule_normal_seed_42.csv
fashion_mnist,cnn2_avg_c2_c4,weight_decay,L2-all (all params),weight_decay,none,0.0005,42,16,0,16,rate_uniform,normal,post_input_if,gaussian,1,68.560000,fashion_mnist-checkpoints/cnn2_avg_c2_c4_L[16]_fashion_four_regs_cnn2_avg_c2_c4_weight_decay_seed42_ep30_L16.pth,/home/595/sl9144/codes/snn_simulation/important_results/fashion_cnn2_avg_widths_four_regs_sigma0_3_seed42/cnn2_avg_c2_c4/weight_decay/seed_42/noise_sweep_matrix_fashion_mnist_cnn2_avg_c2_c4_T16_mode_rate_uniform_schedule_normal_seed_42.csv
fashion_mnist,cnn2_avg_c2_c4,weight_decay,L2-all (all params),weight_decay,none,0.0005,42,16,0,16,rate_uniform,normal,post_input_if,gaussian,1.25,58.600000,fashion_mnist-checkpoints/cnn2_avg_c2_c4_L[16]_fashion_four_regs_cnn2_avg_c2_c4_weight_decay_seed42_ep30_L16.pth,/home/595/sl9144/codes/snn_simulation/important_results/fashion_cnn2_avg_widths_four_regs_sigma0_3_seed42/cnn2_avg_c2_c4/weight_decay/seed_42/noise_sweep_matrix_fashion_mnist_cnn2_avg_c2_c4_T16_mode_rate_uniform_schedule_normal_seed_42.csv
fashion_mnist,cnn2_avg_c2_c4,weight_decay,L2-all (all params),weight_decay,none,0.0005,42,16,0,16,rate_uniform,normal,post_input_if,gaussian,1.5,49.290000,fashion_mnist-checkpoints/cnn2_avg_c2_c4_L[16]_fashion_four_regs_cnn2_avg_c2_c4_weight_decay_seed42_ep30_L16.pth,/home/595/sl9144/codes/snn_simulation/important_results/fashion_cnn2_avg_widths_four_regs_sigma0_3_seed42/cnn2_avg_c2_c4/weight_decay/seed_42/noise_sweep_matrix_fashion_mnist_cnn2_avg_c2_c4_T16_mode_rate_uniform_schedule_normal_seed_42.csv
fashion_mnist,cnn2_avg_c2_c4,weight_decay,L2-all (all params),weight_decay,none,0.0005,42,16,0,16,rate_uniform,normal,post_input_if,gaussian,1.75,40.840000,fashion_mnist-checkpoints/cnn2_avg_c2_c4_L[16]_fashion_four_regs_cnn2_avg_c2_c4_weight_decay_seed42_ep30_L16.pth,/home/595/sl9144/codes/snn_simulation/important_results/fashion_cnn2_avg_widths_four_regs_sigma0_3_seed42/cnn2_avg_c2_c4/weight_decay/seed_42/noise_sweep_matrix_fashion_mnist_cnn2_avg_c2_c4_T16_mode_rate_uniform_schedule_normal_seed_42.csv
fashion_mnist,cnn2_avg_c2_c4,weight_decay,L2-all (all params),weight_decay,none,0.0005,42,16,0,16,rate_uniform,normal,post_input_if,gaussian,2,34.270000,fashion_mnist-checkpoints/cnn2_avg_c2_c4_L[16]_fashion_four_regs_cnn2_avg_c2_c4_weight_decay_seed42_ep30_L16.pth,/home/595/sl9144/codes/snn_simulation/important_results/fashion_cnn2_avg_widths_four_regs_sigma0_3_seed42/cnn2_avg_c2_c4/weight_decay/seed_42/noise_sweep_matrix_fashion_mnist_cnn2_avg_c2_c4_T16_mode_rate_uniform_schedule_normal_seed_42.csv
fashion_mnist,cnn2_avg_c2_c4,weight_decay,L2-all (all params),weight_decay,none,0.0005,42,16,0,16,rate_uniform,normal,post_input_if,gaussian,2.25,29.490000,fashion_mnist-checkpoints/cnn2_avg_c2_c4_L[16]_fashion_four_regs_cnn2_avg_c2_c4_weight_decay_seed42_ep30_L16.pth,/home/595/sl9144/codes/snn_simulation/important_results/fashion_cnn2_avg_widths_four_regs_sigma0_3_seed42/cnn2_avg_c2_c4/weight_decay/seed_42/noise_sweep_matrix_fashion_mnist_cnn2_avg_c2_c4_T16_mode_rate_uniform_schedule_normal_seed_42.csv
