method,method_label,sigma,n,acc_mean,acc_std
calibrated_mne_a0p1,Calibrated MNE (α=0.1),0,1,85.020000,0.000000
calibrated_mne_a0p1,Calibrated MNE (α=0.1),0.25,1,82.670000,0.000000
calibrated_mne_a0p1,Calibrated MNE (α=0.1),0.5,1,77.950000,0.000000
calibrated_mne_a0p1,Calibrated MNE (α=0.1),0.75,1,69.760000,0.000000
calibrated_mne_a0p1,Calibrated MNE (α=0.1),1,1,55.030000,0.000000
calibrated_mne_a0p1,Calibrated MNE (α=0.1),1.25,1,40.210000,0.000000
calibrated_mne_a0p1,Calibrated MNE (α=0.1),1.5,1,27.730000,0.000000
calibrated_mne_a0p1,Calibrated MNE (α=0.1),1.75,1,21.310000,0.000000
calibrated_mne_a0p1,Calibrated MNE (α=0.1),2,1,16.810000,0.000000
calibrated_mne_a0p1,Calibrated MNE (α=0.1),2.25,1,14.950000,0.000000
calibrated_mne_a0p1,Calibrated MNE (α=0.1),2.5,1,13.780000,0.000000
calibrated_mne_a0p1,Calibrated MNE (α=0.1),2.75,1,12.930000,0.000000
calibrated_mne_a0p1,Calibrated MNE (α=0.1),3,1,12.490000,0.000000
old_detach,Old MNE (detach λ),0,1,84.620000,0.000000
old_detach,Old MNE (detach λ),0.25,1,83.070000,0.000000
old_detach,Old MNE (detach λ),0.5,1,78.610000,0.000000
old_detach,Old MNE (detach λ),0.75,1,71.660000,0.000000
old_detach,Old MNE (detach λ),1,1,59.590000,0.000000
old_detach,Old MNE (detach λ),1.25,1,46.130000,0.000000
old_detach,Old MNE (detach λ),1.5,1,33.630000,0.000000
old_detach,Old MNE (detach λ),1.75,1,26.100000,0.000000
old_detach,Old MNE (detach λ),2,1,20.510000,0.000000
old_detach,Old MNE (detach λ),2.25,1,17.670000,0.000000
old_detach,Old MNE (detach λ),2.5,1,16.650000,0.000000
old_detach,Old MNE (detach λ),2.75,1,15.220000,0.000000
old_detach,Old MNE (detach λ),3,1,14.110000,0.000000
weight_decay,L2-all (all params),0,1,84.820000,0.000000
weight_decay,L2-all (all params),0.25,1,82.480000,0.000000
weight_decay,L2-all (all params),0.5,1,76.380000,0.000000
weight_decay,L2-all (all params),0.75,1,66.490000,0.000000
weight_decay,L2-all (all params),1,1,53.450000,0.000000
weight_decay,L2-all (all params),1.25,1,39.600000,0.000000
weight_decay,L2-all (all params),1.5,1,28.850000,0.000000
weight_decay,L2-all (all params),1.75,1,23.170000,0.000000
weight_decay,L2-all (all params),2,1,19.150000,0.000000
weight_decay,L2-all (all params),2.25,1,17.810000,0.000000
weight_decay,L2-all (all params),2.5,1,16.450000,0.000000
weight_decay,L2-all (all params),2.75,1,15.990000,0.000000
weight_decay,L2-all (all params),3,1,15.300000,0.000000
weight_decay_weights_only,L2-wo (weights only),0,1,84.750000,0.000000
weight_decay_weights_only,L2-wo (weights only),0.25,1,82.500000,0.000000
weight_decay_weights_only,L2-wo (weights only),0.5,1,77.390000,0.000000
weight_decay_weights_only,L2-wo (weights only),0.75,1,69.170000,0.000000
weight_decay_weights_only,L2-wo (weights only),1,1,54.650000,0.000000
weight_decay_weights_only,L2-wo (weights only),1.25,1,39.280000,0.000000
weight_decay_weights_only,L2-wo (weights only),1.5,1,27.200000,0.000000
weight_decay_weights_only,L2-wo (weights only),1.75,1,20.570000,0.000000
weight_decay_weights_only,L2-wo (weights only),2,1,16.510000,0.000000
weight_decay_weights_only,L2-wo (weights only),2.25,1,14.660000,0.000000
weight_decay_weights_only,L2-wo (weights only),2.5,1,13.650000,0.000000
weight_decay_weights_only,L2-wo (weights only),2.75,1,12.610000,0.000000
weight_decay_weights_only,L2-wo (weights only),3,1,12.280000,0.000000
