site,method,method_label,sigma,n,acc_mean,acc_std
post_input_if,manual_l2_all,Manual L2 (all params),0,1,80.310000,0.000000
post_input_if,manual_l2_all,Manual L2 (all params),0.25,1,73.400000,0.000000
post_input_if,manual_l2_all,Manual L2 (all params),0.5,1,57.630000,0.000000
post_input_if,manual_l2_all,Manual L2 (all params),0.75,1,46.796667,0.000000
post_input_if,manual_l2_all,Manual L2 (all params),1,1,38.986667,0.000000
post_input_if,wd_weight_only,WD (weights only),0,1,79.720000,0.000000
post_input_if,wd_weight_only,WD (weights only),0.25,1,72.543333,0.000000
post_input_if,wd_weight_only,WD (weights only),0.5,1,57.730000,0.000000
post_input_if,wd_weight_only,WD (weights only),0.75,1,48.423333,0.000000
post_input_if,wd_weight_only,WD (weights only),1,1,40.256667,0.000000
