dataset,model,method,method_label,seed,L,T,site,sigma,noise_repeat,noise_seed,accuracy,checkpoint
fashion_mnist,cnn4,wd_weight_only,WD (weights only),42,16,16,post_input_if,0,0,20302801,80.020000,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/QCFS_simulation/fashion_mnist-checkpoints/cnn4_L[16]_fashion_spectral_mne_cnn4_wd_weight_only_rcnone_seed42_ep30_L16_trainT0.pth
fashion_mnist,cnn4,wd_weight_only,WD (weights only),42,16,16,post_input_if,0.25,0,20302901,75.150000,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/QCFS_simulation/fashion_mnist-checkpoints/cnn4_L[16]_fashion_spectral_mne_cnn4_wd_weight_only_rcnone_seed42_ep30_L16_trainT0.pth
fashion_mnist,cnn4,wd_weight_only,WD (weights only),42,16,16,post_input_if,0.25,1,20302902,74.720000,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/QCFS_simulation/fashion_mnist-checkpoints/cnn4_L[16]_fashion_spectral_mne_cnn4_wd_weight_only_rcnone_seed42_ep30_L16_trainT0.pth
fashion_mnist,cnn4,wd_weight_only,WD (weights only),42,16,16,post_input_if,0.25,2,20302903,74.560000,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/QCFS_simulation/fashion_mnist-checkpoints/cnn4_L[16]_fashion_spectral_mne_cnn4_wd_weight_only_rcnone_seed42_ep30_L16_trainT0.pth
fashion_mnist,cnn4,wd_weight_only,WD (weights only),42,16,16,post_input_if,0.5,0,20303001,60.530000,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/QCFS_simulation/fashion_mnist-checkpoints/cnn4_L[16]_fashion_spectral_mne_cnn4_wd_weight_only_rcnone_seed42_ep30_L16_trainT0.pth
fashion_mnist,cnn4,wd_weight_only,WD (weights only),42,16,16,post_input_if,0.5,1,20303002,60.690000,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/QCFS_simulation/fashion_mnist-checkpoints/cnn4_L[16]_fashion_spectral_mne_cnn4_wd_weight_only_rcnone_seed42_ep30_L16_trainT0.pth
fashion_mnist,cnn4,wd_weight_only,WD (weights only),42,16,16,post_input_if,0.5,2,20303003,60.590000,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/QCFS_simulation/fashion_mnist-checkpoints/cnn4_L[16]_fashion_spectral_mne_cnn4_wd_weight_only_rcnone_seed42_ep30_L16_trainT0.pth
fashion_mnist,cnn4,wd_weight_only,WD (weights only),42,16,16,post_input_if,0.75,0,20303101,53.810000,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/QCFS_simulation/fashion_mnist-checkpoints/cnn4_L[16]_fashion_spectral_mne_cnn4_wd_weight_only_rcnone_seed42_ep30_L16_trainT0.pth
fashion_mnist,cnn4,wd_weight_only,WD (weights only),42,16,16,post_input_if,0.75,1,20303102,53.960000,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/QCFS_simulation/fashion_mnist-checkpoints/cnn4_L[16]_fashion_spectral_mne_cnn4_wd_weight_only_rcnone_seed42_ep30_L16_trainT0.pth
fashion_mnist,cnn4,wd_weight_only,WD (weights only),42,16,16,post_input_if,0.75,2,20303103,53.770000,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/QCFS_simulation/fashion_mnist-checkpoints/cnn4_L[16]_fashion_spectral_mne_cnn4_wd_weight_only_rcnone_seed42_ep30_L16_trainT0.pth
