depth,sigma,n_noise_draws,weights_only_acc_mean,all_params_acc_mean,delta_acc_mean,delta_acc_std,clean_adjusted_delta_mean,clean_adjusted_delta_std
2,0.000000,1,82.190000,81.710000,0.480000,0.000000,0.000000,0.000000
2,0.250000,3,79.973333,75.750000,4.223333,0.253837,3.743333,0.253837
2,0.500000,3,66.450000,64.856667,1.593333,0.953118,1.113333,0.953118
2,0.750000,3,53.623333,52.080000,1.543333,0.211975,1.063333,0.211975
2,1.000000,3,42.020000,40.756667,1.263333,0.240069,0.783333,0.240069
4,0.000000,1,80.020000,78.540000,1.480000,0.000000,0.000000,0.000000
4,0.250000,3,74.810000,63.836667,10.973333,0.386307,9.493333,0.386307
4,0.500000,3,60.603333,55.700000,4.903333,0.193477,3.423333,0.193477
4,0.750000,3,53.846667,47.403333,6.443333,0.184481,4.963333,0.184481
4,1.000000,3,45.983333,41.486667,4.496667,0.499032,3.016667,0.499032
6,0.000000,1,79.230000,80.050000,-0.820000,0.000000,0.000000,0.000000
6,0.250000,3,69.676667,62.006667,7.670000,0.528488,8.490000,0.528488
6,0.500000,3,54.036667,54.346667,-0.310000,0.277308,0.510000,0.277308
6,0.750000,3,44.930000,42.660000,2.270000,0.455302,3.090000,0.455302
6,1.000000,3,37.163333,36.576667,0.586667,0.402534,1.406667,0.402534
8,0.000000,1,79.570000,78.540000,1.030000,0.000000,0.000000,0.000000
8,0.250000,3,76.116667,73.686667,2.430000,0.190000,1.400000,0.190000
8,0.500000,3,67.273333,66.013333,1.260000,0.555608,0.230000,0.555608
8,0.750000,3,59.743333,57.870000,1.873333,0.586544,0.843333,0.586544
8,1.000000,3,51.420000,50.606667,0.813333,0.397157,-0.216667,0.397157
10,0.000000,1,79.720000,80.310000,-0.590000,0.000000,0.000000,0.000000
10,0.250000,3,72.543333,73.400000,-0.856667,0.571168,-0.266667,0.571168
10,0.500000,3,57.730000,57.630000,0.100000,0.200749,0.690000,0.200749
10,0.750000,3,48.423333,46.796667,1.626667,0.185831,2.216667,0.185831
10,1.000000,3,40.256667,38.986667,1.270000,0.452106,1.860000,0.452106
