model,scope,input_if_threshold,hidden_if_threshold_mean,bn_gamma_abs_mean,folded_gain_geomean,folded_gain_product
cnn2,weights_only,6.565645,7.499363,1.780346,0.300750,0.090450736
cnn2,all_params,4.508448,5.175275,1.528362,0.414763,0.172028665
cnn4,weights_only,6.626173,7.308923,2.032812,0.269922,0.005308240
cnn4,all_params,4.569118,5.019962,1.588893,0.379446,0.020729983
cnn6,weights_only,6.555785,7.318934,1.930650,0.223544,0.000124790
cnn6,all_params,4.544950,5.037336,1.504619,0.317265,0.001019843
cnn8,weights_only,6.577412,7.296256,1.861958,0.213413,0.000004302983
cnn8,all_params,4.477358,5.007619,1.441189,0.313349,0.000092946222
cnn10,weights_only,6.573935,7.347788,1.786039,0.198504,0.000000094991
cnn10,all_params,4.564180,5.000258,1.400687,0.291655,0.000004453425
