method,checkpoint,parameter_type,layer,value
weights_only,best_val,lambda,input_if,7.508891582489014
weights_only,best_val,gamma_rms,bns.0,1.150978446006775
weights_only,best_val,gamma_rms,bns.1,1.2020840644836426
weights_only,best_val,gamma_rms,bns.2,1.1138943433761597
weights_only,best_val,gamma_rms,bns.3,1.1026978492736816
weights_only,best_val,gamma_rms,bns.4,1.0803115367889404
weights_only,best_val,gamma_rms,bns.5,1.0772563219070435
weights_only,best_val,gamma_rms,bns.6,1.081635594367981
weights_only,best_val,gamma_rms,bns.7,1.0863100290298462
weights_only,best_val,gamma_rms,bns.8,1.0926353931427002
weights_only,best_val,gamma_rms,bns.9,1.0831727981567383
weights_only,best_val,gamma_rms,bns.10,1.0669496059417725
weights_only,best_val,gamma_rms,bns.11,1.1792770624160767
weights_only,best_val,lambda,ifs.0,7.813483715057373
weights_only,best_val,lambda,ifs.1,7.765498638153076
weights_only,best_val,lambda,ifs.2,7.874963760375977
weights_only,best_val,lambda,ifs.3,7.8916168212890625
weights_only,best_val,lambda,ifs.4,7.815720558166504
weights_only,best_val,lambda,ifs.5,7.829668998718262
weights_only,best_val,lambda,ifs.6,7.8191914558410645
weights_only,best_val,lambda,ifs.7,7.8192362785339355
weights_only,best_val,lambda,ifs.8,7.6964287757873535
weights_only,best_val,lambda,ifs.9,7.727181434631348
weights_only,best_val,lambda,ifs.10,7.786665439605713
weights_only,best_val,lambda,ifs.11,7.895083427429199
weights_only,final,lambda,input_if,7.508434772491455
weights_only,final,gamma_rms,bns.0,1.1510751247406006
weights_only,final,gamma_rms,bns.1,1.2022225856781006
weights_only,final,gamma_rms,bns.2,1.113988995552063
weights_only,final,gamma_rms,bns.3,1.1028021574020386
weights_only,final,gamma_rms,bns.4,1.0803834199905396
weights_only,final,gamma_rms,bns.5,1.0773420333862305
weights_only,final,gamma_rms,bns.6,1.0817196369171143
weights_only,final,gamma_rms,bns.7,1.0863966941833496
weights_only,final,gamma_rms,bns.8,1.0927326679229736
weights_only,final,gamma_rms,bns.9,1.0832551717758179
weights_only,final,gamma_rms,bns.10,1.0670205354690552
weights_only,final,gamma_rms,bns.11,1.1795988082885742
weights_only,final,lambda,ifs.0,7.813394069671631
weights_only,final,lambda,ifs.1,7.765346527099609
weights_only,final,lambda,ifs.2,7.874868869781494
weights_only,final,lambda,ifs.3,7.891523361206055
weights_only,final,lambda,ifs.4,7.815563678741455
weights_only,final,lambda,ifs.5,7.8294854164123535
weights_only,final,lambda,ifs.6,7.819014549255371
weights_only,final,lambda,ifs.7,7.819067478179932
weights_only,final,lambda,ifs.8,7.696065902709961
weights_only,final,lambda,ifs.9,7.726861953735352
weights_only,final,lambda,ifs.10,7.786434173583984
weights_only,final,lambda,ifs.11,7.89499568939209
all_parameters,best_val,lambda,input_if,6.356104850769043
all_parameters,best_val,gamma_rms,bns.0,1.0152554512023926
all_parameters,best_val,gamma_rms,bns.1,1.0035144090652466
all_parameters,best_val,gamma_rms,bns.2,0.9704319834709167
all_parameters,best_val,gamma_rms,bns.3,0.9654868841171265
all_parameters,best_val,gamma_rms,bns.4,0.9386953115463257
all_parameters,best_val,gamma_rms,bns.5,0.9299736022949219
all_parameters,best_val,gamma_rms,bns.6,0.9343326091766357
all_parameters,best_val,gamma_rms,bns.7,0.9467052817344666
all_parameters,best_val,gamma_rms,bns.8,0.9497929215431213
all_parameters,best_val,gamma_rms,bns.9,0.9425362348556519
all_parameters,best_val,gamma_rms,bns.10,0.9279943108558655
all_parameters,best_val,gamma_rms,bns.11,1.0772703886032104
all_parameters,best_val,lambda,ifs.0,6.686283111572266
all_parameters,best_val,lambda,ifs.1,6.715095520019531
all_parameters,best_val,lambda,ifs.2,6.7508320808410645
all_parameters,best_val,lambda,ifs.3,6.759382247924805
all_parameters,best_val,lambda,ifs.4,6.694661617279053
all_parameters,best_val,lambda,ifs.5,6.719555854797363
all_parameters,best_val,lambda,ifs.6,6.71015739440918
all_parameters,best_val,lambda,ifs.7,6.690964698791504
all_parameters,best_val,lambda,ifs.8,6.577808856964111
all_parameters,best_val,lambda,ifs.9,6.603071689605713
all_parameters,best_val,lambda,ifs.10,6.6563262939453125
all_parameters,best_val,lambda,ifs.11,6.7803425788879395
all_parameters,final,lambda,input_if,6.355823040008545
all_parameters,final,gamma_rms,bns.0,1.0152537822723389
all_parameters,final,gamma_rms,bns.1,1.0035067796707153
all_parameters,final,gamma_rms,bns.2,0.9704259634017944
all_parameters,final,gamma_rms,bns.3,0.965476930141449
all_parameters,final,gamma_rms,bns.4,0.9386885166168213
all_parameters,final,gamma_rms,bns.5,0.9299631118774414
all_parameters,final,gamma_rms,bns.6,0.9343255162239075
all_parameters,final,gamma_rms,bns.7,0.9467023015022278
all_parameters,final,gamma_rms,bns.8,0.9497887492179871
all_parameters,final,gamma_rms,bns.9,0.9425315260887146
all_parameters,final,gamma_rms,bns.10,0.927985668182373
all_parameters,final,gamma_rms,bns.11,1.0773133039474487
all_parameters,final,lambda,ifs.0,6.686095714569092
all_parameters,final,lambda,ifs.1,6.714908599853516
all_parameters,final,lambda,ifs.2,6.750645160675049
all_parameters,final,lambda,ifs.3,6.759195327758789
all_parameters,final,lambda,ifs.4,6.694465637207031
all_parameters,final,lambda,ifs.5,6.719368934631348
all_parameters,final,lambda,ifs.6,6.709964275360107
all_parameters,final,lambda,ifs.7,6.690743446350098
all_parameters,final,lambda,ifs.8,6.577530860900879
all_parameters,final,lambda,ifs.9,6.602797031402588
all_parameters,final,lambda,ifs.10,6.656088829040527
all_parameters,final,lambda,ifs.11,6.780155658721924
