method,epoch,lr,train_ce,train_objective,train_online_acc,val_ce,val_acc,n_lambda,lambda_mean,lambda_min,lambda_max,gamma_abs_mean,gamma_rms,gamma_abs_median
weights_only,1,0.01,0.8014806469345093,0.9110649131965637,70.664,0.5546949231147766,79.72,16,7.988163471221924,7.977923393249512,7.99471378326416,1.0084491968154907,1.0087441205978394,1.0079519748687744
weights_only,2,0.009972609476841367,0.4924707639884949,0.6013559676170349,81.524,0.6415477509498596,76.23,16,7.977336883544922,7.951290130615234,7.989352703094482,1.012964129447937,1.0133862495422363,1.013344407081604
weights_only,3,0.009890738003669028,0.43061735555648806,0.538311710615158,83.852,0.4266444577217102,84.29,16,7.966814994812012,7.925281047821045,7.984564304351807,1.0175424814224243,1.0180559158325195,1.0171085596084595
weights_only,4,0.009755282581475769,0.40478912230491637,0.5112054076194763,84.782,0.4109600842475891,84.45,16,7.956408500671387,7.89647912979126,7.979674339294434,1.0213385820388794,1.0219523906707764,1.0197300910949707
weights_only,5,0.009567727288213004,0.37990532577514646,0.48506966660499573,85.75,0.40835324258804323,84.73,16,7.9462080001831055,7.870763778686523,7.975068092346191,1.0255451202392578,1.0262532234191895,1.0224121809005737
weights_only,6,0.009330127018922194,0.36140284957885743,0.46531429544448855,86.53,0.4088269159317017,84.49,16,7.9362077713012695,7.8429274559021,7.971733570098877,1.0297069549560547,1.0305052995681763,1.0258060693740845
weights_only,7,0.009045084971874737,0.34772940734863284,0.4504383720779419,87.124,0.3824817672729492,86.22,16,7.926877498626709,7.818223476409912,7.967150688171387,1.0334986448287964,1.0343643426895142,1.030622959136963
weights_only,8,0.00871572412738697,0.33301845806121827,0.43457483300209043,87.656,0.3619617708206177,86.95,16,7.918100357055664,7.796314716339111,7.963212490081787,1.0372865200042725,1.038251519203186,1.03217351436615
weights_only,9,0.008345653031794291,0.32277336610794066,0.42320933557510376,87.922,0.3581614471435547,87.02,16,7.909214496612549,7.773009777069092,7.959536075592041,1.041016697883606,1.0420647859573364,1.0364199876785278
weights_only,10,0.007938926261462365,0.31382556168556214,0.4131941355609894,88.312,0.3629019348144531,86.77,16,7.900815010070801,7.751832962036133,7.95455265045166,1.0446631908416748,1.0457782745361328,1.0389102697372437
weights_only,11,0.007499999999999999,0.304217200756073,0.40259897044181825,88.744,0.34682152767181396,87.16,16,7.892583847045898,7.729475975036621,7.950618267059326,1.0482289791107178,1.0493972301483154,1.0429517030715942
weights_only,12,0.007033683215379001,0.2955095516777039,0.3929470478439331,88.998,0.3555705583572388,87.01,16,7.8847575187683105,7.710224151611328,7.94614315032959,1.0517330169677734,1.0529431104660034,1.0477145910263062
weights_only,13,0.0065450849718747366,0.28884848081588743,0.38538808013916015,89.32,0.33745152654647825,87.63,16,7.877285957336426,7.691002368927002,7.94230842590332,1.0551445484161377,1.0564260482788086,1.0494920015335083
weights_only,14,0.006039558454088796,0.2780152862739563,0.3737297849559784,89.712,0.3351340991973877,87.66,16,7.87050724029541,7.673155307769775,7.938523292541504,1.0584217309951782,1.0597506761550903,1.0518529415130615
weights_only,15,0.0055226423163382676,0.2735593193244934,0.36851438844680784,89.882,0.3450579400062561,87.3,16,7.864233016967773,7.657901763916016,7.935595512390137,1.0614150762557983,1.062790036201477,1.0552400350570679
weights_only,16,0.005000000000000001,0.26800567945480347,0.3622675360584259,89.942,0.33797871046066286,87.69,16,7.858450889587402,7.642477035522461,7.9332146644592285,1.0641636848449707,1.0655624866485596,1.057215690612793
weights_only,17,0.0044773576836617335,0.26077586340904235,0.3544142532444,90.144,0.34034833793640135,87.59,16,7.852965354919434,7.62859582901001,7.930518627166748,1.0667665004730225,1.0681930780410767,1.0595088005065918
weights_only,18,0.003960441545911203,0.25383320838451384,0.346906356678009,90.446,0.3292451753616333,88.04,16,7.8482160568237305,7.617095470428467,7.927881240844727,1.0691983699798584,1.0706621408462524,1.0615381002426147
weights_only,19,0.003454915028125263,0.2505030842399597,0.3430768631744385,90.724,0.3369652286529541,87.92,16,7.843998908996582,7.606578350067139,7.925909519195557,1.0713050365447998,1.0727810859680176,1.0625429153442383
weights_only,20,0.0029663167846209998,0.24810247712135314,0.34023414962768556,90.804,0.3225449893951416,88.61,16,7.840232849121094,7.598395347595215,7.924074172973633,1.0731934309005737,1.074714183807373,1.064733862876892
weights_only,21,0.002500000000000001,0.2393913319349289,0.3311504594898224,91.168,0.3292896971702576,88.07,16,7.8371148109436035,7.590549945831299,7.922483444213867,1.074809193611145,1.0763568878173828,1.0661336183547974
weights_only,22,0.0020610737385376348,0.23728930214405058,0.32872799072265624,91.296,0.3254712028503418,88.49,16,7.834458351135254,7.583476543426514,7.921171188354492,1.07615327835083,1.0777177810668945,1.0663765668869019
weights_only,23,0.0016543469682057104,0.23341009863853454,0.3245843563079834,91.436,0.3278276748657227,88.27,16,7.832284927368164,7.578083038330078,7.920173168182373,1.0772689580917358,1.0788507461547852,1.0679528713226318
weights_only,24,0.0012842758726130299,0.22946289028167724,0.32042445446014406,91.616,0.32656746406555176,88.19,16,7.830625534057617,7.573825359344482,7.919376373291016,1.0781267881393433,1.0797250270843506,1.0688515901565552
weights_only,25,0.0009549150281252634,0.22782079191207885,0.31862071714401247,91.628,0.32548743143081665,88.1,16,7.829358100891113,7.570858478546143,7.918844699859619,1.0788010358810425,1.0804083347320557,1.0695269107818604
weights_only,26,0.0006698729810778065,0.22571797687530518,0.31639807065963743,91.692,0.3279364641189575,88.01,16,7.828462600708008,7.568737506866455,7.918463706970215,1.079280138015747,1.0808956623077393,1.0697399377822876
weights_only,27,0.00043227271178699516,0.22396907424926757,0.31456778082370757,91.776,0.32398366088867186,88.38,16,7.827884674072266,7.567320823669434,7.918178081512451,1.0795903205871582,1.0812100172042847,1.070181965827942
weights_only,28,0.00024471741852423234,0.22390331580162048,0.3144512948513031,91.776,0.3235632707595825,88.0,16,7.827547073364258,7.566530704498291,7.918026924133301,1.079766869544983,1.0813896656036377,1.0705194473266602
weights_only,29,0.00010926199633097157,0.2206042127609253,0.3111255868911743,91.87,0.3216496611595154,88.39,16,7.827400207519531,7.566180229187012,7.917947292327881,1.0798449516296387,1.0814696550369263,1.0706487894058228
weights_only,30,2.7390523158632995e-05,0.2223079412841797,0.3128190758895874,92.006,0.3188304307937622,88.42,16,7.8273773193359375,7.5660881996154785,7.917947292327881,1.0798653364181519,1.0814905166625977,1.070658802986145
all_parameters,1,0.01,0.8196428694057465,1.2430570629501343,69.884,0.5655118256568908,79.07,16,7.914135932922363,7.901944637298584,7.921818256378174,0.9993331432342529,0.9996126890182495,0.9972217679023743
all_parameters,2,0.009972609476841367,0.4929965591812134,0.909778477935791,81.636,0.4620756481170654,82.83,16,7.826263427734375,7.797650337219238,7.8392720222473145,0.9942329525947571,0.9946263432502747,0.9918294548988342
all_parameters,3,0.009890738003669028,0.4321352536964416,0.8416762317276001,83.914,0.44942516059875487,83.45,16,7.740142822265625,7.694647789001465,7.757834434509277,0.9888318181037903,0.9893340468406677,0.9862671494483948
all_parameters,4,0.009755282581475769,0.39248810750961305,0.7949220506286621,85.412,0.4071701930999756,84.82,16,7.656462669372559,7.5933074951171875,7.678477764129639,0.9838043451309204,0.984408974647522,0.9822384119033813
all_parameters,5,0.009567727288213004,0.37196642301559446,0.7675177500534057,86.122,0.3805687096595764,85.93,16,7.574892520904541,7.49202299118042,7.600696086883545,0.978827178478241,0.9795352220535278,0.9768341183662415
all_parameters,6,0.009330127018922194,0.3524386363983154,0.7413261817741394,86.97,0.4524960955619812,82.96,16,7.4957146644592285,7.393685817718506,7.5258965492248535,0.9742149710655212,0.9750277400016785,0.9719669818878174
all_parameters,7,0.009045084971874737,0.34286757702827453,0.725369569015503,87.276,0.37036260948181154,86.21,16,7.419092178344727,7.297690391540527,7.451469898223877,0.9699981212615967,0.9709117412567139,0.9648956060409546
all_parameters,8,0.00871572412738697,0.3305038540458679,0.7069643858146667,87.882,0.3517474639892578,87.04,16,7.345550537109375,7.206925392150879,7.382747650146484,0.96629399061203,0.9673142433166504,0.9606502652168274
all_parameters,9,0.008345653031794291,0.3219457671356201,0.6926705159568787,88.042,0.35109561920166016,86.71,16,7.27560567855835,7.119732856750488,7.318210124969482,0.962687075138092,0.9638299942016602,0.9561468958854675
