method,checkpoint,parameter_type,layer,value
weights_only,best_val,lambda,input_if,7.615478515625
weights_only,best_val,gamma_rms,bns.0,1.08409583568573
weights_only,best_val,gamma_rms,bns.1,1.1123299598693848
weights_only,best_val,gamma_rms,bns.2,1.0761775970458984
weights_only,best_val,gamma_rms,bns.3,1.0693132877349854
weights_only,best_val,gamma_rms,bns.4,1.0741238594055176
weights_only,best_val,gamma_rms,bns.5,1.0705561637878418
weights_only,best_val,gamma_rms,bns.6,1.0623737573623657
weights_only,best_val,gamma_rms,bns.7,1.0570473670959473
weights_only,best_val,gamma_rms,bns.8,1.054663062095642
weights_only,best_val,gamma_rms,bns.9,1.0544793605804443
weights_only,best_val,gamma_rms,bns.10,1.054564356803894
weights_only,best_val,gamma_rms,bns.11,1.0586501359939575
weights_only,best_val,gamma_rms,bns.12,1.0696433782577515
weights_only,best_val,gamma_rms,bns.13,1.067443609237671
weights_only,best_val,gamma_rms,bns.14,1.0627355575561523
weights_only,best_val,gamma_rms,bns.15,1.0566847324371338
weights_only,best_val,gamma_rms,bns.16,1.0488847494125366
weights_only,best_val,gamma_rms,bns.17,1.0938271284103394
weights_only,best_val,lambda,ifs.0,7.9137654304504395
weights_only,best_val,lambda,ifs.1,7.873851776123047
weights_only,best_val,lambda,ifs.2,7.910537242889404
weights_only,best_val,lambda,ifs.3,7.9171905517578125
weights_only,best_val,lambda,ifs.4,7.917723178863525
weights_only,best_val,lambda,ifs.5,7.927004814147949
weights_only,best_val,lambda,ifs.6,7.859786510467529
weights_only,best_val,lambda,ifs.7,7.874960422515869
weights_only,best_val,lambda,ifs.8,7.8799920082092285
weights_only,best_val,lambda,ifs.9,7.8813581466674805
weights_only,best_val,lambda,ifs.10,7.880529880523682
weights_only,best_val,lambda,ifs.11,7.878354072570801
weights_only,best_val,lambda,ifs.12,7.774444103240967
weights_only,best_val,lambda,ifs.13,7.78050422668457
weights_only,best_val,lambda,ifs.14,7.799057483673096
weights_only,best_val,lambda,ifs.15,7.818287372589111
weights_only,best_val,lambda,ifs.16,7.847873687744141
weights_only,best_val,lambda,ifs.17,7.916450023651123
weights_only,final,lambda,input_if,7.614427089691162
weights_only,final,gamma_rms,bns.0,1.0843684673309326
weights_only,final,gamma_rms,bns.1,1.112594723701477
weights_only,final,gamma_rms,bns.2,1.0764176845550537
weights_only,final,gamma_rms,bns.3,1.0694910287857056
weights_only,final,gamma_rms,bns.4,1.0743448734283447
weights_only,final,gamma_rms,bns.5,1.0708056688308716
weights_only,final,gamma_rms,bns.6,1.062563419342041
weights_only,final,gamma_rms,bns.7,1.0572292804718018
weights_only,final,gamma_rms,bns.8,1.0548548698425293
weights_only,final,gamma_rms,bns.9,1.054634928703308
weights_only,final,gamma_rms,bns.10,1.054724931716919
weights_only,final,gamma_rms,bns.11,1.0588301420211792
weights_only,final,gamma_rms,bns.12,1.0698292255401611
weights_only,final,gamma_rms,bns.13,1.0676401853561401
weights_only,final,gamma_rms,bns.14,1.062910556793213
