sigma_scale,method,method_label,sigma,n_noise_draws,accuracy_mean,accuracy_std
absolute,manual_l2_all,All parameters,0.0,1,88.29,0.0
absolute,manual_l2_all,All parameters,0.25,5,79.41,0.17930421077041225
absolute,manual_l2_all,All parameters,0.5,5,62.958,0.17838161340227887
absolute,manual_l2_all,All parameters,0.75,5,48.026,0.2617823523463711
absolute,manual_l2_all,All parameters,1.0,5,37.066,0.18338484124921425
absolute,wd_weight_only,Weights only,0.0,1,87.49,0.0
absolute,wd_weight_only,Weights only,0.25,5,83.19800000000001,0.22576536492562596
absolute,wd_weight_only,Weights only,0.5,5,74.048,0.23657979626333545
absolute,wd_weight_only,Weights only,0.75,5,60.932,0.35954137453150153
absolute,wd_weight_only,Weights only,1.0,5,48.25,0.46238512086787537
input_if_threshold,manual_l2_all,All parameters,0.0,1,88.29,0.0
input_if_threshold,manual_l2_all,All parameters,0.05,5,81.648,0.3098709408770043
input_if_threshold,manual_l2_all,All parameters,0.1,5,68.188,0.17626684316683133
input_if_threshold,manual_l2_all,All parameters,0.15,5,54.46,0.23780243901188136
input_if_threshold,manual_l2_all,All parameters,0.2,5,43.43,0.25670995305986855
input_if_threshold,wd_weight_only,Weights only,0.0,1,87.49,0.0
input_if_threshold,wd_weight_only,Weights only,0.05,5,80.996,0.2734593205579203
input_if_threshold,wd_weight_only,Weights only,0.1,5,65.708,0.27471803726730154
input_if_threshold,wd_weight_only,Weights only,0.15,5,48.644,0.3545842636102165
input_if_threshold,wd_weight_only,Weights only,0.2,5,35.67,0.1865475810617752
post_input_if_rms,manual_l2_all,All parameters,0.0,1,88.29,0.0
post_input_if_rms,manual_l2_all,All parameters,0.25,5,73.314,0.1814662503056692
post_input_if_rms,manual_l2_all,All parameters,0.5,5,51.222,0.2108791122894825
post_input_if_rms,manual_l2_all,All parameters,0.75,5,36.106,0.3038585197094213
post_input_if_rms,manual_l2_all,All parameters,1.0,5,27.01,0.18627936010197071
post_input_if_rms,wd_weight_only,Weights only,0.0,1,87.49,0.0
post_input_if_rms,wd_weight_only,Weights only,0.25,5,76.976,0.14328293687665447
post_input_if_rms,wd_weight_only,Weights only,0.5,5,54.73,0.45249309386994946
post_input_if_rms,wd_weight_only,Weights only,0.75,5,36.24,0.30422031490352686
post_input_if_rms,wd_weight_only,Weights only,1.0,5,25.192,0.4566946463447977
