site,method,method_label,sigma_scale,sigma,n,acc_mean,acc_std
post_input_if,manual_l2_all,Manual L2 (all params),absolute,0,1,77.760000,0.000000
post_input_if,manual_l2_all,Manual L2 (all params),absolute,0.25,1,70.133333,0.000000
post_input_if,manual_l2_all,Manual L2 (all params),absolute,0.5,1,51.310000,0.000000
post_input_if,manual_l2_all,Manual L2 (all params),absolute,0.75,1,33.896667,0.000000
post_input_if,manual_l2_all,Manual L2 (all params),absolute,1,1,24.810000,0.000000
post_input_if,wd_weight_only,WD (weights only),absolute,0,1,77.090000,0.000000
post_input_if,wd_weight_only,WD (weights only),absolute,0.25,1,71.566667,0.000000
post_input_if,wd_weight_only,WD (weights only),absolute,0.5,1,51.356667,0.000000
post_input_if,wd_weight_only,WD (weights only),absolute,0.75,1,37.886667,0.000000
post_input_if,wd_weight_only,WD (weights only),absolute,1,1,30.686667,0.000000
