dataset,model,method,method_label,seed,L,T,site,sigma,sigma_scale,scale_reference,actual_sigma,noise_repeat,noise_seed,accuracy,checkpoint
fashion_mnist,cnn6_wide_early,wd_weight_only,WD (weights only),42,16,16,post_input_if,0,absolute,1,0,0,20302801,85.730000,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/QCFS_simulation/fashion_mnist-checkpoints/cnn6_wide_early_L[16]_fashion_spectral_mne_cnn6_wide_early_wd_weight_only_rcnone_seed42_ep30_L16_trainT0.pth
fashion_mnist,cnn6_wide_early,wd_weight_only,WD (weights only),42,16,16,post_input_if,0.25,absolute,1,0.25,0,20302901,83.100000,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/QCFS_simulation/fashion_mnist-checkpoints/cnn6_wide_early_L[16]_fashion_spectral_mne_cnn6_wide_early_wd_weight_only_rcnone_seed42_ep30_L16_trainT0.pth
fashion_mnist,cnn6_wide_early,wd_weight_only,WD (weights only),42,16,16,post_input_if,0.25,absolute,1,0.25,1,20302902,82.630000,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/QCFS_simulation/fashion_mnist-checkpoints/cnn6_wide_early_L[16]_fashion_spectral_mne_cnn6_wide_early_wd_weight_only_rcnone_seed42_ep30_L16_trainT0.pth
fashion_mnist,cnn6_wide_early,wd_weight_only,WD (weights only),42,16,16,post_input_if,0.25,absolute,1,0.25,2,20302903,82.500000,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/QCFS_simulation/fashion_mnist-checkpoints/cnn6_wide_early_L[16]_fashion_spectral_mne_cnn6_wide_early_wd_weight_only_rcnone_seed42_ep30_L16_trainT0.pth
fashion_mnist,cnn6_wide_early,wd_weight_only,WD (weights only),42,16,16,post_input_if,0.5,absolute,1,0.5,0,20303001,74.560000,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/QCFS_simulation/fashion_mnist-checkpoints/cnn6_wide_early_L[16]_fashion_spectral_mne_cnn6_wide_early_wd_weight_only_rcnone_seed42_ep30_L16_trainT0.pth
fashion_mnist,cnn6_wide_early,wd_weight_only,WD (weights only),42,16,16,post_input_if,0.5,absolute,1,0.5,1,20303002,75.230000,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/QCFS_simulation/fashion_mnist-checkpoints/cnn6_wide_early_L[16]_fashion_spectral_mne_cnn6_wide_early_wd_weight_only_rcnone_seed42_ep30_L16_trainT0.pth
fashion_mnist,cnn6_wide_early,wd_weight_only,WD (weights only),42,16,16,post_input_if,0.5,absolute,1,0.5,2,20303003,75.020000,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/QCFS_simulation/fashion_mnist-checkpoints/cnn6_wide_early_L[16]_fashion_spectral_mne_cnn6_wide_early_wd_weight_only_rcnone_seed42_ep30_L16_trainT0.pth
fashion_mnist,cnn6_wide_early,wd_weight_only,WD (weights only),42,16,16,post_input_if,0.75,absolute,1,0.75,0,20303101,65.330000,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/QCFS_simulation/fashion_mnist-checkpoints/cnn6_wide_early_L[16]_fashion_spectral_mne_cnn6_wide_early_wd_weight_only_rcnone_seed42_ep30_L16_trainT0.pth
fashion_mnist,cnn6_wide_early,wd_weight_only,WD (weights only),42,16,16,post_input_if,0.75,absolute,1,0.75,1,20303102,65.230000,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/QCFS_simulation/fashion_mnist-checkpoints/cnn6_wide_early_L[16]_fashion_spectral_mne_cnn6_wide_early_wd_weight_only_rcnone_seed42_ep30_L16_trainT0.pth
fashion_mnist,cnn6_wide_early,wd_weight_only,WD (weights only),42,16,16,post_input_if,0.75,absolute,1,0.75,2,20303103,65.410000,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/QCFS_simulation/fashion_mnist-checkpoints/cnn6_wide_early_L[16]_fashion_spectral_mne_cnn6_wide_early_wd_weight_only_rcnone_seed42_ep30_L16_trainT0.pth
fashion_mnist,cnn6_wide_early,wd_weight_only,WD (weights only),42,16,16,post_input_if,1,absolute,1,1,0,20303201,55.280000,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/QCFS_simulation/fashion_mnist-checkpoints/cnn6_wide_early_L[16]_fashion_spectral_mne_cnn6_wide_early_wd_weight_only_rcnone_seed42_ep30_L16_trainT0.pth
