model,label,width,pooling,method,method_label,sigma,n_noise_draws,accuracy_mean,accuracy_std
cnn6,"Narrow, early pool",narrow,early,manual_l2_all,All parameters,0.0,1,80.05,0.0
cnn6,"Narrow, early pool",narrow,early,manual_l2_all,All parameters,0.25,3,62.00666666666667,0.21385353243127317
cnn6,"Narrow, early pool",narrow,early,manual_l2_all,All parameters,0.5,3,54.346666666666664,0.08082903768654941
cnn6,"Narrow, early pool",narrow,early,manual_l2_all,All parameters,0.75,3,42.66,0.47507894080878954
cnn6,"Narrow, early pool",narrow,early,manual_l2_all,All parameters,1.0,3,36.57666666666667,0.23965252624025074
cnn6,"Narrow, early pool",narrow,early,wd_weight_only,Weights only,0.0,1,79.23,0.0
cnn6,"Narrow, early pool",narrow,early,wd_weight_only,Weights only,0.25,3,69.67666666666666,0.3370954365359076
cnn6,"Narrow, early pool",narrow,early,wd_weight_only,Weights only,0.5,3,54.03666666666666,0.29704096238285616
cnn6,"Narrow, early pool",narrow,early,wd_weight_only,Weights only,0.75,3,44.93,0.06557438524302105
cnn6,"Narrow, early pool",narrow,early,wd_weight_only,Weights only,1.0,3,37.163333333333334,0.3008875759039141
cnn6_vgg,"Wide, staged pool",wide,staged,manual_l2_all,All parameters,0.0,1,88.29,0.0
cnn6_vgg,"Wide, staged pool",wide,staged,manual_l2_all,All parameters,0.25,3,79.38,0.2351595203260982
cnn6_vgg,"Wide, staged pool",wide,staged,manual_l2_all,All parameters,0.5,3,62.93666666666667,0.1607275126832149
cnn6_vgg,"Wide, staged pool",wide,staged,manual_l2_all,All parameters,0.75,3,48.123333333333335,0.23965252624024877
cnn6_vgg,"Wide, staged pool",wide,staged,manual_l2_all,All parameters,1.0,3,37.03,0.24248711305964116
cnn6_vgg,"Wide, staged pool",wide,staged,wd_weight_only,Weights only,0.0,1,87.49,0.0
cnn6_vgg,"Wide, staged pool",wide,staged,wd_weight_only,Weights only,0.25,3,83.18666666666667,0.31182259913825305
cnn6_vgg,"Wide, staged pool",wide,staged,wd_weight_only,Weights only,0.5,3,74.04,0.12489995996797269
cnn6_vgg,"Wide, staged pool",wide,staged,wd_weight_only,Weights only,0.75,3,60.81333333333333,0.4445597072760136
cnn6_vgg,"Wide, staged pool",wide,staged,wd_weight_only,Weights only,1.0,3,48.52333333333333,0.0550757054728606
cnn6_narrow_staged,"Narrow, staged pool",narrow,staged,manual_l2_all,All parameters,0.0,1,77.76,0.0
cnn6_narrow_staged,"Narrow, staged pool",narrow,staged,manual_l2_all,All parameters,0.25,3,70.13333333333334,0.4796179034745643
cnn6_narrow_staged,"Narrow, staged pool",narrow,staged,manual_l2_all,All parameters,0.5,3,51.31,0.41677331968349535
cnn6_narrow_staged,"Narrow, staged pool",narrow,staged,manual_l2_all,All parameters,0.75,3,33.89666666666667,0.43844421918110904
cnn6_narrow_staged,"Narrow, staged pool",narrow,staged,manual_l2_all,All parameters,1.0,3,24.81,0.18330302779823357
cnn6_narrow_staged,"Narrow, staged pool",narrow,staged,wd_weight_only,Weights only,0.0,1,77.09,0.0
cnn6_narrow_staged,"Narrow, staged pool",narrow,staged,wd_weight_only,Weights only,0.25,3,71.56666666666666,0.015275252316519529
cnn6_narrow_staged,"Narrow, staged pool",narrow,staged,wd_weight_only,Weights only,0.5,3,51.35666666666666,0.23713568549109892
cnn6_narrow_staged,"Narrow, staged pool",narrow,staged,wd_weight_only,Weights only,0.75,3,37.88666666666667,0.1789785834487853
cnn6_narrow_staged,"Narrow, staged pool",narrow,staged,wd_weight_only,Weights only,1.0,3,30.686666666666667,0.17897858344878484
cnn6_wide_early,"Wide, early pool",wide,early,manual_l2_all,All parameters,0.0,1,86.87,0.0
cnn6_wide_early,"Wide, early pool",wide,early,manual_l2_all,All parameters,0.25,3,82.09666666666666,0.08962886439832542
cnn6_wide_early,"Wide, early pool",wide,early,manual_l2_all,All parameters,0.5,3,70.95666666666666,0.5340724045795022
cnn6_wide_early,"Wide, early pool",wide,early,manual_l2_all,All parameters,0.75,3,58.89666666666667,0.5259594407683276
cnn6_wide_early,"Wide, early pool",wide,early,manual_l2_all,All parameters,1.0,3,48.50333333333334,0.6087144924620516
cnn6_wide_early,"Wide, early pool",wide,early,wd_weight_only,Weights only,0.0,1,85.73,0.0
cnn6_wide_early,"Wide, early pool",wide,early,wd_weight_only,Weights only,0.25,3,82.74333333333333,0.3156474826976002
cnn6_wide_early,"Wide, early pool",wide,early,wd_weight_only,Weights only,0.5,3,74.93666666666667,0.3426854728950927
cnn6_wide_early,"Wide, early pool",wide,early,wd_weight_only,Weights only,0.75,3,65.32333333333334,0.09018499505645412
cnn6_wide_early,"Wide, early pool",wide,early,wd_weight_only,Weights only,1.0,3,55.5,0.2835489375751565
