method,method_label,sigma,layer_index,layer,n_noise_draws,relative_l2_mean,relative_l2_std,layer_amplification_mean,layer_amplification_std,cosine_similarity_mean,cosine_similarity_std,spike_mismatch_rate_mean,spike_mismatch_rate_std,clean_boundary_margin_lt_0p05_mean,clean_boundary_margin_lt_0p05_std,noisy_boundary_margin_lt_0p05_mean,noisy_boundary_margin_lt_0p05_std,clean_firing_rate_mean,clean_firing_rate_std,noisy_firing_rate_mean,noisy_firing_rate_std
manual_l2_all,All parameters,0.5,0,post_input_if,5,0.15524626177832263,5.163940472282619e-05,1.0,0.0,0.988161378301888,7.5855799604236274e-06,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
manual_l2_all,All parameters,0.5,1,if1,5,0.32447330374121097,8.967545746909621e-05,2.0900555619368206,0.00039826448985174836,0.9495178877889777,2.75773490621665e-05,0.05107487561751385,2.9256133085212768e-05,0.14775591157376766,0.0,0.06742888325825333,8.295760546010919e-05,0.08851711452007294,0.0,0.08879960104823112,5.96989708818339e-06
manual_l2_all,All parameters,0.5,2,if2,5,0.44243054061153025,0.0002111777469277537,1.3635344990815788,0.0005601648031842156,0.9127106774440472,7.499967882894763e-05,0.057841739849168426,1.916467354000188e-05,0.0727029126137495,0.0,0.04929765874985605,0.00010006309194278799,0.06584008189383894,0.0,0.07772675752639771,1.0469408168540698e-05
manual_l2_all,All parameters,0.5,3,if3,5,0.5355117668269258,0.0004138630694457886,1.2103859651619566,0.000446973491546066,0.8691277454675939,0.00020091127822054585,0.0951439331988899,1.9860436859193927e-05,0.06054920982569456,0.0,0.055104344012215735,4.973546760174955e-05,0.09362101810984313,0.0,0.10332345529459416,2.1000336743130155e-05
manual_l2_all,All parameters,0.5,4,if4,5,0.6124789467504168,0.0006121413276735377,1.1437262538797357,0.0003145744441760303,0.8314597442989106,0.00033776904378900646,0.08228522320182956,3.9808764443340635e-05,0.04311324062291533,0.0,0.04880532915703952,8.132852779619883e-05,0.0727354153059423,0.0,0.08745137616060675,2.419274691544033e-05
manual_l2_all,All parameters,0.5,5,if5,5,0.6345380989233729,0.0004358293216910482,1.0360165201036349,0.0005608874420575311,0.8082600922344113,0.00028026335403224926,0.0990696887580716,5.469265993052101e-05,0.04772513115312904,0.0,0.04638341690879315,0.00010005837170643433,0.0909909987822175,0.0,0.09453166052699088,3.6603300477285965e-05
manual_l2_all,All parameters,0.5,6,if6,5,0.7301102227155529,0.0006590653991139563,1.1506167133494725,0.000295445070803948,0.7461417153170311,0.0004728604069796037,0.12014250852623765,5.0059676083381726e-05,0.04722501675132662,0.0,0.04726089045871049,0.0001794452790088448,0.10434279008768499,0.0,0.11048954697325826,2.945774313373777e-05
manual_l2_all,All parameters,1.0,0,post_input_if,5,0.31063631037304784,0.0002137351183742675,1.0,0.0,0.9549864856695804,6.061711573971932e-05,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
manual_l2_all,All parameters,1.0,1,if1,5,0.5482217952343446,0.00020784625543688071,1.7648351982521175,0.0006176919401196206,0.8764253203658904,8.089175744391172e-05,0.07707606043134417,2.8550473487526537e-05,0.14775591157376766,0.0,0.06174812947865575,5.1190065824294504e-05,0.08851711452007294,0.0,0.09588576522655785,1.8625790439020683e-05
manual_l2_all,All parameters,1.0,2,if2,5,0.7233632599641084,0.0003297228395401736,1.3194719777592314,0.0005750913833049126,0.8047362854928553,0.00021866475651361917,0.0808864418341189,1.4930334493395717e-05,0.0727029126137495,0.0,0.04920962492469698,4.9808328752995585e-05,0.06584008189383894,0.0,0.08978152074851095,5.326517968909201e-06
manual_l2_all,All parameters,1.0,3,if3,5,0.8200963175158094,0.0005769841278690875,1.1337267966646951,0.0005879240712327632,0.7479947933444269,0.00035762710821925296,0.1228385068932358,4.1510619273100635e-05,0.06054920982569456,0.0,0.053467169497162105,3.476697144391191e-05,0.09362101810984313,0.0,0.11990977451205254,4.739153701677376e-05
manual_l2_all,All parameters,1.0,4,if4,5,0.8712140862270195,0.0002843711921636513,1.062331728523653,0.000615386422068785,0.6943330887752317,0.00032542714735149417,0.10050978174014967,2.6229130295841962e-05,0.04311324062291533,0.0,0.04711437521036714,8.16990446304647e-05,0.0727354153059423,0.0,0.09453694862313569,5.580422974547848e-05
manual_l2_all,All parameters,1.0,5,if5,5,0.8511910455423876,0.0006712748246554976,0.9770170241590256,0.0005892681804834747,0.6794809307401203,0.0003436061377903976,0.11657090479013871,5.7377232740756046e-05,0.04772513115312904,0.0,0.04514894988387823,0.00015756116101263922,0.0909909987822175,0.0,0.0998591732699424,6.535411877556586e-05
manual_l2_all,All parameters,1.0,6,if6,5,0.9181839228538929,0.0009084163012745766,1.078704771013877,0.0003982895354703444,0.6125916706038917,0.0006803700258080761,0.13819763417146644,8.041308274119462e-05,0.04722501675132662,0.0,0.0464339887490496,6.691311610489066e-05,0.10434279008768499,0.0,0.11359203280881047,0.00011705876700190935
manual_l2_w_bn,Weights + BN,0.5,0,post_input_if,5,0.15569862435642468,5.1789828060828384e-05,1.0,0.0,0.9880933993815961,7.79325434227791e-06,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
manual_l2_w_bn,Weights + BN,0.5,1,if1,5,0.34653031207063195,0.00011266469751628684,2.225647965060411,0.0006999368013977722,0.9414342059062603,3.720281968148818e-05,0.03392012557204889,1.7629736725937533e-05,0.08741347468458116,0.0,0.0662437732797116,8.775829918293501e-05,0.0695623611100018,0.0,0.06888146931305528,5.878570971417307e-06
manual_l2_w_bn,Weights + BN,0.5,2,if2,5,0.4561336809273093,0.00014780545648174358,1.3162879822964788,0.00020025342329182063,0.9043508871483102,6.330990673238458e-05,0.03785483593843421,1.7393322396993265e-05,0.03073742863489315,0.0,0.047465140582062304,6.901493627989914e-05,0.046046942356042564,0.0,0.05354409972205758,8.665545673065177e-06
manual_l2_w_bn,Weights + BN,0.5,3,if3,5,0.48372227873149176,0.000373861008397448,1.060483616884117,0.0008078036590144711,0.8850316605419851,0.00020233571509255458,0.059212406314149195,3.583235979227633e-05,0.05722839874215424,0.0,0.05465542434249073,7.534698446200183e-05,0.06887153605930507,0.0,0.06820512185804546,2.341205125363883e-05
manual_l2_w_bn,Weights + BN,0.5,4,if4,5,0.5935403836381974,0.0005898439091689677,1.2270270279245867,0.0003474789514227284,0.8361973308611771,0.0003415086756092481,0.054320650684590244,3.0769092316270686e-05,0.04163687478285283,0.0,0.04873492084443569,0.00012648874245891944,0.05094918340910226,0.0,0.06005341354757547,1.9555348268581436e-05
manual_l2_w_bn,Weights + BN,0.5,5,if5,5,0.5910605247220199,0.0008249946344171177,0.995821724551645,0.0006816099934601477,0.8300457029235908,0.0004613150031082732,0.07093963623046876,5.674965141750094e-05,0.048196285497397184,0.0,0.04878658261150122,0.00011376485780140297,0.06863216357305646,0.0,0.07158133713528514,5.6732511091041144e-05
manual_l2_w_bn,Weights + BN,0.5,6,if6,5,0.7004996265827538,0.0011194773084687683,1.1851570173573267,0.0006003477145355972,0.7581986073119837,0.0007759892061822268,0.0755967276436942,6.20127043387969e-05,0.04596694512292743,0.0,0.04606316932477057,9.304099943680654e-05,0.06731568439863622,0.0,0.06900290115736425,6.550004616442982e-05
manual_l2_w_bn,Weights + BN,1.0,0,post_input_if,5,0.31154145441776643,0.00021435796666482602,1.0,0.0,0.9547420578181264,6.013116463141177e-05,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
manual_l2_w_bn,Weights + BN,1.0,1,if1,5,0.5479876672894439,0.0002578601156189319,1.75895608219291,0.0004376982565019266,0.873058198921889,9.941293662148709e-05,0.055943304178666095,2.158373981576444e-05,0.08741347468458116,0.0,0.06280206050723791,6.127377494144139e-05,0.0695623611100018,0.0,0.07395990658551455,1.5244576572385839e-05
manual_l2_w_bn,Weights + BN,1.0,2,if2,5,0.723461571848602,0.0004755420547266656,1.320215054706519,0.0005872670320814254,0.8015825429435349,0.0003021977714294058,0.05576997581793337,3.489191496386536e-05,0.03073742863489315,0.0,0.047266417951323095,7.76721008586663e-05,0.046046942356042564,0.0,0.06331269645597785,1.2837327555259132e-05
manual_l2_w_bn,Weights + BN,1.0,3,if3,5,0.7326068405960773,0.00038478055339147797,1.0126410606873695,0.0001575124854467484,0.7725155800970372,0.00027528712857667793,0.07931209680985431,2.392949030703019e-05,0.05722839874215424,0.0,0.05095694297924638,6.795881141395492e-05,0.06887153605930507,0.0,0.0768039511051029,1.2457563538327468e-05
manual_l2_w_bn,Weights + BN,1.0,4,if4,5,0.8476893632574554,0.00033799557011718497,1.1570865123308922,0.0005999557580517252,0.7060620429433054,0.00035699239571678485,0.0701286724635533,3.829596971227566e-05,0.04163687478285283,0.0,0.04847215828485787,7.387115058359503e-05,0.05094918340910226,0.0,0.06766006569378077,4.5408276849604185e-05
manual_l2_w_bn,Weights + BN,1.0,5,if5,5,0.819625319762262,0.0007254332654601511,0.9668933758886086,0.000572718212876169,0.7044912434484059,0.0007246231523293513,0.08682934118776905,4.508604585149878e-05,0.048196285497397184,0.0,0.04795631766319275,0.00015714805983452063,0.06863216357305646,0.0,0.07793208719231189,7.986748220915596e-05
manual_l2_w_bn,Weights + BN,1.0,6,if6,5,0.9114995763680809,0.00044555117584398085,1.1120933720525266,0.0006132619325855042,0.6144562754661588,0.0005484837457812812,0.08873756953648158,3.112627033068714e-05,0.04596694512292743,0.0,0.04501062417402864,6.37484585693353e-05,0.06731568439863622,0.0,0.07227347875013948,7.609047428603171e-05
manual_l2_w_bn_if,Weights + BN + IF,0.5,0,post_input_if,5,0.15532171577613565,5.166451859385638e-05,1.0,0.0,0.9881500448367565,7.578903769314937e-06,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
manual_l2_w_bn_if,Weights + BN + IF,0.5,1,if1,5,0.3049343683420008,9.330747371917774e-05,1.9632436928412011,0.000516485822223865,0.9544807143636287,2.7643454638843394e-05,0.045496185458436304,2.066274268115062e-05,0.03015494777355343,0.0,0.06384225839283317,0.0001015451144418566,0.08537835301831365,0.0,0.08524535652250051,1.2546706342212432e-05
manual_l2_w_bn_if,Weights + BN + IF,0.5,2,if2,5,0.4395804549961652,0.0002145629070198445,1.4415576076077776,0.0005847084356999392,0.9084578845157961,9.021196121459648e-05,0.055681093371644313,1.5212984812015232e-05,0.14137096516788006,0.0,0.04945128981489688,1.8861359663505468e-05,0.06458951346576214,0.0,0.07315443428233266,9.906301075382705e-06
manual_l2_w_bn_if,Weights + BN + IF,0.5,3,if3,5,0.49945537820265834,0.000426237828620647,1.136209181779177,0.0006668942743121184,0.8788322015092284,0.00018473591834791393,0.0903869239651427,5.2002215598443525e-05,0.05646499234717339,0.0,0.05420208249706775,0.00011163313808068155,0.09379041311331093,0.0,0.09711766121909023,3.158157994505079e-05
manual_l2_w_bn_if,Weights + BN + IF,0.5,4,if4,5,0.5802801142071466,0.00041435661459588954,1.161825852802178,0.0001837737371945189,0.8406028038702438,0.0002248796616287567,0.07888458407655055,1.8236486419157014e-05,0.04262527101673186,0.0,0.048861257382668555,5.2343655364125615e-05,0.0715843690559268,0.0,0.08382976506836712,2.712262943045025e-05
manual_l2_w_bn_if,Weights + BN + IF,0.5,5,if5,5,0.5949411262868533,0.0005388471608304448,1.025265358964718,0.0004563013094539863,0.8283076564861962,0.00034590630520545026,0.10028850399717992,3.669489494871068e-05,0.04881379927974194,0.0,0.048292509443126616,0.00010105741522123786,0.09468895848840475,0.0,0.09829484014771879,4.89645651794328e-05
manual_l2_w_bn_if,Weights + BN + IF,0.5,6,if6,5,0.6938456437360571,0.0008129939964520548,1.1662423283304968,0.0004076955286428013,0.7701119552095439,0.0005727701540466058,0.115531181802555,0.00011497063838449175,0.04661809094250202,0.0,0.04673299877904356,0.00013818116070774935,0.10284110228531063,0.0,0.10898660314269364,0.00010878370157504767
manual_l2_w_bn_if,Weights + BN + IF,1.0,0,post_input_if,5,0.31078728824420143,0.00021383901636294172,1.0,0.0,0.9549459085301042,6.0383647225699475e-05,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
manual_l2_w_bn_if,Weights + BN + IF,1.0,1,if1,5,0.5171345992469166,0.00024130894648114094,1.6639505404380517,0.0005679491743872927,0.8855107244587633,0.00010702121907922169,0.0733112909355942,2.6605793707791613e-05,0.03015494777355343,0.0,0.060655055567622185,5.6940863013856484e-05,0.08537835301831365,0.0,0.09167981939390302,1.71098561663835e-05
manual_l2_w_bn_if,Weights + BN + IF,1.0,2,if2,5,0.699755893893708,0.0004135004333655688,1.3531407586220967,0.0005533852325029123,0.8045435681683099,0.0002449648455334051,0.07781265609118403,2.091280066906211e-05,0.14137096516788006,0.0,0.04922689218074083,4.735221304541477e-05,0.06458951346576214,0.0,0.08471966870129108,1.0609449019287499e-05
manual_l2_w_bn_if,Weights + BN + IF,1.0,3,if3,5,0.7615544186287168,0.0006359418745093442,1.0883143365896433,0.000478249944884395,0.7575382013096628,0.00036142345435066206,0.11440798895699637,7.689549977889763e-05,0.05646499234717339,0.0,0.0510940853273496,9.231126820279997e-05,0.09379041311331093,0.0,0.10845889439806342,4.4072770397931254e-05
manual_l2_w_bn_if,Weights + BN + IF,1.0,4,if4,5,0.8418900944514673,0.0005649069101954224,1.105489251532679,0.00041137586471307676,0.7057752120409284,0.0004881960956491489,0.0989941830537757,2.6865339776102102e-05,0.04262527101673186,0.0,0.048931479058228436,0.0001395819584330998,0.0715843690559268,0.0,0.09468059167265892,3.728391097810209e-05
manual_l2_w_bn_if,Weights + BN + IF,1.0,5,if5,5,0.8368776339961773,0.00037016103102643325,0.9940465976923902,0.0008840328508063051,0.6986427247412682,0.00034708428221134517,0.12078174279660595,3.300770444035622e-05,0.04881379927974194,0.0,0.04748734354507178,0.00015412440300552753,0.09468895848840475,0.0,0.10777236949652433,3.8585691358746006e-05
manual_l2_w_bn_if,Weights + BN + IF,1.0,6,if6,5,0.9322461838188196,0.0006390651009475942,1.113957592734725,0.0006133101564691058,0.6319933905659202,0.0003461393855100836,0.13862910757259447,4.623114656785378e-05,0.04661809094250202,0.0,0.046477523050270975,0.00010450299297977003,0.10284110228531063,0.0,0.120334941893816,8.274188954780656e-05
manual_l2_w_if,Weights + IF,0.5,0,post_input_if,5,0.15535830882885976,5.167665962894473e-05,1.0,0.0,0.9881445695590072,7.565071882228252e-06,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
manual_l2_w_if,Weights + IF,0.5,1,if1,5,0.2992128280073932,8.718181603833961e-05,1.9259532094840424,0.00027392493288273963,0.958279974489122,2.479689954557088e-05,0.06619119741478745,2.3766558055585655e-05,0.031146613298915327,0.0,0.06381293945014477,6.309214052038194e-05,0.10404741344973445,0.0,0.1072369797155261,1.301663463209485e-05
manual_l2_w_if,Weights + IF,0.5,2,if2,5,0.4251017289503468,0.00016940807755420954,1.4207336366701275,0.0003911254711811242,0.9192404644413988,8.290125702528521e-05,0.06754886179554219,2.5911540272500688e-05,0.11118129547685385,0.0,0.048085192288272086,6.184547823129285e-05,0.07439904706552625,0.0,0.08849048423580826,8.54752005428758e-06
manual_l2_w_if,Weights + IF,0.5,3,if3,5,0.5053978419068303,0.0003320930410445002,1.1888867628084419,0.00047052783172896526,0.8774538765447778,0.00016147851565019998,0.11187660256210638,5.336356191309017e-05,0.054113737191073596,0.0,0.05270703267306089,5.133430656706011e-05,0.11792291677556932,0.0,0.12069882303476334,3.0423548386088286e-05
manual_l2_w_if,Weights + IF,0.5,4,if4,5,0.6209623260090009,0.0007519582673213822,1.228660114645321,0.0007845543527059907,0.8291845363299881,0.0003264245440641438,0.10337237338630521,6.330341553124617e-05,0.044389684800989926,0.0,0.051025669812224804,0.00017325075212654443,0.09083663951605558,0.0,0.11174737578257918,6.655449684717972e-05
manual_l2_w_if,Weights + IF,0.5,5,if5,5,0.6630865198574619,0.000978020654576864,1.0678367835882658,0.0005900133719569574,0.7945718659528833,0.0004883920979243398,0.12221188058658522,0.00011220532452096562,0.04789982922375202,0.0,0.04643255625851452,3.688161939453908e-05,0.11259545828215778,0.0,0.1186367437709123,6.308336762708992e-05
manual_l2_w_if,Weights + IF,0.5,6,if6,5,0.7796185019032746,0.0011295414606270653,1.175741959232338,0.0007254470644608672,0.7166083403320148,0.0006770298298135579,0.12560001684694874,0.00010121809000903975,0.04478765930980444,0.0,0.04475801333319396,7.76299783538709e-05,0.1059138800483197,0.0,0.11407060245983303,8.218606386092721e-05
manual_l2_w_if,Weights + IF,1.0,0,post_input_if,5,0.31086050819776306,0.00021388940960014873,1.0,0.0,0.9549262514869047,6.068059556504958e-05,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
manual_l2_w_if,Weights + IF,1.0,1,if1,5,0.529506258630318,0.00033549709617748707,1.7033565428399629,0.00030274997607376364,0.8872395221638035,0.00013683339478717625,0.09640508476568728,3.6133142860299146e-05,0.031146613298915327,0.0,0.06076784613542259,5.7215316283867024e-05,0.10404741344973445,0.0,0.11481007249094546,2.0344604115653166e-05
manual_l2_w_if,Weights + IF,1.0,2,if2,5,0.7200477826608903,0.00037973304053767336,1.359847707588188,0.0005872705496818514,0.8085561805076441,0.0002627980662388585,0.09363575176316864,1.4359592994400534e-05,0.11118129547685385,0.0,0.048194370488636194,5.790975125897474e-05,0.07439904706552625,0.0,0.10368539737537504,1.672899331886215e-05
manual_l2_w_if,Weights + IF,1.0,3,if3,5,0.7684093581913306,0.0004927704290066458,1.067164444641137,0.0005264721715786341,0.7537639606167835,0.0004070152356712665,0.13963439318598533,6.540327630187401e-05,0.054113737191073596,0.0,0.049355922569520774,0.0001232973896742064,0.11792291677556932,0.0,0.1329516594298184,8.867453177890853e-05
manual_l2_w_if,Weights + IF,1.0,4,if4,5,0.8799136007710746,0.00040616001749025667,1.1451106827368256,0.0005927751300238672,0.6933937640780917,0.0005476467279314199,0.1267907629207689,5.412680806853936e-05,0.044389684800989926,0.0,0.04990679575130343,6.233621363277013e-05,0.09083663951605558,0.0,0.12212640545330941,0.00011224041893961918
manual_l2_w_if,Weights + IF,1.0,5,if5,5,0.8845256908588643,0.0003802320028822492,1.005241637066678,0.0005002275295529122,0.6657666143458445,0.00036342743647655915,0.14440489399189851,7.467899988978945e-05,0.04789982922375202,0.0,0.04532719738781452,0.00013256203944443957,0.11259545828215778,0.0,0.12671661465428768,7.832625718371043e-05
manual_l2_w_if,Weights + IF,1.0,6,if6,5,0.9661705333060467,0.00018509236142734618,1.0923036336369865,0.00033170046744891257,0.5799160054469749,0.00031123543714109517,0.14438280378069196,2.6990588814261367e-05,0.04478765930980444,0.0,0.0435740559361875,0.0001235595774959832,0.1059138800483197,0.0,0.11695082662627101,5.63132580600153e-05
wd_weight_only,Weights only,0.5,0,post_input_if,5,0.15546257002828404,5.1711312217443177e-05,1.0,0.0,0.9881288374159104,7.769508449542997e-06,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
wd_weight_only,Weights only,0.5,1,if1,5,0.3203070108954898,8.962989055699739e-05,2.0603482383251093,0.0007558260959229503,0.9498359040635156,3.1172061441716636e-05,0.04174353735787528,1.0769069348981533e-05,0.09249013592489064,0.0,0.0671982578933239,7.616651284230161e-05,0.08111616363748908,0.0,0.0801299147773534,7.718013006297195e-06
wd_weight_only,Weights only,0.5,2,if2,5,0.4424946524726216,0.00021814711028605614,1.3814703751811757,0.000500132237170866,0.9090101388858393,8.23047689142201e-05,0.052252270250904315,1.9521581919320566e-05,0.04297528846655041,0.0,0.05198596140835434,2.8837980179598804e-05,0.06135453388560563,0.0,0.07099481918849052,1.2835942272702922e-05
wd_weight_only,Weights only,0.5,3,if3,5,0.48807319799878085,0.0004442693275125107,1.1030034429701139,0.0005086366098732753,0.8834802181193374,0.00021658756899685903,0.08245128320187939,4.9145002199012956e-05,0.05511147540528327,0.0,0.05372043428942561,0.00012916862077194517,0.0861774543300271,0.0,0.08887104298919439,3.433772967608172e-05
wd_weight_only,Weights only,0.5,4,if4,5,0.5927412617288199,0.0007971704329956946,1.2144513330814128,0.0008523107643431586,0.8338323556403295,0.00039371932963804364,0.075967922989203,6.444572534457234e-05,0.04117677581962198,0.0,0.04966729520820081,5.8870474942085535e-05,0.06809977954253554,0.0,0.0805137949064374,4.620051930927719e-05
wd_weight_only,Weights only,0.5,5,if5,5,0.6069162657851048,0.0005840564328261196,1.0239148450327946,0.0006468645733711433,0.81766175035276,0.0002993261864665804,0.09235941050003986,3.651915488719384e-05,0.047656311304308474,0.0,0.04718129571992904,0.00010840484773112448,0.0866868335288018,0.0,0.08838943368755281,5.0292477496385035e-05
wd_weight_only,Weights only,0.5,6,if6,5,0.7015182237426028,0.0005578263813498075,1.155873465807168,0.0006948624703606958,0.7540183865735212,0.00037933379213714693,0.09331045345384248,4.974135025234339e-05,0.045059514814056456,0.0,0.044849316985346374,9.616138375927923e-05,0.08216392667964101,0.0,0.08286800193600356,4.330910486326015e-05
wd_weight_only,Weights only,1.0,0,post_input_if,5,0.31106912715091967,0.0002140329610062167,1.0,0.0,0.9548700377856885,5.99640869342861e-05,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
wd_weight_only,Weights only,1.0,1,if1,5,0.5295005102959482,0.00030148481223819915,1.7021957875810465,0.0004675443769630592,0.8805574346328487,0.00012838152241817863,0.06766755045676717,2.2612624593549952e-05,0.09249013592489064,0.0,0.06221433239988983,6.339379948373854e-05,0.08111616363748908,0.0,0.08625529268756509,1.508580797850601e-05
wd_weight_only,Weights only,1.0,2,if2,5,0.6883275758325603,0.00043441776266113,1.299956365162626,0.000142104856121806,0.811903827608494,0.0002500655462984977,0.07320379821621642,3.440990230042568e-05,0.04297528846655041,0.0,0.05131675454322249,4.395773236395926e-05,0.06135453388560563,0.0,0.08109718654304743,1.58480838825151e-05
wd_weight_only,Weights only,1.0,3,if3,5,0.7196235537393837,0.00039218066874771156,1.0454667678144647,0.00029541966022754445,0.7759779379432193,0.00026794741684537895,0.10374529313068001,4.07236700154995e-05,0.05511147540528327,0.0,0.05136992665939033,0.00014836513421405775,0.0861774543300271,0.0,0.09887341298162937,4.230942033185499e-05
wd_weight_only,Weights only,1.0,4,if4,5,0.8200444772811666,0.00038565950946394233,1.1395466343642393,0.0006181144544602575,0.7126888253107898,0.0003559200346337614,0.09279551019473951,4.048190121583848e-05,0.04117677581962198,0.0,0.049621830135583876,5.8138394631996695e-05,0.06809977954253554,0.0,0.08856188738718629,3.381505682030856e-05
