site,method,method_label,sigma_scale,sigma,n,acc_mean,acc_std
post_input_if,manual_l2_all,Manual L2 (all params),absolute,0,5,88.424000,0.330121
post_input_if,manual_l2_all,Manual L2 (all params),absolute,0.25,5,82.670667,2.026600
post_input_if,manual_l2_all,Manual L2 (all params),absolute,0.5,5,65.049333,4.981801
post_input_if,manual_l2_all,Manual L2 (all params),absolute,0.75,5,48.430000,6.501373
post_input_if,manual_l2_all,Manual L2 (all params),absolute,1,5,36.913333,6.757486
post_input_if,wd_weight_only,WD (weights only),absolute,0,5,87.400000,0.194165
post_input_if,wd_weight_only,WD (weights only),absolute,0.25,5,83.290000,2.018542
post_input_if,wd_weight_only,WD (weights only),absolute,0.5,5,71.574000,5.260645
post_input_if,wd_weight_only,WD (weights only),absolute,0.75,5,57.077333,5.233016
post_input_if,wd_weight_only,WD (weights only),absolute,1,5,44.768000,5.533318
