method,method_label,sigma,n_noise_draws,n_samples_per_draw,clean_accuracy_mean,clean_accuracy_std,noisy_accuracy_mean,noisy_accuracy_std,accuracy_drop_mean,accuracy_drop_std,prediction_flip_rate_mean,prediction_flip_rate_std,clean_correct_to_wrong_rate_mean,clean_correct_to_wrong_rate_std,clean_margin_mean_mean,clean_margin_mean_std,noisy_margin_mean_mean,noisy_margin_mean_std,margin_change_mean_mean,margin_change_mean_std,clean_negative_margin_rate_mean,clean_negative_margin_rate_std,noisy_negative_margin_rate_mean,noisy_negative_margin_rate_std
manual_l2_all,All parameters,0.5,5,2048,89.697265625,0.0,62.626953125,0.7280140804563972,27.0703125,0.7280140804563972,0.35263671875,0.006063344365732573,0.3271638541099619,0.007045279861483273,7.148021883331239,0.0,1.9347687234170734,0.03269620943448998,-5.213253160612657,0.03269620811509926,0.10302734375,0.0,0.37373046875,0.007280140804563971
manual_l2_all,All parameters,1.0,5,2048,89.697265625,0.0,36.748046875,0.4035342482694216,52.94921875,0.4035342482694216,0.6326171875,0.004652784863113904,0.6205770277626566,0.004666964670517758,7.148021883331239,0.0,-1.6223689459497108,0.07235825112738559,-8.770390826347285,0.07235825545997743,0.10302734375,0.0,0.63251953125,0.004035342482694216
manual_l2_w_bn,Weights + BN,0.5,5,2048,89.16015625,0.0,74.716796875,0.6170530534931298,14.443359375,0.6170530534931298,0.2189453125,0.004902304842973099,0.18849945235487403,0.0063086246452723855,6.899925173143856,0.0,3.4232814852613958,0.038489494662800265,-3.4766436897800306,0.03848949680589389,0.1083984375,0.0,0.25283203125,0.006170530534931298
manual_l2_w_bn,Weights + BN,1.0,5,2048,89.16015625,0.0,42.490234375,0.7278503161802377,46.669921875,0.7278503161802377,0.5619140625,0.006285376564465243,0.5498357064622125,0.007850641394759834,6.899925173143856,0.0,-0.6298109760740772,0.05651254372499471,-7.529736148682423,0.05651253975040542,0.1083984375,0.0,0.57509765625,0.007278503161802377
manual_l2_w_bn_if,Weights + BN + IF,0.5,5,2048,88.720703125,0.0,68.203125,0.29580334435275313,20.517578125,0.29580334435275313,0.28720703125,0.0024267136015213237,0.2608695652173913,0.0016963164565131975,6.854931411333382,0.0,2.6796028835466132,0.028210964988804894,-4.175328529404942,0.028210962661596947,0.11279296875,0.0,0.31796875,0.002958033443527531
manual_l2_w_bn_if,Weights + BN + IF,1.0,5,2048,88.720703125,0.0,35.654296875,0.47891405606403237,53.06640625,0.47891405606403237,0.62744140625,0.005828777532379552,0.6222344523940562,0.006098798096728712,6.854931411333382,0.0,-1.9468306384049356,0.03372846441286074,-8.801762046106159,0.03372846554931223,0.11279296875,0.0,0.64345703125,0.004789140560640323
manual_l2_w_if,Weights + IF,0.5,5,2048,87.79296875,0.0,56.34765625,0.24168688810087074,31.4453125,0.24168688810087074,0.4107421875,0.004220173913346074,0.3901001112347052,0.0019505759640433978,6.867753796628676,0.0,1.109743704868015,0.03532271599508804,-5.758010093658231,0.0353227159410975,0.1220703125,0.0,0.4365234375,0.0024168688810087074
manual_l2_w_if,Weights + IF,1.0,5,2048,87.79296875,0.0,32.71484375,0.2042627017905458,55.078125,0.2042627017905458,0.65869140625,0.0030297054799782366,0.6591768631813126,0.0035481953076166094,6.867753796628676,0.0,-2.3487270953250117,0.07676872027530504,-9.216480893874541,0.07676872038514262,0.1220703125,0.0,0.6728515625,0.002042627017905458
wd_weight_only,Weights only,0.5,5,2048,88.232421875,0.0,73.916015625,0.8122217729007414,14.31640625,0.8122217729007414,0.22412109375,0.007873298582322802,0.1916989485334809,0.008398250344258527,7.274379159323871,0.0,3.382083873078227,0.05721357902389607,-3.8922952857799826,0.0572135790878411,0.11767578125,0.0,0.26083984375,0.008122217729007413
wd_weight_only,Weights only,1.0,5,2048,88.232421875,0.0,47.880859375,0.5530741695173484,40.3515625,0.5530741695173484,0.50224609375,0.003358154075009648,0.4868843386828998,0.004275914504057972,7.274379159323871,0.0,-0.13379693290917202,0.03392984026434856,-7.408176088274923,0.03392984138276591,0.11767578125,0.0,0.52119140625,0.005530741695173484
