model,architecture,method,method_label,seed,layer,channels,if_threshold,bn_gamma_abs_mean,bn_beta_abs_mean,folded_threshold_normalized_gain
cnn6,"Narrow, early pool",wd_weight_only,Weights only,42,1,2,7.300727844238281,2.438070058822632,0.3302249610424042,0.37001583825851314
cnn6,"Narrow, early pool",wd_weight_only,Weights only,42,2,4,7.447805404663086,1.7621246576309204,0.24514886736869812,0.2522138021914452
cnn6,"Narrow, early pool",wd_weight_only,Weights only,42,3,4,7.144509315490723,1.8197369575500488,0.9169158935546875,0.16554030735408276
cnn6,"Narrow, early pool",wd_weight_only,Weights only,42,4,4,7.2175164222717285,1.836838722229004,0.7433381676673889,0.1845048466224414
cnn6,"Narrow, early pool",wd_weight_only,Weights only,42,5,4,7.301060676574707,1.732743263244629,0.8196802735328674,0.1835976351559063
cnn6,"Narrow, early pool",wd_weight_only,Weights only,42,6,4,7.50198221206665,1.9943888187408447,0.26291197538375854,0.20988288175063186
cnn6,"Narrow, early pool",manual_l2_all,All parameters,42,1,2,4.942478656768799,1.9101334810256958,0.3345199525356293,0.41100369865861336
cnn6,"Narrow, early pool",manual_l2_all,All parameters,42,2,4,5.140503406524658,1.3178478479385376,0.20703500509262085,0.36317405806902386
cnn6,"Narrow, early pool",manual_l2_all,All parameters,42,3,4,4.895711421966553,1.3866091966629028,0.6344759464263916,0.23454132765666338
cnn6,"Narrow, early pool",manual_l2_all,All parameters,42,4,4,4.9261860847473145,1.4069750308990479,0.5587820410728455,0.27695968002461824
cnn6,"Narrow, early pool",manual_l2_all,All parameters,42,5,4,5.032282829284668,1.2634832859039307,0.6765232086181641,0.25867039947175363
cnn6,"Narrow, early pool",manual_l2_all,All parameters,42,6,4,5.286851406097412,1.7426626682281494,0.30242669582366943,0.36590149172889225
cnn6_narrow_staged,"Narrow, staged pool",wd_weight_only,Weights only,42,1,2,7.408747673034668,1.8540048599243164,1.1401581764221191,0.34138588259299957
cnn6_narrow_staged,"Narrow, staged pool",wd_weight_only,Weights only,42,2,4,7.58623743057251,1.6047308444976807,0.2648734450340271,0.2485162514641728
cnn6_narrow_staged,"Narrow, staged pool",wd_weight_only,Weights only,42,3,4,7.402680397033691,1.673123836517334,0.709960401058197,0.1516351852456114
cnn6_narrow_staged,"Narrow, staged pool",wd_weight_only,Weights only,42,4,4,7.498813152313232,1.7163206338882446,0.16029584407806396,0.17774160174128342
cnn6_narrow_staged,"Narrow, staged pool",wd_weight_only,Weights only,42,5,4,7.227507591247559,1.8218448162078857,0.7765641808509827,0.1668143555619807
cnn6_narrow_staged,"Narrow, staged pool",wd_weight_only,Weights only,42,6,4,7.483691215515137,2.055342197418213,0.37927505373954773,0.21140530553596304
cnn6_narrow_staged,"Narrow, staged pool",manual_l2_all,All parameters,42,1,2,5.031750202178955,1.5177381038665771,0.7706884741783142,0.4410855735328987
cnn6_narrow_staged,"Narrow, staged pool",manual_l2_all,All parameters,42,2,4,5.166686534881592,1.2397024631500244,0.2463737428188324,0.36691893617222227
cnn6_narrow_staged,"Narrow, staged pool",manual_l2_all,All parameters,42,3,4,4.9661126136779785,1.3136073350906372,0.5679093599319458,0.23229816394772035
cnn6_narrow_staged,"Narrow, staged pool",manual_l2_all,All parameters,42,4,4,5.168148517608643,1.240665078163147,0.23139920830726624,0.247867945770665
cnn6_narrow_staged,"Narrow, staged pool",manual_l2_all,All parameters,42,5,4,4.904341220855713,1.2675628662109375,0.8011507987976074,0.22875188072770197
cnn6_narrow_staged,"Narrow, staged pool",manual_l2_all,All parameters,42,6,4,5.269711971282959,1.8342127799987793,0.3884996473789215,0.35157136084658486
cnn6_wide_early,"Wide, early pool",wd_weight_only,Weights only,42,1,8,7.7091217041015625,1.2034480571746826,0.19586750864982605,0.3035550705243303
cnn6_wide_early,"Wide, early pool",wd_weight_only,Weights only,42,2,8,7.286251544952393,1.5080190896987915,0.18343573808670044,0.18191156840459072
cnn6_wide_early,"Wide, early pool",wd_weight_only,Weights only,42,3,16,7.101070404052734,1.3316905498504639,0.24042391777038574,0.13953414907050546
cnn6_wide_early,"Wide, early pool",wd_weight_only,Weights only,42,4,16,7.293304443359375,1.2876384258270264,0.1445714384317398,0.2007995224047037
cnn6_wide_early,"Wide, early pool",wd_weight_only,Weights only,42,5,32,7.414440155029297,1.1329498291015625,0.035659901797771454,0.1832282780451738
cnn6_wide_early,"Wide, early pool",wd_weight_only,Weights only,42,6,32,7.6475701332092285,1.1786119937896729,0.15172454714775085,0.2415727470007956
cnn6_wide_early,"Wide, early pool",manual_l2_all,All parameters,42,1,8,5.2482380867004395,0.9527440667152405,0.14165730774402618,0.37417612596544475
cnn6_wide_early,"Wide, early pool",manual_l2_all,All parameters,42,2,8,4.904578685760498,1.1564608812332153,0.17101216316223145,0.24541838031838945
cnn6_wide_early,"Wide, early pool",manual_l2_all,All parameters,42,3,16,4.736410140991211,1.0020408630371094,0.1865571141242981,0.21942310613171767
cnn6_wide_early,"Wide, early pool",manual_l2_all,All parameters,42,4,16,4.943931579589844,0.9523426294326782,0.11982451379299164,0.2986043835370116
cnn6_wide_early,"Wide, early pool",manual_l2_all,All parameters,42,5,32,5.032029628753662,0.8236287832260132,0.031350985169410706,0.2663153484212563
cnn6_wide_early,"Wide, early pool",manual_l2_all,All parameters,42,6,32,5.325338840484619,0.9997117519378662,0.06044093891978264,0.4202189465836883
