dataset,model,method,method_label,seed,L,T,site,sigma,sigma_scale,scale_reference,actual_sigma,noise_repeat,noise_seed,accuracy,checkpoint
fashion_mnist,cnn6_vgg,wd_weight_only,WD (weights only),42,16,16,post_input_if,0,input_if_threshold,6.58508158,0,0,20302801,87.490000,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/QCFS_simulation/fashion_mnist-checkpoints/cnn6_vgg_L[16]_fashion_spectral_mne_cnn6_vgg_wd_weight_only_rcnone_seed42_ep30_L16_trainT0.pth
fashion_mnist,cnn6_vgg,wd_weight_only,WD (weights only),42,16,16,post_input_if,0.05,input_if_threshold,6.58508158,0.329254079,0,20302901,81.410000,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/QCFS_simulation/fashion_mnist-checkpoints/cnn6_vgg_L[16]_fashion_spectral_mne_cnn6_vgg_wd_weight_only_rcnone_seed42_ep30_L16_trainT0.pth
fashion_mnist,cnn6_vgg,wd_weight_only,WD (weights only),42,16,16,post_input_if,0.05,input_if_threshold,6.58508158,0.329254079,1,20302902,81.050000,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/QCFS_simulation/fashion_mnist-checkpoints/cnn6_vgg_L[16]_fashion_spectral_mne_cnn6_vgg_wd_weight_only_rcnone_seed42_ep30_L16_trainT0.pth
fashion_mnist,cnn6_vgg,wd_weight_only,WD (weights only),42,16,16,post_input_if,0.05,input_if_threshold,6.58508158,0.329254079,2,20302903,80.790000,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/QCFS_simulation/fashion_mnist-checkpoints/cnn6_vgg_L[16]_fashion_spectral_mne_cnn6_vgg_wd_weight_only_rcnone_seed42_ep30_L16_trainT0.pth
fashion_mnist,cnn6_vgg,wd_weight_only,WD (weights only),42,16,16,post_input_if,0.05,input_if_threshold,6.58508158,0.329254079,3,20302904,81.020000,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/QCFS_simulation/fashion_mnist-checkpoints/cnn6_vgg_L[16]_fashion_spectral_mne_cnn6_vgg_wd_weight_only_rcnone_seed42_ep30_L16_trainT0.pth
fashion_mnist,cnn6_vgg,wd_weight_only,WD (weights only),42,16,16,post_input_if,0.05,input_if_threshold,6.58508158,0.329254079,4,20302905,80.710000,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/QCFS_simulation/fashion_mnist-checkpoints/cnn6_vgg_L[16]_fashion_spectral_mne_cnn6_vgg_wd_weight_only_rcnone_seed42_ep30_L16_trainT0.pth
fashion_mnist,cnn6_vgg,wd_weight_only,WD (weights only),42,16,16,post_input_if,0.1,input_if_threshold,6.58508158,0.658508158,0,20303001,65.780000,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/QCFS_simulation/fashion_mnist-checkpoints/cnn6_vgg_L[16]_fashion_spectral_mne_cnn6_vgg_wd_weight_only_rcnone_seed42_ep30_L16_trainT0.pth
fashion_mnist,cnn6_vgg,wd_weight_only,WD (weights only),42,16,16,post_input_if,0.1,input_if_threshold,6.58508158,0.658508158,1,20303002,65.550000,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/QCFS_simulation/fashion_mnist-checkpoints/cnn6_vgg_L[16]_fashion_spectral_mne_cnn6_vgg_wd_weight_only_rcnone_seed42_ep30_L16_trainT0.pth
fashion_mnist,cnn6_vgg,wd_weight_only,WD (weights only),42,16,16,post_input_if,0.1,input_if_threshold,6.58508158,0.658508158,2,20303003,65.510000,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/QCFS_simulation/fashion_mnist-checkpoints/cnn6_vgg_L[16]_fashion_spectral_mne_cnn6_vgg_wd_weight_only_rcnone_seed42_ep30_L16_trainT0.pth
fashion_mnist,cnn6_vgg,wd_weight_only,WD (weights only),42,16,16,post_input_if,0.1,input_if_threshold,6.58508158,0.658508158,3,20303004,66.160000,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/QCFS_simulation/fashion_mnist-checkpoints/cnn6_vgg_L[16]_fashion_spectral_mne_cnn6_vgg_wd_weight_only_rcnone_seed42_ep30_L16_trainT0.pth
fashion_mnist,cnn6_vgg,wd_weight_only,WD (weights only),42,16,16,post_input_if,0.1,input_if_threshold,6.58508158,0.658508158,4,20303005,65.540000,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/QCFS_simulation/fashion_mnist-checkpoints/cnn6_vgg_L[16]_fashion_spectral_mne_cnn6_vgg_wd_weight_only_rcnone_seed42_ep30_L16_trainT0.pth
fashion_mnist,cnn6_vgg,wd_weight_only,WD (weights only),42,16,16,post_input_if,0.15,input_if_threshold,6.58508158,0.987762237,0,20303101,48.760000,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/QCFS_simulation/fashion_mnist-checkpoints/cnn6_vgg_L[16]_fashion_spectral_mne_cnn6_vgg_wd_weight_only_rcnone_seed42_ep30_L16_trainT0.pth
fashion_mnist,cnn6_vgg,wd_weight_only,WD (weights only),42,16,16,post_input_if,0.15,input_if_threshold,6.58508158,0.987762237,1,20303102,49.190000,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/QCFS_simulation/fashion_mnist-checkpoints/cnn6_vgg_L[16]_fashion_spectral_mne_cnn6_vgg_wd_weight_only_rcnone_seed42_ep30_L16_trainT0.pth
fashion_mnist,cnn6_vgg,wd_weight_only,WD (weights only),42,16,16,post_input_if,0.15,input_if_threshold,6.58508158,0.987762237,2,20303103,48.410000,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/QCFS_simulation/fashion_mnist-checkpoints/cnn6_vgg_L[16]_fashion_spectral_mne_cnn6_vgg_wd_weight_only_rcnone_seed42_ep30_L16_trainT0.pth
fashion_mnist,cnn6_vgg,wd_weight_only,WD (weights only),42,16,16,post_input_if,0.15,input_if_threshold,6.58508158,0.987762237,3,20303104,48.280000,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/QCFS_simulation/fashion_mnist-checkpoints/cnn6_vgg_L[16]_fashion_spectral_mne_cnn6_vgg_wd_weight_only_rcnone_seed42_ep30_L16_trainT0.pth
fashion_mnist,cnn6_vgg,wd_weight_only,WD (weights only),42,16,16,post_input_if,0.15,input_if_threshold,6.58508158,0.987762237,4,20303105,48.580000,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/QCFS_simulation/fashion_mnist-checkpoints/cnn6_vgg_L[16]_fashion_spectral_mne_cnn6_vgg_wd_weight_only_rcnone_seed42_ep30_L16_trainT0.pth
fashion_mnist,cnn6_vgg,wd_weight_only,WD (weights only),42,16,16,post_input_if,0.2,input_if_threshold,6.58508158,1.31701632,0,20303201,35.930000,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/QCFS_simulation/fashion_mnist-checkpoints/cnn6_vgg_L[16]_fashion_spectral_mne_cnn6_vgg_wd_weight_only_rcnone_seed42_ep30_L16_trainT0.pth
fashion_mnist,cnn6_vgg,wd_weight_only,WD (weights only),42,16,16,post_input_if,0.2,input_if_threshold,6.58508158,1.31701632,1,20303202,35.490000,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/QCFS_simulation/fashion_mnist-checkpoints/cnn6_vgg_L[16]_fashion_spectral_mne_cnn6_vgg_wd_weight_only_rcnone_seed42_ep30_L16_trainT0.pth
fashion_mnist,cnn6_vgg,wd_weight_only,WD (weights only),42,16,16,post_input_if,0.2,input_if_threshold,6.58508158,1.31701632,2,20303203,35.750000,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/QCFS_simulation/fashion_mnist-checkpoints/cnn6_vgg_L[16]_fashion_spectral_mne_cnn6_vgg_wd_weight_only_rcnone_seed42_ep30_L16_trainT0.pth
fashion_mnist,cnn6_vgg,wd_weight_only,WD (weights only),42,16,16,post_input_if,0.2,input_if_threshold,6.58508158,1.31701632,3,20303204,35.690000,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/QCFS_simulation/fashion_mnist-checkpoints/cnn6_vgg_L[16]_fashion_spectral_mne_cnn6_vgg_wd_weight_only_rcnone_seed42_ep30_L16_trainT0.pth
fashion_mnist,cnn6_vgg,wd_weight_only,WD (weights only),42,16,16,post_input_if,0.2,input_if_threshold,6.58508158,1.31701632,4,20303205,35.490000,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/QCFS_simulation/fashion_mnist-checkpoints/cnn6_vgg_L[16]_fashion_spectral_mne_cnn6_vgg_wd_weight_only_rcnone_seed42_ep30_L16_trainT0.pth
