model,method,clean_acc_mean,clean_acc_std,sigma1_acc_mean,sigma1_acc_std,absolute_drop,relative_retention
cnn2_c16_c32,group_lasso,88.095000,0.397366,52.342500,9.294039,35.752500,0.594160
cnn2_c16_c32,l2,88.930000,0.183666,45.470000,6.428380,43.460000,0.511301
cnn2_c16_c32,old_detach,88.160000,0.134412,51.112500,7.698742,37.047500,0.579770
cnn2_c16_c32,orthogonal,88.445000,0.205670,48.990000,5.457637,39.455000,0.553904
cnn2_c16_c32,spectral_norm,88.167500,0.249182,49.407500,5.975279,38.760000,0.560382
cnn2_c8_c16,group_lasso,87.037500,0.478496,60.735000,7.147869,26.302500,0.697803
cnn2_c8_c16,l2,87.857500,0.285818,52.115000,7.249186,35.742500,0.593176
cnn2_c8_c16,old_detach,87.142500,0.311595,61.485000,9.043854,25.657500,0.705568
cnn2_c8_c16,orthogonal,87.327500,0.474227,57.102500,8.707783,30.225000,0.653889
cnn2_c8_c16,spectral_norm,86.992500,0.449027,60.965000,5.720259,26.027500,0.700808
