dataset,model,method,method_label,regularizer,reg_coeff,weight_decay,seed,L,train_T,test_T,if_mode,spike_schedule,noise_position,noise_type,sigma,acc,checkpoint,matrix_csv
fashion_mnist,cnn2_c8_c16,threshold_l2,threshold_l2_rc0p0001,threshold_l2,0p0001,0.0,40,16,0,16,rate_uniform,normal,post_input_if,gaussian,0,87.490000,fashion_mnist-checkpoints/cnn2_c8_c16_L[16]_fashion_spectral_mne_cnn2_c8_c16_threshold_l2_rc0p0001_seed40_ep30_L16_trainT0.pth,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/important_results/fashion_l2family_newregs_full_c8c16_c16c32_ep30_4seed_mps/cnn2_c8_c16/threshold_l2/rc0p0001/seed_40/noise_sweep_matrix_fashion_mnist_cnn2_c8_c16_T16_mode_rate_uniform_schedule_normal_seed_40.csv
fashion_mnist,cnn2_c8_c16,threshold_l2,threshold_l2_rc0p0001,threshold_l2,0p0001,0.0,40,16,0,16,rate_uniform,normal,post_input_if,gaussian,1,65.740000,fashion_mnist-checkpoints/cnn2_c8_c16_L[16]_fashion_spectral_mne_cnn2_c8_c16_threshold_l2_rc0p0001_seed40_ep30_L16_trainT0.pth,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/important_results/fashion_l2family_newregs_full_c8c16_c16c32_ep30_4seed_mps/cnn2_c8_c16/threshold_l2/rc0p0001/seed_40/noise_sweep_matrix_fashion_mnist_cnn2_c8_c16_T16_mode_rate_uniform_schedule_normal_seed_40.csv
fashion_mnist,cnn2_c8_c16,threshold_l2,threshold_l2_rc0p0001,threshold_l2,0p0001,0.0,41,16,0,16,rate_uniform,normal,post_input_if,gaussian,0,87.470000,fashion_mnist-checkpoints/cnn2_c8_c16_L[16]_fashion_spectral_mne_cnn2_c8_c16_threshold_l2_rc0p0001_seed41_ep30_L16_trainT0.pth,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/important_results/fashion_l2family_newregs_full_c8c16_c16c32_ep30_4seed_mps/cnn2_c8_c16/threshold_l2/rc0p0001/seed_41/noise_sweep_matrix_fashion_mnist_cnn2_c8_c16_T16_mode_rate_uniform_schedule_normal_seed_41.csv
fashion_mnist,cnn2_c8_c16,threshold_l2,threshold_l2_rc0p0001,threshold_l2,0p0001,0.0,41,16,0,16,rate_uniform,normal,post_input_if,gaussian,1,65.410000,fashion_mnist-checkpoints/cnn2_c8_c16_L[16]_fashion_spectral_mne_cnn2_c8_c16_threshold_l2_rc0p0001_seed41_ep30_L16_trainT0.pth,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/important_results/fashion_l2family_newregs_full_c8c16_c16c32_ep30_4seed_mps/cnn2_c8_c16/threshold_l2/rc0p0001/seed_41/noise_sweep_matrix_fashion_mnist_cnn2_c8_c16_T16_mode_rate_uniform_schedule_normal_seed_41.csv
fashion_mnist,cnn2_c8_c16,threshold_l2,threshold_l2_rc0p0001,threshold_l2,0p0001,0.0,42,16,0,16,rate_uniform,normal,post_input_if,gaussian,0,86.470000,fashion_mnist-checkpoints/cnn2_c8_c16_L[16]_fashion_spectral_mne_cnn2_c8_c16_threshold_l2_rc0p0001_seed42_ep30_L16_trainT0.pth,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/important_results/fashion_l2family_newregs_full_c8c16_c16c32_ep30_4seed_mps/cnn2_c8_c16/threshold_l2/rc0p0001/seed_42/noise_sweep_matrix_fashion_mnist_cnn2_c8_c16_T16_mode_rate_uniform_schedule_normal_seed_42.csv
fashion_mnist,cnn2_c8_c16,threshold_l2,threshold_l2_rc0p0001,threshold_l2,0p0001,0.0,42,16,0,16,rate_uniform,normal,post_input_if,gaussian,1,48.520000,fashion_mnist-checkpoints/cnn2_c8_c16_L[16]_fashion_spectral_mne_cnn2_c8_c16_threshold_l2_rc0p0001_seed42_ep30_L16_trainT0.pth,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/important_results/fashion_l2family_newregs_full_c8c16_c16c32_ep30_4seed_mps/cnn2_c8_c16/threshold_l2/rc0p0001/seed_42/noise_sweep_matrix_fashion_mnist_cnn2_c8_c16_T16_mode_rate_uniform_schedule_normal_seed_42.csv
fashion_mnist,cnn2_c8_c16,threshold_l2,threshold_l2_rc0p0001,threshold_l2,0p0001,0.0,43,16,0,16,rate_uniform,normal,post_input_if,gaussian,0,87.070000,fashion_mnist-checkpoints/cnn2_c8_c16_L[16]_fashion_spectral_mne_cnn2_c8_c16_threshold_l2_rc0p0001_seed43_ep30_L16_trainT0.pth,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/important_results/fashion_l2family_newregs_full_c8c16_c16c32_ep30_4seed_mps/cnn2_c8_c16/threshold_l2/rc0p0001/seed_43/noise_sweep_matrix_fashion_mnist_cnn2_c8_c16_T16_mode_rate_uniform_schedule_normal_seed_43.csv
fashion_mnist,cnn2_c8_c16,threshold_l2,threshold_l2_rc0p0001,threshold_l2,0p0001,0.0,43,16,0,16,rate_uniform,normal,post_input_if,gaussian,1,62.400000,fashion_mnist-checkpoints/cnn2_c8_c16_L[16]_fashion_spectral_mne_cnn2_c8_c16_threshold_l2_rc0p0001_seed43_ep30_L16_trainT0.pth,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/important_results/fashion_l2family_newregs_full_c8c16_c16c32_ep30_4seed_mps/cnn2_c8_c16/threshold_l2/rc0p0001/seed_43/noise_sweep_matrix_fashion_mnist_cnn2_c8_c16_T16_mode_rate_uniform_schedule_normal_seed_43.csv
fashion_mnist,cnn2_c8_c16,l2_sp,l2_sp_rc0p01,l2_sp,0p01,0.0,40,16,0,16,rate_uniform,normal,post_input_if,gaussian,0,87.110000,fashion_mnist-checkpoints/cnn2_c8_c16_L[16]_fashion_spectral_mne_cnn2_c8_c16_l2_sp_rc0p01_seed40_ep30_L16_trainT0.pth,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/important_results/fashion_l2family_newregs_full_c8c16_c16c32_ep30_4seed_mps/cnn2_c8_c16/l2_sp/rc0p01/seed_40/noise_sweep_matrix_fashion_mnist_cnn2_c8_c16_T16_mode_rate_uniform_schedule_normal_seed_40.csv
fashion_mnist,cnn2_c8_c16,l2_sp,l2_sp_rc0p01,l2_sp,0p01,0.0,40,16,0,16,rate_uniform,normal,post_input_if,gaussian,1,70.730000,fashion_mnist-checkpoints/cnn2_c8_c16_L[16]_fashion_spectral_mne_cnn2_c8_c16_l2_sp_rc0p01_seed40_ep30_L16_trainT0.pth,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/important_results/fashion_l2family_newregs_full_c8c16_c16c32_ep30_4seed_mps/cnn2_c8_c16/l2_sp/rc0p01/seed_40/noise_sweep_matrix_fashion_mnist_cnn2_c8_c16_T16_mode_rate_uniform_schedule_normal_seed_40.csv
fashion_mnist,cnn2_c8_c16,l2_sp,l2_sp_rc0p01,l2_sp,0p01,0.0,41,16,0,16,rate_uniform,normal,post_input_if,gaussian,0,87.460000,fashion_mnist-checkpoints/cnn2_c8_c16_L[16]_fashion_spectral_mne_cnn2_c8_c16_l2_sp_rc0p01_seed41_ep30_L16_trainT0.pth,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/important_results/fashion_l2family_newregs_full_c8c16_c16c32_ep30_4seed_mps/cnn2_c8_c16/l2_sp/rc0p01/seed_41/noise_sweep_matrix_fashion_mnist_cnn2_c8_c16_T16_mode_rate_uniform_schedule_normal_seed_41.csv
fashion_mnist,cnn2_c8_c16,l2_sp,l2_sp_rc0p01,l2_sp,0p01,0.0,41,16,0,16,rate_uniform,normal,post_input_if,gaussian,1,67.110000,fashion_mnist-checkpoints/cnn2_c8_c16_L[16]_fashion_spectral_mne_cnn2_c8_c16_l2_sp_rc0p01_seed41_ep30_L16_trainT0.pth,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/important_results/fashion_l2family_newregs_full_c8c16_c16c32_ep30_4seed_mps/cnn2_c8_c16/l2_sp/rc0p01/seed_41/noise_sweep_matrix_fashion_mnist_cnn2_c8_c16_T16_mode_rate_uniform_schedule_normal_seed_41.csv
