depth,T,weights_sigma0,all_sigma0,delta_sigma0,weights_sigma1,all_sigma1,delta_sigma1,weights_drop,all_drop,delta_drop
120,2,10.74,12.26,1.5199999999999996,10.229999999999999,10.286666666666667,0.05666666666666842,0.5100000000000016,1.9733333333333327,1.4633333333333312
120,4,30.09,30.95,0.8599999999999994,14.493333333333332,12.746666666666668,-1.7466666666666644,15.596666666666668,18.203333333333333,2.6066666666666656
120,8,53.75,76.77,23.019999999999996,29.093333333333334,18.08,-11.013333333333335,24.656666666666666,58.69,34.03333333333333
120,16,80.5,82.79,2.2900000000000063,40.07,23.91,-16.16,40.43,58.88000000000001,18.45000000000001
160,2,9.51,10.73,1.2200000000000006,10.046666666666667,10.503333333333334,0.456666666666667,-0.5366666666666671,0.22666666666666657,0.7633333333333336
160,4,18.78,21.93,3.1499999999999986,14.46,13.54,-0.9200000000000017,4.32,8.39,4.07
160,8,70.66,74.27,3.6099999999999994,33.20666666666667,26.426666666666666,-6.780000000000005,37.453333333333326,47.843333333333334,10.390000000000008
160,16,78.76,80.92,2.1599999999999966,50.173333333333325,37.50666666666667,-12.666666666666657,28.58666666666668,43.413333333333334,14.826666666666654
200,2,10.0,10.7,0.6999999999999993,9.676666666666666,9.953333333333333,0.2766666666666673,0.32333333333333414,0.7466666666666661,0.423333333333332
200,4,24.75,24.63,-0.120000000000001,13.62,13.743333333333332,0.12333333333333307,11.13,10.886666666666667,-0.24333333333333407
200,8,73.64,70.47,-3.1700000000000017,23.97666666666667,27.263333333333332,3.2866666666666617,49.66333333333333,43.20666666666666,-6.4566666666666634
200,16,80.38,76.09,-4.289999999999992,34.86000000000001,31.126666666666665,-3.7333333333333414,45.51999999999999,44.96333333333334,-0.5566666666666507
