depth,n_lambda,method,T,sigma0_acc,sigma1_acc,sigma1_noise_repeat_std,drop_sigma0_to_1,lambda_mean,gamma_abs_mean,checkpoint
120,121,weights_only,2,10.74,10.229999999999999,0.15874507866387574,0.5100000000000016,7.993561744689941,1.001409649848938,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/important_results/fashion_residual_depth_l2_scope_to200_seed42/depth_120/weights_only/best_val.pt
120,121,weights_only,4,30.09,14.493333333333332,0.6182502190321757,15.596666666666668,7.993561744689941,1.001409649848938,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/important_results/fashion_residual_depth_l2_scope_to200_seed42/depth_120/weights_only/best_val.pt
120,121,weights_only,8,53.75,29.093333333333334,0.21733231083604035,24.656666666666666,7.993561744689941,1.001409649848938,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/important_results/fashion_residual_depth_l2_scope_to200_seed42/depth_120/weights_only/best_val.pt
120,121,weights_only,16,80.5,40.07,0.13114877048603937,40.43,7.993561744689941,1.001409649848938,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/important_results/fashion_residual_depth_l2_scope_to200_seed42/depth_120/weights_only/best_val.pt
120,121,all_parameters,2,12.26,10.286666666666667,0.4916638417997944,1.9733333333333327,6.895458221435547,0.8633354306221008,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/important_results/fashion_residual_depth_l2_scope_to200_seed42/depth_120/all_parameters/best_val.pt
120,121,all_parameters,4,30.95,12.746666666666668,0.06658328118479424,18.203333333333333,6.895458221435547,0.8633354306221008,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/important_results/fashion_residual_depth_l2_scope_to200_seed42/depth_120/all_parameters/best_val.pt
120,121,all_parameters,8,76.77,18.08,0.19672315572906018,58.69,6.895458221435547,0.8633354306221008,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/important_results/fashion_residual_depth_l2_scope_to200_seed42/depth_120/all_parameters/best_val.pt
120,121,all_parameters,16,82.79,23.91,0.3304542328371662,58.88000000000001,6.895458221435547,0.8633354306221008,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/important_results/fashion_residual_depth_l2_scope_to200_seed42/depth_120/all_parameters/best_val.pt
160,161,weights_only,2,9.51,10.046666666666667,0.43500957843860505,-0.5366666666666671,7.993227958679199,1.0023267269134521,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/important_results/fashion_residual_depth_l2_scope_to200_seed42/depth_160/weights_only/best_val.pt
160,161,weights_only,4,18.78,14.46,0.18520259177452186,4.32,7.993227958679199,1.0023267269134521,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/important_results/fashion_residual_depth_l2_scope_to200_seed42/depth_160/weights_only/best_val.pt
160,161,weights_only,8,70.66,33.20666666666667,0.34530180036213975,37.453333333333326,7.993227958679199,1.0023267269134521,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/important_results/fashion_residual_depth_l2_scope_to200_seed42/depth_160/weights_only/best_val.pt
160,161,weights_only,16,78.76,50.173333333333325,0.5350077881053074,28.58666666666668,7.993227958679199,1.0023267269134521,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/important_results/fashion_residual_depth_l2_scope_to200_seed42/depth_160/weights_only/best_val.pt
160,161,all_parameters,2,10.73,10.503333333333334,0.0960902353693302,0.22666666666666657,6.871806621551514,0.8603967428207397,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/important_results/fashion_residual_depth_l2_scope_to200_seed42/depth_160/all_parameters/best_val.pt
160,161,all_parameters,4,21.93,13.54,0.13453624047073695,8.39,6.871806621551514,0.8603967428207397,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/important_results/fashion_residual_depth_l2_scope_to200_seed42/depth_160/all_parameters/best_val.pt
160,161,all_parameters,8,74.27,26.426666666666666,0.4649014232429653,47.843333333333334,6.871806621551514,0.8603967428207397,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/important_results/fashion_residual_depth_l2_scope_to200_seed42/depth_160/all_parameters/best_val.pt
