method,checkpoint,parameter_type,layer,value
weights_only,best_val,lambda,input_if,7.516791820526123
weights_only,best_val,gamma_rms,bns.0,1.1871954202651978
weights_only,best_val,gamma_rms,bns.1,1.177619457244873
weights_only,best_val,gamma_rms,bns.2,1.2849977016448975
weights_only,best_val,gamma_rms,bns.3,1.1414276361465454
weights_only,best_val,gamma_rms,bns.4,1.0638201236724854
weights_only,best_val,gamma_rms,bns.5,1.1242115497589111
weights_only,best_val,gamma_rms,bns.6,1.0148677825927734
weights_only,best_val,gamma_rms,bns.7,1.093008279800415
weights_only,best_val,gamma_rms,bns.8,0.9921783208847046
weights_only,best_val,gamma_rms,bns.9,1.0741939544677734
weights_only,best_val,gamma_rms,bns.10,0.9824604988098145
weights_only,best_val,gamma_rms,bns.11,1.0854473114013672
weights_only,best_val,gamma_rms,bns.12,1.0058513879776
weights_only,best_val,gamma_rms,bns.13,1.0619839429855347
weights_only,best_val,gamma_rms,bns.14,0.9598626494407654
weights_only,best_val,gamma_rms,bns.15,1.057338833808899
weights_only,best_val,gamma_rms,bns.16,0.9752699136734009
weights_only,best_val,gamma_rms,bns.17,1.051604151725769
weights_only,best_val,gamma_rms,bns.18,0.9479410648345947
weights_only,best_val,gamma_rms,bns.19,1.5596309900283813
weights_only,best_val,lambda,ifs.0,7.8047966957092285
weights_only,best_val,lambda,ifs.1,7.784702301025391
weights_only,best_val,lambda,ifs.2,7.895387172698975
weights_only,best_val,lambda,ifs.3,7.8372321128845215
weights_only,best_val,lambda,ifs.4,7.906728744506836
weights_only,best_val,lambda,ifs.5,7.865232467651367
weights_only,best_val,lambda,ifs.6,7.924458980560303
weights_only,best_val,lambda,ifs.7,7.8989176750183105
weights_only,best_val,lambda,ifs.8,7.998929977416992
weights_only,best_val,lambda,ifs.9,7.9220781326293945
weights_only,best_val,lambda,ifs.10,8.007335662841797
weights_only,best_val,lambda,ifs.11,7.909671783447266
weights_only,best_val,lambda,ifs.12,8.001504898071289
weights_only,best_val,lambda,ifs.13,7.935883045196533
weights_only,best_val,lambda,ifs.14,7.981902599334717
weights_only,best_val,lambda,ifs.15,7.93989896774292
weights_only,best_val,lambda,ifs.16,7.9797139167785645
weights_only,best_val,lambda,ifs.17,7.946221828460693
weights_only,best_val,lambda,ifs.18,8.005646705627441
weights_only,best_val,lambda,ifs.19,7.871291637420654
weights_only,final,lambda,input_if,7.513733863830566
weights_only,final,gamma_rms,bns.0,1.1878665685653687
weights_only,final,gamma_rms,bns.1,1.1785447597503662
weights_only,final,gamma_rms,bns.2,1.285895824432373
weights_only,final,gamma_rms,bns.3,1.142042875289917
weights_only,final,gamma_rms,bns.4,1.0640610456466675
weights_only,final,gamma_rms,bns.5,1.1248377561569214
weights_only,final,gamma_rms,bns.6,1.0150487422943115
weights_only,final,gamma_rms,bns.7,1.0935221910476685
