method,epoch,lr,train_ce,train_objective,train_online_acc,val_ce,val_acc,n_lambda,lambda_mean,lambda_min,lambda_max,gamma_abs_mean,gamma_rms,gamma_abs_median
weights_only,1,0.01,0.8273691930770875,0.9065296441078186,70.404,0.5591946020126343,79.45,21,7.993976593017578,7.984146595001221,8.002205848693848,1.015064001083374,1.016599416732788,1.0027118921279907
weights_only,2,0.009972609476841367,0.5118179640388488,0.5906425899887084,81.02,0.4859434016227722,81.78,21,7.987569808959961,7.956575393676758,8.002123832702637,1.0222547054290771,1.0248262882232666,1.0088783502578735
weights_only,3,0.009890738003669028,0.45339650608539583,0.5314128178977966,83.406,0.4428641912460327,83.74,21,7.981485843658447,7.928951263427734,8.002992630004883,1.028105616569519,1.0314555168151855,1.013486623764038
weights_only,4,0.009755282581475769,0.4193496029472351,0.4964554425239563,84.418,0.4138894872665405,84.67,21,7.975046634674072,7.898031234741211,8.001555442810059,1.033401608467102,1.037388801574707,1.0146523714065552
weights_only,5,0.009567727288213004,0.3973988147830963,0.4735644076538086,85.456,0.4142612921714783,84.79,21,7.969049453735352,7.866491794586182,7.999486446380615,1.0382373332977295,1.042919397354126,1.0226808786392212
weights_only,6,0.009330127018922194,0.3861779002571106,0.4614228869056702,85.956,0.411511657333374,84.74,21,7.963234901428223,7.837268829345703,8.00234317779541,1.042797327041626,1.047959566116333,1.0225882530212402
weights_only,7,0.009045084971874737,0.3706419297218323,0.44498504727363586,86.476,0.3788072984695435,86.26,21,7.958256244659424,7.8092732429504395,8.002890586853027,1.0463098287582397,1.0520172119140625,1.0259573459625244
weights_only,8,0.00871572412738697,0.3601968786811829,0.4336613437080383,86.88,0.38013387422561645,86.3,21,7.953017234802246,7.781853675842285,8.00389575958252,1.0501575469970703,1.0563886165618896,1.0307501554489136
weights_only,9,0.008345653031794291,0.35169371755599976,0.42429486989974974,87.074,0.36603167839050293,86.66,21,7.948025703430176,7.755755424499512,8.005475997924805,1.0537487268447876,1.060415267944336,1.0316318273544312
weights_only,10,0.007938926261462365,0.3426969892978668,0.41449059536933897,87.324,0.36994466276168825,86.62,21,7.943459510803223,7.731163501739502,8.007152557373047,1.0572079420089722,1.0643366575241089,1.0348912477493286
weights_only,11,0.007499999999999999,0.3382363978767395,0.40928625385284423,87.53,0.3590226805686951,86.96,21,7.938733100891113,7.706775188446045,8.00741195678711,1.0607655048370361,1.0683574676513672,1.0356128215789795
weights_only,12,0.007033683215379001,0.3301118845272064,0.40046182371139527,87.862,0.36145327825546264,86.6,21,7.934107303619385,7.682322025299072,8.006543159484863,1.06402587890625,1.0720261335372925,1.038703203201294
weights_only,13,0.0065450849718747366,0.32331954553604125,0.39298839349746706,88.04,0.35820325660705565,87.22,21,7.929780006408691,7.662057876586914,8.006450653076172,1.0674492120742798,1.0758715867996216,1.0403656959533691
weights_only,14,0.006039558454088796,0.3177377361869812,0.38678477732658384,88.36,0.3529545916557312,87.2,21,7.925731658935547,7.640813827514648,8.007383346557617,1.0706433057785034,1.0794330835342407,1.0435123443603516
weights_only,15,0.0055226423163382676,0.31187443481445315,0.38035335077285765,88.514,0.3612689932823181,86.79,21,7.921898365020752,7.620607852935791,8.006988525390625,1.0736851692199707,1.0827974081039429,1.0452759265899658
weights_only,16,0.005000000000000001,0.31043734966278075,0.37838225812911985,88.674,0.3510940489768982,87.14,21,7.918634414672852,7.603440761566162,8.008959770202637,1.076078176498413,1.0854778289794922,1.0465277433395386
weights_only,17,0.0044773576836617335,0.3041646472072601,0.37164532610893247,88.9,0.35052027292251586,87.32,21,7.915671348571777,7.5877685546875,8.007401466369629,1.0783920288085938,1.088062047958374,1.0490992069244385
weights_only,18,0.003960441545911203,0.30110703530311583,0.3681584052371979,88.998,0.35347068815231325,87.27,21,7.912782192230225,7.57329797744751,8.005732536315918,1.0805946588516235,1.0905370712280273,1.0495725870132446
weights_only,19,0.003454915028125263,0.29994142107009886,0.366609441242218,88.99,0.3432163885116577,87.72,21,7.910361289978027,7.560871124267578,8.006423950195312,1.0824075937271118,1.092571496963501,1.0506489276885986
weights_only,20,0.0029663167846209998,0.29480982726097105,0.36114492752075195,89.138,0.3438246954917908,87.67,21,7.908300399780273,7.550093173980713,8.007124900817871,1.0840049982070923,1.094351887702942,1.0523544549942017
weights_only,21,0.002500000000000001,0.2906880088043213,0.3567399316215515,89.332,0.34831876583099364,87.54,21,7.906516075134277,7.541112899780273,8.006836891174316,1.0854486227035522,1.0960015058517456,1.0537430047988892
weights_only,22,0.0020610737385376348,0.28816424993515016,0.35397946756362914,89.192,0.34349758186340335,87.66,21,7.9050469398498535,7.533652305603027,8.00739860534668,1.0866639614105225,1.0973609685897827,1.0530064105987549
weights_only,23,0.0016543469682057104,0.289391394443512,0.3550102482414246,89.406,0.3450253894805908,88.04,21,7.903818130493164,7.5274529457092285,8.007633209228516,1.0876333713531494,1.0984303951263428,1.0530754327774048
weights_only,24,0.0012842758726130299,0.28669292214393616,0.35215442459106444,89.464,0.33327948760986326,88.02,21,7.902808666229248,7.522772312164307,8.007608413696289,1.0884565114974976,1.099339246749878,1.0535317659378052
weights_only,25,0.0009549150281252634,0.2825519779872894,0.34789085134506226,89.636,0.3440497765541077,87.78,21,7.902120113372803,7.519298553466797,8.007367134094238,1.0890324115753174,1.0999795198440552,1.0527637004852295
weights_only,26,0.0006698729810778065,0.2810766475009918,0.34632819230079653,89.694,0.3399906808853149,88.1,21,7.901634693145752,7.516791820526123,8.007335662841797,1.089429497718811,1.10043466091156,1.053321361541748
weights_only,27,0.00043227271178699516,0.27907485065937043,0.34426739351272584,89.774,0.33789194316864013,87.78,21,7.901348114013672,7.515130043029785,8.007500648498535,1.0896704196929932,1.1007111072540283,1.0535898208618164
weights_only,28,0.00024471741852423234,0.28064855491638185,0.34580458778381346,89.778,0.3388482082366943,87.78,21,7.901169776916504,7.514226913452148,8.007589340209961,1.0898181200027466,1.1008803844451904,1.0536671876907349
weights_only,29,0.00010926199633097157,0.27804866577148435,0.3431852645111084,89.706,0.33946884317398074,87.9,21,7.901091575622559,7.513827323913574,8.007584571838379,1.0898808240890503,1.100953221321106,1.0537649393081665
weights_only,30,2.7390523158632995e-05,0.27836101934432983,0.34349022354125974,89.756,0.34017650117874143,87.73,21,7.901081085205078,7.513733863830566,8.007584571838379,1.0898983478546143,1.100973129272461,1.0537445545196533
all_parameters,1,0.01,0.8291292710208893,1.2818765022277832,70.038,0.5546921243667603,79.28,21,7.919334888458252,7.908167839050293,7.932985305786133,1.0061159133911133,1.0076912641525269,0.994438886642456
all_parameters,2,0.009972609476841367,0.5041426442337036,0.9498158074188232,81.492,0.47434847316741946,82.8,21,7.835923194885254,7.805087566375732,7.853405475616455,1.0037412643432617,1.0063629150390625,0.9877375364303589
all_parameters,3,0.009890738003669028,0.451273518447876,0.889171565322876,83.418,0.43277006912231447,84.37,21,7.753640174865723,7.699940204620361,7.775695323944092,0.9999748468399048,1.0032804012298584,0.9851308465003967
all_parameters,4,0.009755282581475769,0.41603398696899413,0.8461683659362793,84.824,0.4175574661254883,84.63,21,7.673475742340088,7.599050045013428,7.70138692855835,0.9959556460380554,0.9998940229415894,0.9773372411727905
all_parameters,5,0.009567727288213004,0.3962336080741882,0.8187994542884827,85.578,0.3900040058135986,85.63,21,7.595865726470947,7.496402263641357,7.628651142120361,0.9915730357170105,0.9961417317390442,0.967629611492157
all_parameters,6,0.009330127018922194,0.3808930022239685,0.7961762769889832,86.124,0.4399530460357666,83.38,21,7.520279884338379,7.398637771606445,7.560446262359619,0.9877750277519226,0.9929304718971252,0.9625594615936279
all_parameters,7,0.009045084971874737,0.370398891916275,0.7786913062286377,86.386,0.380953579044342,86.15,21,7.447970390319824,7.3009033203125,7.499673366546631,0.9834514856338501,0.9891999959945679,0.9602887034416199
all_parameters,8,0.00871572412738697,0.35799601278305054,0.759639513092041,86.876,0.3710973320007324,86.59,21,7.378818511962891,7.209031581878662,7.436842441558838,0.9796773195266724,0.9859904050827026,0.9556958675384521
all_parameters,9,0.008345653031794291,0.34741889556884764,0.7427804524612427,87.194,0.36146367483139036,86.6,21,7.313601016998291,7.119998455047607,7.37815523147583,0.975520133972168,0.9824438095092773,0.947943925857544
all_parameters,10,0.007938926261462365,0.3403118621635437,0.7297343709564209,87.44,0.36056365308761595,86.72,21,7.251636505126953,7.037512302398682,7.325999736785889,0.972144603729248,0.9795688986778259,0.9414616227149963
all_parameters,11,0.007499999999999999,0.33456644894599913,0.7184322550201416,87.692,0.3531660982131958,86.93,21,7.193583011627197,6.958962917327881,7.274252414703369,0.9686733484268188,0.9765649437904358,0.9388956427574158
all_parameters,12,0.007033683215379001,0.32733827575683594,0.7060347045135498,88.076,0.35572571849823,87.33,21,7.139551639556885,6.885072708129883,7.226366996765137,0.965613067150116,0.9740079045295715,0.9349809288978577
all_parameters,13,0.0065450849718747366,0.32487065984725955,0.6988331025314332,87.998,0.3492423263549805,87.36,21,7.08914852142334,6.815814018249512,7.179280757904053,0.9630306363105774,0.9717601537704468,0.9316645860671997
all_parameters,14,0.006039558454088796,0.3175571980953217,0.6871619723510742,88.492,0.34811493968963625,87.63,21,7.04296875,6.752154350280762,7.1358160972595215,0.960908055305481,0.9700629115104675,0.9263249039649963
all_parameters,15,0.0055226423163382676,0.30957873390197754,0.6752243523788453,88.638,0.3484952320098877,87.49,21,7.001229286193848,6.694903373718262,7.097161769866943,0.9585922360420227,0.9681810140609741,0.9222069382667542
all_parameters,16,0.005000000000000001,0.30712208282470704,0.6692032867431641,88.714,0.35344619178771974,87.05,21,6.963388442993164,6.643536567687988,7.063077449798584,0.9567965269088745,0.9667543768882751,0.918415904045105
all_parameters,17,0.0044773576836617335,0.3033331573009491,0.6622218264770507,88.95,0.3465799110412598,87.61,21,6.929520606994629,6.5976996421813965,7.03086519241333,0.9552604556083679,0.9655529856681824,0.9168435335159302
all_parameters,18,0.003960441545911203,0.29946034656524656,0.6555310028648377,89.038,0.34031903839111327,87.44,21,6.8998799324035645,6.557138442993164,7.002283096313477,0.9537971615791321,0.9643867015838623,0.9160459637641907
all_parameters,19,0.003454915028125263,0.2960998570537567,0.6497160641479492,89.342,0.33490449008941653,87.83,21,6.87387752532959,6.5219407081604,6.978123188018799,0.9528096914291382,0.9636884927749634,0.9150305986404419
all_parameters,20,0.0029663167846209998,0.2959443020439148,0.6474446073532104,89.074,0.3321572792053223,88.35,21,6.851695537567139,6.491582870483398,6.956979274749756,0.9517354965209961,0.9628317356109619,0.9143561124801636
all_parameters,21,0.002500000000000001,0.29265913110733033,0.6423418790435791,89.326,0.3332923559188843,88.02,21,6.833162784576416,6.465328216552734,6.939234733581543,0.9507562518119812,0.9620859622955322,0.9132034182548523
all_parameters,22,0.0020610737385376348,0.2877165546607971,0.6359086374282837,89.464,0.33660374183654784,87.96,21,6.817831039428711,6.44348669052124,6.924380302429199,0.9500895738601685,0.961592972278595,0.9112076163291931
