model,method,method_label,regularizer,reg_coeff,sigma,n,acc_mean,acc_std
cnn2,old_detach,old_mne_detach_lambda,mne_l2,0p0001,0,2,81.905000,0.049497
cnn2,old_detach,old_mne_detach_lambda,mne_l2,0p0001,1,2,62.470000,1.301076
cnn2,spectral_mne,spectral_mne_detach_lambda,spectral_mne,1em05,0,2,82.090000,0.749533
cnn2,spectral_mne,spectral_mne_detach_lambda,spectral_mne,1em05,1,2,60.710000,6.180113
cnn2,spectral_mne,spectral_mne_detach_lambda,spectral_mne,1em06,0,2,82.315000,0.657609
cnn2,spectral_mne,spectral_mne_detach_lambda,spectral_mne,1em06,1,2,59.090000,7.410479
cnn2_c4_c8,old_detach,old_mne_detach_lambda,mne_l2,0p0001,0,2,84.785000,0.205061
cnn2_c4_c8,old_detach,old_mne_detach_lambda,mne_l2,0p0001,1,2,64.235000,3.005204
cnn2_c4_c8,spectral_mne,spectral_mne_detach_lambda,spectral_mne,1em05,0,2,84.545000,0.572756
cnn2_c4_c8,spectral_mne,spectral_mne_detach_lambda,spectral_mne,1em05,1,2,64.180000,2.432447
cnn2_c4_c8,spectral_mne,spectral_mne_detach_lambda,spectral_mne,1em06,0,2,84.510000,0.212132
cnn2_c4_c8,spectral_mne,spectral_mne_detach_lambda,spectral_mne,1em06,1,2,64.135000,3.160767
fc3_h256,old_detach,old_mne_detach_lambda,mne_l2,0p0001,0,2,84.570000,0.353553
fc3_h256,old_detach,old_mne_detach_lambda,mne_l2,0p0001,1,2,82.395000,0.417193
fc3_h256,spectral_mne,spectral_mne_detach_lambda,spectral_mne,1em05,0,2,84.545000,0.205061
fc3_h256,spectral_mne,spectral_mne_detach_lambda,spectral_mne,1em05,1,2,82.410000,0.721249
fc3_h256,spectral_mne,spectral_mne_detach_lambda,spectral_mne,1em06,0,2,84.455000,0.346482
fc3_h256,spectral_mne,spectral_mne_detach_lambda,spectral_mne,1em06,1,2,82.315000,0.742462
fc3_h8,old_detach,old_mne_detach_lambda,mne_l2,0p0001,0,2,78.020000,1.484924
fc3_h8,old_detach,old_mne_detach_lambda,mne_l2,0p0001,1,2,75.380000,1.824335
fc3_h8,spectral_mne,spectral_mne_detach_lambda,spectral_mne,1em05,0,2,77.325000,2.015254
fc3_h8,spectral_mne,spectral_mne_detach_lambda,spectral_mne,1em05,1,2,74.610000,2.375879
fc3_h8,spectral_mne,spectral_mne_detach_lambda,spectral_mne,1em06,0,2,78.245000,1.138442
fc3_h8,spectral_mne,spectral_mne_detach_lambda,spectral_mne,1em06,1,2,75.735000,1.562706
