site,method,method_label,sigma,n,acc_mean,acc_std
post_input_if,manual_l2_all,Manual L2 (all params),0,1,88.290000,0.000000
post_input_if,manual_l2_all,Manual L2 (all params),0.25,1,79.380000,0.000000
post_input_if,manual_l2_all,Manual L2 (all params),0.5,1,62.936667,0.000000
post_input_if,manual_l2_all,Manual L2 (all params),0.75,1,48.123333,0.000000
post_input_if,manual_l2_all,Manual L2 (all params),1,1,37.030000,0.000000
post_input_if,wd_weight_only,WD (weights only),0,1,87.490000,0.000000
post_input_if,wd_weight_only,WD (weights only),0.25,1,83.186667,0.000000
post_input_if,wd_weight_only,WD (weights only),0.5,1,74.040000,0.000000
post_input_if,wd_weight_only,WD (weights only),0.75,1,60.813333,0.000000
post_input_if,wd_weight_only,WD (weights only),1,1,48.523333,0.000000
