dataset,variant,variant_label,regularizer,reg_coeff,sigma,n,acc_mean,acc_std
imagenet,weight_decay,L2-all (all params),weight_decay,none,0,1,64.454000,0.000000
imagenet,weight_decay,L2-all (all params),weight_decay,none,0.25,1,8.796000,0.000000
imagenet,weight_decay,L2-all (all params),weight_decay,none,0.5,1,0.142000,0.000000
imagenet,weight_decay,L2-all (all params),weight_decay,none,0.75,1,0.100000,0.000000
imagenet,weight_decay,L2-all (all params),weight_decay,none,1,1,0.100000,0.000000
imagenet,weight_decay,L2-all (all params),weight_decay,none,1.25,1,0.100000,0.000000
imagenet,weight_decay,L2-all (all params),weight_decay,none,1.5,1,0.100000,0.000000
imagenet,weight_decay,L2-all (all params),weight_decay,none,1.75,1,0.100000,0.000000
imagenet,weight_decay,L2-all (all params),weight_decay,none,2,1,0.100000,0.000000
imagenet,weight_decay,L2-all (all params),weight_decay,none,2.25,1,0.100000,0.000000
imagenet,weight_decay,L2-all (all params),weight_decay,none,2.5,1,0.100000,0.000000
imagenet,weight_decay,L2-all (all params),weight_decay,none,2.75,1,0.100000,0.000000
imagenet,weight_decay,L2-all (all params),weight_decay,none,3,1,0.100000,0.000000
imagenet,weight_decay,L2-all (all params),weight_decay,none,3.25,1,0.100000,0.000000
imagenet,weight_decay,L2-all (all params),weight_decay,none,3.5,1,0.100000,0.000000
imagenet,weight_decay,L2-all (all params),weight_decay,none,3.75,1,0.100000,0.000000
imagenet,weight_decay,L2-all (all params),weight_decay,none,4,1,0.100000,0.000000
imagenet,weight_decay,L2-all (all params),weight_decay,none,4.25,1,0.100000,0.000000
imagenet,weight_decay,L2-all (all params),weight_decay,none,4.5,1,0.100000,0.000000
imagenet,weight_decay,L2-all (all params),weight_decay,none,4.75,1,0.100000,0.000000
imagenet,weight_decay,L2-all (all params),weight_decay,none,5,1,0.100000,0.000000
imagenet,weight_decay_weights_only,L2-wo (weights only),weight_decay_weights_only,none,0,1,51.454000,0.000000
imagenet,weight_decay_weights_only,L2-wo (weights only),weight_decay_weights_only,none,0.25,1,42.188000,0.000000
imagenet,weight_decay_weights_only,L2-wo (weights only),weight_decay_weights_only,none,0.5,1,31.690000,0.000000
imagenet,weight_decay_weights_only,L2-wo (weights only),weight_decay_weights_only,none,0.75,1,20.586000,0.000000
imagenet,weight_decay_weights_only,L2-wo (weights only),weight_decay_weights_only,none,1,1,11.076000,0.000000
imagenet,weight_decay_weights_only,L2-wo (weights only),weight_decay_weights_only,none,1.25,1,4.952000,0.000000
imagenet,weight_decay_weights_only,L2-wo (weights only),weight_decay_weights_only,none,1.5,1,1.966000,0.000000
imagenet,weight_decay_weights_only,L2-wo (weights only),weight_decay_weights_only,none,1.75,1,0.770000,0.000000
imagenet,weight_decay_weights_only,L2-wo (weights only),weight_decay_weights_only,none,2,1,0.328000,0.000000
imagenet,weight_decay_weights_only,L2-wo (weights only),weight_decay_weights_only,none,2.25,1,0.228000,0.000000
imagenet,weight_decay_weights_only,L2-wo (weights only),weight_decay_weights_only,none,2.5,1,0.180000,0.000000
imagenet,weight_decay_weights_only,L2-wo (weights only),weight_decay_weights_only,none,2.75,1,0.134000,0.000000
imagenet,weight_decay_weights_only,L2-wo (weights only),weight_decay_weights_only,none,3,1,0.106000,0.000000
