dataset,model,method,method_label,seed,L,T,site,sigma,noise_repeat,noise_seed,accuracy,checkpoint
fashion_mnist,cnn2,no_reg_current,No Reg,42,16,16,post_input_if,0,0,20302801,82.070000,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/QCFS_simulation/fashion_mnist-checkpoints/cnn2_L[16]_fashion_spectral_mne_cnn2_no_reg_current_rcnone_seed42_ep30_L16_trainT0.pth
fashion_mnist,cnn2,no_reg_current,No Reg,42,16,16,post_input_if,0.25,0,20302901,79.840000,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/QCFS_simulation/fashion_mnist-checkpoints/cnn2_L[16]_fashion_spectral_mne_cnn2_no_reg_current_rcnone_seed42_ep30_L16_trainT0.pth
fashion_mnist,cnn2,no_reg_current,No Reg,42,16,16,post_input_if,0.25,1,20302902,79.210000,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/QCFS_simulation/fashion_mnist-checkpoints/cnn2_L[16]_fashion_spectral_mne_cnn2_no_reg_current_rcnone_seed42_ep30_L16_trainT0.pth
fashion_mnist,cnn2,no_reg_current,No Reg,42,16,16,post_input_if,0.25,2,20302903,79.530000,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/QCFS_simulation/fashion_mnist-checkpoints/cnn2_L[16]_fashion_spectral_mne_cnn2_no_reg_current_rcnone_seed42_ep30_L16_trainT0.pth
fashion_mnist,cnn2,no_reg_current,No Reg,42,16,16,post_input_if,0.5,0,20303001,64.410000,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/QCFS_simulation/fashion_mnist-checkpoints/cnn2_L[16]_fashion_spectral_mne_cnn2_no_reg_current_rcnone_seed42_ep30_L16_trainT0.pth
fashion_mnist,cnn2,no_reg_current,No Reg,42,16,16,post_input_if,0.5,1,20303002,63.910000,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/QCFS_simulation/fashion_mnist-checkpoints/cnn2_L[16]_fashion_spectral_mne_cnn2_no_reg_current_rcnone_seed42_ep30_L16_trainT0.pth
fashion_mnist,cnn2,no_reg_current,No Reg,42,16,16,post_input_if,0.5,2,20303003,64.420000,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/QCFS_simulation/fashion_mnist-checkpoints/cnn2_L[16]_fashion_spectral_mne_cnn2_no_reg_current_rcnone_seed42_ep30_L16_trainT0.pth
fashion_mnist,cnn2,no_reg_current,No Reg,42,16,16,post_input_if,1,0,20303101,45.480000,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/QCFS_simulation/fashion_mnist-checkpoints/cnn2_L[16]_fashion_spectral_mne_cnn2_no_reg_current_rcnone_seed42_ep30_L16_trainT0.pth
fashion_mnist,cnn2,no_reg_current,No Reg,42,16,16,post_input_if,1,1,20303102,45.150000,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/QCFS_simulation/fashion_mnist-checkpoints/cnn2_L[16]_fashion_spectral_mne_cnn2_no_reg_current_rcnone_seed42_ep30_L16_trainT0.pth
fashion_mnist,cnn2,no_reg_current,No Reg,42,16,16,post_input_if,1,2,20303103,46.110000,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/QCFS_simulation/fashion_mnist-checkpoints/cnn2_L[16]_fashion_spectral_mne_cnn2_no_reg_current_rcnone_seed42_ep30_L16_trainT0.pth
