dataset,model,method,method_label,seed,L,T,site,sigma,noise_repeat,noise_seed,accuracy,checkpoint
mnist,cnn2,old_detach,MNE-L2,40,16,4,both,0,0,20300801,95.950000,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/QCFS_simulation/mnist-checkpoints/cnn2_L[16]_mnist_spectral_mne_cnn2_old_detach_rc0p0001_seed40_ep30_L16_trainT0.pth
mnist,cnn2,old_detach,MNE-L2,40,16,4,both,0.25,0,20300901,93.640000,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/QCFS_simulation/mnist-checkpoints/cnn2_L[16]_mnist_spectral_mne_cnn2_old_detach_rc0p0001_seed40_ep30_L16_trainT0.pth
mnist,cnn2,old_detach,MNE-L2,40,16,4,both,0.25,1,20300902,93.940000,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/QCFS_simulation/mnist-checkpoints/cnn2_L[16]_mnist_spectral_mne_cnn2_old_detach_rc0p0001_seed40_ep30_L16_trainT0.pth
mnist,cnn2,old_detach,MNE-L2,40,16,4,both,0.25,2,20300903,93.910000,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/QCFS_simulation/mnist-checkpoints/cnn2_L[16]_mnist_spectral_mne_cnn2_old_detach_rc0p0001_seed40_ep30_L16_trainT0.pth
mnist,cnn2,old_detach,MNE-L2,40,16,4,both,0.5,0,20301001,77.110000,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/QCFS_simulation/mnist-checkpoints/cnn2_L[16]_mnist_spectral_mne_cnn2_old_detach_rc0p0001_seed40_ep30_L16_trainT0.pth
mnist,cnn2,old_detach,MNE-L2,40,16,4,both,0.5,1,20301002,76.720000,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/QCFS_simulation/mnist-checkpoints/cnn2_L[16]_mnist_spectral_mne_cnn2_old_detach_rc0p0001_seed40_ep30_L16_trainT0.pth
mnist,cnn2,old_detach,MNE-L2,40,16,4,both,0.5,2,20301003,76.550000,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/QCFS_simulation/mnist-checkpoints/cnn2_L[16]_mnist_spectral_mne_cnn2_old_detach_rc0p0001_seed40_ep30_L16_trainT0.pth
mnist,cnn2,no_reg,No Reg,40,16,4,both,0,0,20300801,96.220000,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/QCFS_simulation/mnist-checkpoints/cnn2_L[16]_mnist_spectral_mne_cnn2_no_reg_rcnone_seed40_ep30_L16_trainT0.pth
mnist,cnn2,no_reg,No Reg,40,16,4,both,0.25,0,20300901,93.360000,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/QCFS_simulation/mnist-checkpoints/cnn2_L[16]_mnist_spectral_mne_cnn2_no_reg_rcnone_seed40_ep30_L16_trainT0.pth
mnist,cnn2,no_reg,No Reg,40,16,4,both,0.25,1,20300902,93.420000,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/QCFS_simulation/mnist-checkpoints/cnn2_L[16]_mnist_spectral_mne_cnn2_no_reg_rcnone_seed40_ep30_L16_trainT0.pth
mnist,cnn2,no_reg,No Reg,40,16,4,both,0.25,2,20300903,93.600000,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/QCFS_simulation/mnist-checkpoints/cnn2_L[16]_mnist_spectral_mne_cnn2_no_reg_rcnone_seed40_ep30_L16_trainT0.pth
mnist,cnn2,no_reg,No Reg,40,16,4,both,0.5,0,20301001,76.390000,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/QCFS_simulation/mnist-checkpoints/cnn2_L[16]_mnist_spectral_mne_cnn2_no_reg_rcnone_seed40_ep30_L16_trainT0.pth
mnist,cnn2,no_reg,No Reg,40,16,4,both,0.5,1,20301002,76.780000,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/QCFS_simulation/mnist-checkpoints/cnn2_L[16]_mnist_spectral_mne_cnn2_no_reg_rcnone_seed40_ep30_L16_trainT0.pth
mnist,cnn2,no_reg,No Reg,40,16,4,both,0.5,2,20301003,76.690000,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/QCFS_simulation/mnist-checkpoints/cnn2_L[16]_mnist_spectral_mne_cnn2_no_reg_rcnone_seed40_ep30_L16_trainT0.pth
mnist,cnn2,l2,L2,40,16,4,both,0,0,20300801,94.110000,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/QCFS_simulation/mnist-checkpoints/cnn2_L[16]_mnist_spectral_mne_cnn2_l2_rcnone_seed40_ep30_L16_trainT0.pth
mnist,cnn2,l2,L2,40,16,4,both,0.25,0,20300901,58.190000,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/QCFS_simulation/mnist-checkpoints/cnn2_L[16]_mnist_spectral_mne_cnn2_l2_rcnone_seed40_ep30_L16_trainT0.pth
mnist,cnn2,l2,L2,40,16,4,both,0.25,1,20300902,58.220000,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/QCFS_simulation/mnist-checkpoints/cnn2_L[16]_mnist_spectral_mne_cnn2_l2_rcnone_seed40_ep30_L16_trainT0.pth
mnist,cnn2,l2,L2,40,16,4,both,0.25,2,20300903,58.550000,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/QCFS_simulation/mnist-checkpoints/cnn2_L[16]_mnist_spectral_mne_cnn2_l2_rcnone_seed40_ep30_L16_trainT0.pth
mnist,cnn2,l2,L2,40,16,4,both,0.5,0,20301001,29.500000,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/QCFS_simulation/mnist-checkpoints/cnn2_L[16]_mnist_spectral_mne_cnn2_l2_rcnone_seed40_ep30_L16_trainT0.pth
mnist,cnn2,l2,L2,40,16,4,both,0.5,1,20301002,29.970000,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/QCFS_simulation/mnist-checkpoints/cnn2_L[16]_mnist_spectral_mne_cnn2_l2_rcnone_seed40_ep30_L16_trainT0.pth
mnist,cnn2,l2,L2,40,16,4,both,0.5,2,20301003,30.260000,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/QCFS_simulation/mnist-checkpoints/cnn2_L[16]_mnist_spectral_mne_cnn2_l2_rcnone_seed40_ep30_L16_trainT0.pth
mnist,cnn2,orthogonal,Orthogonal,40,16,4,both,0,0,20300801,96.250000,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/QCFS_simulation/mnist-checkpoints/cnn2_L[16]_mnist_spectral_mne_cnn2_orthogonal_rc0p0001_seed40_ep30_L16_trainT0.pth
