model,method,method_label,seed,L,T,site,sigma,noise_seed,accuracy,checkpoint
cnn2_c8_c16,old_detach,MNE-L2,40,16,16,both,0,20300801,87.460000,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/QCFS_simulation/fashion_mnist-checkpoints/cnn2_c8_c16_L[16]_fashion_spectral_mne_cnn2_c8_c16_old_detach_rc0p0001_seed40_ep30_L16_trainT0.pth
cnn2_c8_c16,old_detach,MNE-L2,40,16,16,both,0.5,20300802,78.340000,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/QCFS_simulation/fashion_mnist-checkpoints/cnn2_c8_c16_L[16]_fashion_spectral_mne_cnn2_c8_c16_old_detach_rc0p0001_seed40_ep30_L16_trainT0.pth
cnn2_c8_c16,old_detach,MNE-L2,40,16,16,both,1,20300803,46.130000,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/QCFS_simulation/fashion_mnist-checkpoints/cnn2_c8_c16_L[16]_fashion_spectral_mne_cnn2_c8_c16_old_detach_rc0p0001_seed40_ep30_L16_trainT0.pth
cnn2_c8_c16,l2_sp,L2-SP,40,16,16,both,0,20300801,87.110000,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/QCFS_simulation/fashion_mnist-checkpoints/cnn2_c8_c16_L[16]_fashion_spectral_mne_cnn2_c8_c16_l2_sp_rc0p01_seed40_ep30_L16_trainT0.pth
cnn2_c8_c16,l2_sp,L2-SP,40,16,16,both,0.5,20300802,79.940000,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/QCFS_simulation/fashion_mnist-checkpoints/cnn2_c8_c16_L[16]_fashion_spectral_mne_cnn2_c8_c16_l2_sp_rc0p01_seed40_ep30_L16_trainT0.pth
cnn2_c8_c16,l2_sp,L2-SP,40,16,16,both,1,20300803,48.780000,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/QCFS_simulation/fashion_mnist-checkpoints/cnn2_c8_c16_L[16]_fashion_spectral_mne_cnn2_c8_c16_l2_sp_rc0p01_seed40_ep30_L16_trainT0.pth
cnn2_c8_c16,l2,L2,40,16,16,both,0,20300801,88.210000,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/QCFS_simulation/fashion_mnist-checkpoints/cnn2_c8_c16_L[16]_fashion_spectral_mne_cnn2_c8_c16_l2_rcnone_seed40_ep30_L16_trainT0.pth
cnn2_c8_c16,l2,L2,40,16,16,both,0.5,20300802,68.630000,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/QCFS_simulation/fashion_mnist-checkpoints/cnn2_c8_c16_L[16]_fashion_spectral_mne_cnn2_c8_c16_l2_rcnone_seed40_ep30_L16_trainT0.pth
cnn2_c8_c16,l2,L2,40,16,16,both,1,20300803,27.490000,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/QCFS_simulation/fashion_mnist-checkpoints/cnn2_c8_c16_L[16]_fashion_spectral_mne_cnn2_c8_c16_l2_rcnone_seed40_ep30_L16_trainT0.pth
cnn2_c8_c16,orthogonal,Orthogonal,40,16,16,both,0,20300801,87.740000,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/QCFS_simulation/fashion_mnist-checkpoints/cnn2_c8_c16_L[16]_fashion_spectral_mne_cnn2_c8_c16_orthogonal_rc0p0001_seed40_ep30_L16_trainT0.pth
