model,method,method_label,seed,L,T,site,sigma,noise_repeat,noise_seed,accuracy,checkpoint
cnn2,old_detach,MNE-L2,40,16,16,both,0,0,20300801,83.370000,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/QCFS_simulation/fashion_mnist-checkpoints/cnn2_L[16]_fashion_spectral_mne_cnn2_old_detach_rc0p0001_seed40_ep30_L16_trainT0.pth
cnn2,old_detach,MNE-L2,40,16,16,both,0.5,0,20300901,52.020000,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/QCFS_simulation/fashion_mnist-checkpoints/cnn2_L[16]_fashion_spectral_mne_cnn2_old_detach_rc0p0001_seed40_ep30_L16_trainT0.pth
cnn2,old_detach,MNE-L2,40,16,16,both,0.5,1,20300902,51.780000,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/QCFS_simulation/fashion_mnist-checkpoints/cnn2_L[16]_fashion_spectral_mne_cnn2_old_detach_rc0p0001_seed40_ep30_L16_trainT0.pth
cnn2,old_detach,MNE-L2,40,16,16,both,0.5,2,20300903,52.480000,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/QCFS_simulation/fashion_mnist-checkpoints/cnn2_L[16]_fashion_spectral_mne_cnn2_old_detach_rc0p0001_seed40_ep30_L16_trainT0.pth
cnn2,old_detach,MNE-L2,40,16,16,both,1,0,20301001,15.870000,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/QCFS_simulation/fashion_mnist-checkpoints/cnn2_L[16]_fashion_spectral_mne_cnn2_old_detach_rc0p0001_seed40_ep30_L16_trainT0.pth
cnn2,old_detach,MNE-L2,40,16,16,both,1,1,20301002,16.490000,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/QCFS_simulation/fashion_mnist-checkpoints/cnn2_L[16]_fashion_spectral_mne_cnn2_old_detach_rc0p0001_seed40_ep30_L16_trainT0.pth
cnn2,old_detach,MNE-L2,40,16,16,both,1,2,20301003,15.860000,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/QCFS_simulation/fashion_mnist-checkpoints/cnn2_L[16]_fashion_spectral_mne_cnn2_old_detach_rc0p0001_seed40_ep30_L16_trainT0.pth
cnn2,no_reg,No Reg,40,16,16,both,0,0,20300801,83.450000,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/QCFS_simulation/fashion_mnist-checkpoints/cnn2_L[16]_fashion_spectral_mne_cnn2_no_reg_rcnone_seed40_ep30_L16_trainT0.pth
cnn2,no_reg,No Reg,40,16,16,both,0.5,0,20300901,42.750000,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/QCFS_simulation/fashion_mnist-checkpoints/cnn2_L[16]_fashion_spectral_mne_cnn2_no_reg_rcnone_seed40_ep30_L16_trainT0.pth
cnn2,no_reg,No Reg,40,16,16,both,0.5,1,20300902,42.880000,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/QCFS_simulation/fashion_mnist-checkpoints/cnn2_L[16]_fashion_spectral_mne_cnn2_no_reg_rcnone_seed40_ep30_L16_trainT0.pth
cnn2,no_reg,No Reg,40,16,16,both,0.5,2,20300903,42.860000,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/QCFS_simulation/fashion_mnist-checkpoints/cnn2_L[16]_fashion_spectral_mne_cnn2_no_reg_rcnone_seed40_ep30_L16_trainT0.pth
cnn2,no_reg,No Reg,40,16,16,both,1,0,20301001,13.640000,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/QCFS_simulation/fashion_mnist-checkpoints/cnn2_L[16]_fashion_spectral_mne_cnn2_no_reg_rcnone_seed40_ep30_L16_trainT0.pth
cnn2,no_reg,No Reg,40,16,16,both,1,1,20301002,14.050000,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/QCFS_simulation/fashion_mnist-checkpoints/cnn2_L[16]_fashion_spectral_mne_cnn2_no_reg_rcnone_seed40_ep30_L16_trainT0.pth
cnn2,no_reg,No Reg,40,16,16,both,1,2,20301003,13.780000,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/QCFS_simulation/fashion_mnist-checkpoints/cnn2_L[16]_fashion_spectral_mne_cnn2_no_reg_rcnone_seed40_ep30_L16_trainT0.pth
cnn2,l2,L2,40,16,16,both,0,0,20300801,83.980000,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/QCFS_simulation/fashion_mnist-checkpoints/cnn2_L[16]_fashion_spectral_mne_cnn2_l2_rcnone_seed40_ep30_L16_trainT0.pth
cnn2,l2,L2,40,16,16,both,0.5,0,20300901,25.220000,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/QCFS_simulation/fashion_mnist-checkpoints/cnn2_L[16]_fashion_spectral_mne_cnn2_l2_rcnone_seed40_ep30_L16_trainT0.pth
cnn2,l2,L2,40,16,16,both,0.5,1,20300902,24.930000,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/QCFS_simulation/fashion_mnist-checkpoints/cnn2_L[16]_fashion_spectral_mne_cnn2_l2_rcnone_seed40_ep30_L16_trainT0.pth
cnn2,l2,L2,40,16,16,both,0.5,2,20300903,25.230000,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/QCFS_simulation/fashion_mnist-checkpoints/cnn2_L[16]_fashion_spectral_mne_cnn2_l2_rcnone_seed40_ep30_L16_trainT0.pth
cnn2,l2,L2,40,16,16,both,1,0,20301001,10.860000,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/QCFS_simulation/fashion_mnist-checkpoints/cnn2_L[16]_fashion_spectral_mne_cnn2_l2_rcnone_seed40_ep30_L16_trainT0.pth
cnn2,l2,L2,40,16,16,both,1,1,20301002,10.740000,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/QCFS_simulation/fashion_mnist-checkpoints/cnn2_L[16]_fashion_spectral_mne_cnn2_l2_rcnone_seed40_ep30_L16_trainT0.pth
