site,method,method_label,sigma,n,acc_mean,acc_std
both,l2,L2,0,3,82.953333,1.345598
both,l2,L2,0.5,3,32.980000,11.703576
both,l2,L2,1,3,16.423333,6.388711
both,no_reg,No Reg,0,3,82.656667,1.002464
both,no_reg,No Reg,0.5,3,49.090000,15.210625
both,no_reg,No Reg,1,3,24.046667,12.231371
both,old_detach,MNE-L2,0,3,82.656667,0.833807
both,old_detach,MNE-L2,0.5,3,53.676667,17.017363
both,old_detach,MNE-L2,1,3,29.796667,19.673704
both,orthogonal,Orthogonal,0,3,82.593333,0.877857
both,orthogonal,Orthogonal,0.5,3,53.486667,14.077671
both,orthogonal,Orthogonal,1,3,28.683333,16.362776
