model,method,method_label,seed,L,T,site,sigma,noise_seed,accuracy,checkpoint
cnn2,old_detach,MNE-L2,40,16,16,both,0,20300801,83.370000,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/QCFS_simulation/fashion_mnist-checkpoints/cnn2_L[16]_fashion_spectral_mne_cnn2_old_detach_rc0p0001_seed40_ep30_L16_trainT0.pth
cnn2,old_detach,MNE-L2,40,16,16,both,0.5,20300802,51.930000,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/QCFS_simulation/fashion_mnist-checkpoints/cnn2_L[16]_fashion_spectral_mne_cnn2_old_detach_rc0p0001_seed40_ep30_L16_trainT0.pth
cnn2,old_detach,MNE-L2,40,16,16,both,1,20300803,15.970000,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/QCFS_simulation/fashion_mnist-checkpoints/cnn2_L[16]_fashion_spectral_mne_cnn2_old_detach_rc0p0001_seed40_ep30_L16_trainT0.pth
cnn2,no_reg,No Reg,40,16,16,both,0,20300801,83.450000,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/QCFS_simulation/fashion_mnist-checkpoints/cnn2_L[16]_fashion_spectral_mne_cnn2_no_reg_rcnone_seed40_ep30_L16_trainT0.pth
cnn2,no_reg,No Reg,40,16,16,both,0.5,20300802,42.840000,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/QCFS_simulation/fashion_mnist-checkpoints/cnn2_L[16]_fashion_spectral_mne_cnn2_no_reg_rcnone_seed40_ep30_L16_trainT0.pth
cnn2,no_reg,No Reg,40,16,16,both,1,20300803,13.930000,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/QCFS_simulation/fashion_mnist-checkpoints/cnn2_L[16]_fashion_spectral_mne_cnn2_no_reg_rcnone_seed40_ep30_L16_trainT0.pth
cnn2,l2,L2,40,16,16,both,0,20300801,83.980000,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/QCFS_simulation/fashion_mnist-checkpoints/cnn2_L[16]_fashion_spectral_mne_cnn2_l2_rcnone_seed40_ep30_L16_trainT0.pth
cnn2,l2,L2,40,16,16,both,0.5,20300802,25.300000,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/QCFS_simulation/fashion_mnist-checkpoints/cnn2_L[16]_fashion_spectral_mne_cnn2_l2_rcnone_seed40_ep30_L16_trainT0.pth
cnn2,l2,L2,40,16,16,both,1,20300803,10.900000,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/QCFS_simulation/fashion_mnist-checkpoints/cnn2_L[16]_fashion_spectral_mne_cnn2_l2_rcnone_seed40_ep30_L16_trainT0.pth
cnn2,orthogonal,Orthogonal,40,16,16,both,0,20300801,83.220000,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/QCFS_simulation/fashion_mnist-checkpoints/cnn2_L[16]_fashion_spectral_mne_cnn2_orthogonal_rc0p0001_seed40_ep30_L16_trainT0.pth
cnn2,orthogonal,Orthogonal,40,16,16,both,0.5,20300802,46.720000,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/QCFS_simulation/fashion_mnist-checkpoints/cnn2_L[16]_fashion_spectral_mne_cnn2_orthogonal_rc0p0001_seed40_ep30_L16_trainT0.pth
cnn2,orthogonal,Orthogonal,40,16,16,both,1,20300803,15.540000,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/QCFS_simulation/fashion_mnist-checkpoints/cnn2_L[16]_fashion_spectral_mne_cnn2_orthogonal_rc0p0001_seed40_ep30_L16_trainT0.pth
cnn2,old_detach,MNE-L2,41,16,16,both,0,20301801,82.860000,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/QCFS_simulation/fashion_mnist-checkpoints/cnn2_L[16]_fashion_spectral_mne_cnn2_old_detach_rc0p0001_seed41_ep30_L16_trainT0.pth
cnn2,old_detach,MNE-L2,41,16,16,both,0.5,20301802,71.500000,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/QCFS_simulation/fashion_mnist-checkpoints/cnn2_L[16]_fashion_spectral_mne_cnn2_old_detach_rc0p0001_seed41_ep30_L16_trainT0.pth
cnn2,old_detach,MNE-L2,41,16,16,both,1,20301803,52.320000,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/QCFS_simulation/fashion_mnist-checkpoints/cnn2_L[16]_fashion_spectral_mne_cnn2_old_detach_rc0p0001_seed41_ep30_L16_trainT0.pth
