site,method,method_label,sigma,n,acc_mean,acc_std
both,orthogonal,Orthogonal,0,1,87.740000,0.000000
both,orthogonal,Orthogonal,0.5,1,74.040000,0.000000
both,orthogonal,Orthogonal,1,1,34.460000,0.000000
both,threshold_l2,Threshold-L2,0,1,87.490000,0.000000
both,threshold_l2,Threshold-L2,0.5,1,76.450000,0.000000
both,threshold_l2,Threshold-L2,1,1,42.460000,0.000000
post_if1,orthogonal,Orthogonal,0,1,87.740000,0.000000
post_if1,orthogonal,Orthogonal,0.5,1,83.150000,0.000000
post_if1,orthogonal,Orthogonal,1,1,74.490000,0.000000
post_if1,threshold_l2,Threshold-L2,0,1,87.490000,0.000000
post_if1,threshold_l2,Threshold-L2,0.5,1,83.770000,0.000000
post_if1,threshold_l2,Threshold-L2,1,1,75.130000,0.000000
post_input_if,orthogonal,Orthogonal,0,1,87.740000,0.000000
post_input_if,orthogonal,Orthogonal,0.5,1,81.880000,0.000000
post_input_if,orthogonal,Orthogonal,1,1,62.070000,0.000000
post_input_if,threshold_l2,Threshold-L2,0,1,87.490000,0.000000
post_input_if,threshold_l2,Threshold-L2,0.5,1,82.640000,0.000000
post_input_if,threshold_l2,Threshold-L2,1,1,65.620000,0.000000
