model,method,method_label,seed,L,T,site,sigma,noise_seed,accuracy,checkpoint
cnn2_c8_c16,orthogonal,Orthogonal,40,16,16,post_input_if,0,20300801,87.740000,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/QCFS_simulation/fashion_mnist-checkpoints/cnn2_c8_c16_L[16]_fashion_spectral_mne_cnn2_c8_c16_orthogonal_rc0p0001_seed40_ep30_L16_trainT0.pth
cnn2_c8_c16,orthogonal,Orthogonal,40,16,16,post_input_if,0.5,20300802,81.880000,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/QCFS_simulation/fashion_mnist-checkpoints/cnn2_c8_c16_L[16]_fashion_spectral_mne_cnn2_c8_c16_orthogonal_rc0p0001_seed40_ep30_L16_trainT0.pth
cnn2_c8_c16,orthogonal,Orthogonal,40,16,16,post_input_if,1,20300803,62.070000,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/QCFS_simulation/fashion_mnist-checkpoints/cnn2_c8_c16_L[16]_fashion_spectral_mne_cnn2_c8_c16_orthogonal_rc0p0001_seed40_ep30_L16_trainT0.pth
cnn2_c8_c16,orthogonal,Orthogonal,40,16,16,post_if1,0,20300801,87.740000,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/QCFS_simulation/fashion_mnist-checkpoints/cnn2_c8_c16_L[16]_fashion_spectral_mne_cnn2_c8_c16_orthogonal_rc0p0001_seed40_ep30_L16_trainT0.pth
cnn2_c8_c16,orthogonal,Orthogonal,40,16,16,post_if1,0.5,20300802,83.150000,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/QCFS_simulation/fashion_mnist-checkpoints/cnn2_c8_c16_L[16]_fashion_spectral_mne_cnn2_c8_c16_orthogonal_rc0p0001_seed40_ep30_L16_trainT0.pth
cnn2_c8_c16,orthogonal,Orthogonal,40,16,16,post_if1,1,20300803,74.490000,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/QCFS_simulation/fashion_mnist-checkpoints/cnn2_c8_c16_L[16]_fashion_spectral_mne_cnn2_c8_c16_orthogonal_rc0p0001_seed40_ep30_L16_trainT0.pth
cnn2_c8_c16,orthogonal,Orthogonal,40,16,16,both,0,20300801,87.740000,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/QCFS_simulation/fashion_mnist-checkpoints/cnn2_c8_c16_L[16]_fashion_spectral_mne_cnn2_c8_c16_orthogonal_rc0p0001_seed40_ep30_L16_trainT0.pth
cnn2_c8_c16,orthogonal,Orthogonal,40,16,16,both,0.5,20300802,74.040000,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/QCFS_simulation/fashion_mnist-checkpoints/cnn2_c8_c16_L[16]_fashion_spectral_mne_cnn2_c8_c16_orthogonal_rc0p0001_seed40_ep30_L16_trainT0.pth
cnn2_c8_c16,orthogonal,Orthogonal,40,16,16,both,1,20300803,34.460000,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/QCFS_simulation/fashion_mnist-checkpoints/cnn2_c8_c16_L[16]_fashion_spectral_mne_cnn2_c8_c16_orthogonal_rc0p0001_seed40_ep30_L16_trainT0.pth
cnn2_c8_c16,threshold_l2,Threshold-L2,40,16,16,post_input_if,0,20300801,87.490000,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/QCFS_simulation/fashion_mnist-checkpoints/cnn2_c8_c16_L[16]_fashion_spectral_mne_cnn2_c8_c16_threshold_l2_rc0p0001_seed40_ep30_L16_trainT0.pth
