site,method,method_label,sigma,n,acc_mean,acc_std
both,l2,L2,0,1,88.210000,0.000000
both,l2,L2,0.25,1,80.720000,0.000000
both,l2,L2,0.5,1,68.690000,0.000000
both,l2,L2,0.75,1,49.910000,0.000000
both,l2,L2,1,1,27.080000,0.000000
both,l2_sp,L2-SP,0,1,87.110000,0.000000
both,l2_sp,L2-SP,0.25,1,84.080000,0.000000
both,l2_sp,L2-SP,0.5,1,79.050000,0.000000
both,l2_sp,L2-SP,0.75,1,68.440000,0.000000
both,l2_sp,L2-SP,1,1,48.510000,0.000000
both,old_detach,MNE-L2,0,1,87.460000,0.000000
both,old_detach,MNE-L2,0.25,1,84.300000,0.000000
both,old_detach,MNE-L2,0.5,1,78.050000,0.000000
both,old_detach,MNE-L2,0.75,1,66.270000,0.000000
both,old_detach,MNE-L2,1,1,46.130000,0.000000
post_if1,l2,L2,0,1,88.210000,0.000000
post_if1,l2,L2,0.25,1,84.530000,0.000000
post_if1,l2,L2,0.5,1,77.960000,0.000000
post_if1,l2,L2,0.75,1,70.430000,0.000000
post_if1,l2,L2,1,1,61.920000,0.000000
post_if1,l2_sp,L2-SP,0,1,87.110000,0.000000
post_if1,l2_sp,L2-SP,0.25,1,86.060000,0.000000
post_if1,l2_sp,L2-SP,0.5,1,84.010000,0.000000
post_if1,l2_sp,L2-SP,0.75,1,81.990000,0.000000
post_if1,l2_sp,L2-SP,1,1,78.950000,0.000000
post_if1,old_detach,MNE-L2,0,1,87.460000,0.000000
post_if1,old_detach,MNE-L2,0.25,1,86.930000,0.000000
post_if1,old_detach,MNE-L2,0.5,1,84.330000,0.000000
post_if1,old_detach,MNE-L2,0.75,1,81.290000,0.000000
post_if1,old_detach,MNE-L2,1,1,77.270000,0.000000
post_input_if,l2,L2,0,1,88.210000,0.000000
post_input_if,l2,L2,0.25,1,85.780000,0.000000
post_input_if,l2,L2,0.5,1,80.590000,0.000000
post_input_if,l2,L2,0.75,1,71.150000,0.000000
post_input_if,l2,L2,1,1,55.550000,0.000000
post_input_if,l2_sp,L2-SP,0,1,87.110000,0.000000
post_input_if,l2_sp,L2-SP,0.25,1,85.800000,0.000000
post_input_if,l2_sp,L2-SP,0.5,1,83.260000,0.000000
post_input_if,l2_sp,L2-SP,0.75,1,78.860000,0.000000
post_input_if,l2_sp,L2-SP,1,1,70.810000,0.000000
post_input_if,old_detach,MNE-L2,0,1,87.460000,0.000000
post_input_if,old_detach,MNE-L2,0.25,1,86.350000,0.000000
post_input_if,old_detach,MNE-L2,0.5,1,83.970000,0.000000
post_input_if,old_detach,MNE-L2,0.75,1,77.430000,0.000000
post_input_if,old_detach,MNE-L2,1,1,69.330000,0.000000
