model,method,method_label,seed,L,T,site,sigma,noise_seed,accuracy,checkpoint
cnn2_c8_c16,old_detach,MNE-L2,40,16,16,post_input_if,0,20300801,87.460000,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/QCFS_simulation/fashion_mnist-checkpoints/cnn2_c8_c16_L[16]_fashion_spectral_mne_cnn2_c8_c16_old_detach_rc0p0001_seed40_ep30_L16_trainT0.pth
cnn2_c8_c16,old_detach,MNE-L2,40,16,16,post_input_if,0.25,20300802,86.350000,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/QCFS_simulation/fashion_mnist-checkpoints/cnn2_c8_c16_L[16]_fashion_spectral_mne_cnn2_c8_c16_old_detach_rc0p0001_seed40_ep30_L16_trainT0.pth
cnn2_c8_c16,old_detach,MNE-L2,40,16,16,post_input_if,0.5,20300803,83.970000,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/QCFS_simulation/fashion_mnist-checkpoints/cnn2_c8_c16_L[16]_fashion_spectral_mne_cnn2_c8_c16_old_detach_rc0p0001_seed40_ep30_L16_trainT0.pth
cnn2_c8_c16,old_detach,MNE-L2,40,16,16,post_input_if,0.75,20300804,77.430000,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/QCFS_simulation/fashion_mnist-checkpoints/cnn2_c8_c16_L[16]_fashion_spectral_mne_cnn2_c8_c16_old_detach_rc0p0001_seed40_ep30_L16_trainT0.pth
cnn2_c8_c16,old_detach,MNE-L2,40,16,16,post_input_if,1,20300805,69.330000,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/QCFS_simulation/fashion_mnist-checkpoints/cnn2_c8_c16_L[16]_fashion_spectral_mne_cnn2_c8_c16_old_detach_rc0p0001_seed40_ep30_L16_trainT0.pth
cnn2_c8_c16,old_detach,MNE-L2,40,16,16,post_if1,0,20300801,87.460000,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/QCFS_simulation/fashion_mnist-checkpoints/cnn2_c8_c16_L[16]_fashion_spectral_mne_cnn2_c8_c16_old_detach_rc0p0001_seed40_ep30_L16_trainT0.pth
cnn2_c8_c16,old_detach,MNE-L2,40,16,16,post_if1,0.25,20300802,86.930000,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/QCFS_simulation/fashion_mnist-checkpoints/cnn2_c8_c16_L[16]_fashion_spectral_mne_cnn2_c8_c16_old_detach_rc0p0001_seed40_ep30_L16_trainT0.pth
cnn2_c8_c16,old_detach,MNE-L2,40,16,16,post_if1,0.5,20300803,84.330000,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/QCFS_simulation/fashion_mnist-checkpoints/cnn2_c8_c16_L[16]_fashion_spectral_mne_cnn2_c8_c16_old_detach_rc0p0001_seed40_ep30_L16_trainT0.pth
cnn2_c8_c16,old_detach,MNE-L2,40,16,16,post_if1,0.75,20300804,81.290000,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/QCFS_simulation/fashion_mnist-checkpoints/cnn2_c8_c16_L[16]_fashion_spectral_mne_cnn2_c8_c16_old_detach_rc0p0001_seed40_ep30_L16_trainT0.pth
cnn2_c8_c16,old_detach,MNE-L2,40,16,16,post_if1,1,20300805,77.270000,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/QCFS_simulation/fashion_mnist-checkpoints/cnn2_c8_c16_L[16]_fashion_spectral_mne_cnn2_c8_c16_old_detach_rc0p0001_seed40_ep30_L16_trainT0.pth
cnn2_c8_c16,old_detach,MNE-L2,40,16,16,both,0,20300801,87.460000,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/QCFS_simulation/fashion_mnist-checkpoints/cnn2_c8_c16_L[16]_fashion_spectral_mne_cnn2_c8_c16_old_detach_rc0p0001_seed40_ep30_L16_trainT0.pth
cnn2_c8_c16,old_detach,MNE-L2,40,16,16,both,0.25,20300802,84.300000,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/QCFS_simulation/fashion_mnist-checkpoints/cnn2_c8_c16_L[16]_fashion_spectral_mne_cnn2_c8_c16_old_detach_rc0p0001_seed40_ep30_L16_trainT0.pth
cnn2_c8_c16,old_detach,MNE-L2,40,16,16,both,0.5,20300803,78.050000,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/QCFS_simulation/fashion_mnist-checkpoints/cnn2_c8_c16_L[16]_fashion_spectral_mne_cnn2_c8_c16_old_detach_rc0p0001_seed40_ep30_L16_trainT0.pth
cnn2_c8_c16,old_detach,MNE-L2,40,16,16,both,0.75,20300804,66.270000,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/QCFS_simulation/fashion_mnist-checkpoints/cnn2_c8_c16_L[16]_fashion_spectral_mne_cnn2_c8_c16_old_detach_rc0p0001_seed40_ep30_L16_trainT0.pth
cnn2_c8_c16,old_detach,MNE-L2,40,16,16,both,1,20300805,46.130000,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/QCFS_simulation/fashion_mnist-checkpoints/cnn2_c8_c16_L[16]_fashion_spectral_mne_cnn2_c8_c16_old_detach_rc0p0001_seed40_ep30_L16_trainT0.pth
