site,method,method_label,sigma,n,acc_mean,acc_std
both,l2,L2,0,3,82.953333,1.345598
both,l2,L2,0.25,3,66.960000,7.507665
both,l2,L2,0.5,3,32.998889,11.944688
both,no_reg,No Reg,0,3,82.656667,1.002464
both,no_reg,No Reg,0.25,3,75.822222,0.564125
both,no_reg,No Reg,0.5,3,49.148889,15.037330
both,old_detach,MNE-L2,0,3,82.656667,0.833807
both,old_detach,MNE-L2,0.25,3,77.355556,1.279958
both,old_detach,MNE-L2,0.5,3,53.735556,16.930384
both,orthogonal,Orthogonal,0,3,82.593333,0.877857
both,orthogonal,Orthogonal,0.25,3,76.458889,2.095499
both,orthogonal,Orthogonal,0.5,3,53.377778,14.112510
