model,method,method_label,regularizer,reg_coeff,sigma,n,acc_mean,acc_std
cnn2_c8_c16,l2,l2_wd0p0005,weight_decay,none,0,1,69.480000,0.000000
cnn2_c8_c16,l2,l2_wd0p0005,weight_decay,none,0.25,1,67.050000,0.000000
cnn2_c8_c16,l2,l2_wd0p0005,weight_decay,none,0.5,1,29.050000,0.000000
cnn2_c8_c16,l2,l2_wd0p0005,weight_decay,none,0.75,1,19.100000,0.000000
cnn2_c8_c16,l2,l2_wd0p0005,weight_decay,none,1,1,13.650000,0.000000
cnn2_c8_c16,l2,l2_wd0p0005,weight_decay,none,1.25,1,11.980000,0.000000
cnn2_c8_c16,l2,l2_wd0p0005,weight_decay,none,1.5,1,10.920000,0.000000
cnn2_c8_c16,l2_sp,l2_sp_rc0p01,l2_sp,0p01,0,1,44.050000,0.000000
cnn2_c8_c16,l2_sp,l2_sp_rc0p01,l2_sp,0p01,0.25,1,43.600000,0.000000
cnn2_c8_c16,l2_sp,l2_sp_rc0p01,l2_sp,0p01,0.5,1,26.490000,0.000000
cnn2_c8_c16,l2_sp,l2_sp_rc0p01,l2_sp,0p01,0.75,1,19.330000,0.000000
cnn2_c8_c16,l2_sp,l2_sp_rc0p01,l2_sp,0p01,1,1,15.140000,0.000000
cnn2_c8_c16,l2_sp,l2_sp_rc0p01,l2_sp,0p01,1.25,1,12.820000,0.000000
cnn2_c8_c16,l2_sp,l2_sp_rc0p01,l2_sp,0p01,1.5,1,11.660000,0.000000
cnn2_c8_c16,old_detach,old_mne_detach_lambda,mne_l2,0p0001,0,1,46.180000,0.000000
cnn2_c8_c16,old_detach,old_mne_detach_lambda,mne_l2,0p0001,0.25,1,46.120000,0.000000
cnn2_c8_c16,old_detach,old_mne_detach_lambda,mne_l2,0p0001,0.5,1,27.700000,0.000000
cnn2_c8_c16,old_detach,old_mne_detach_lambda,mne_l2,0p0001,0.75,1,18.470000,0.000000
cnn2_c8_c16,old_detach,old_mne_detach_lambda,mne_l2,0p0001,1,1,15.590000,0.000000
cnn2_c8_c16,old_detach,old_mne_detach_lambda,mne_l2,0p0001,1.25,1,13.290000,0.000000
cnn2_c8_c16,old_detach,old_mne_detach_lambda,mne_l2,0p0001,1.5,1,11.770000,0.000000
