dataset,model,method,method_label,regularizer,reg_coeff,weight_decay,seed,L,train_T,test_T,if_mode,spike_schedule,noise_position,noise_type,sigma,acc,checkpoint,matrix_csv
fashion_mnist,cnn2_c8_c16,old_detach,old_mne_detach_lambda,mne_l2,0p0001,0.0,40,16,0,4,rate_uniform,normal,post_input_if,gaussian,0,79.480000,fashion_mnist-checkpoints/cnn2_c8_c16_L[16]_fashion_spectral_mne_cnn2_c8_c16_old_detach_rc0p0001_seed40_ep30_L16_trainT0.pth,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/important_results/mne_adv_screen_seed40_postif_gaussian_T4/cnn2_c8_c16/old_detach/rc0p0001/seed_40/noise_sweep_matrix_fashion_mnist_cnn2_c8_c16_T4_mode_rate_uniform_schedule_normal_seed_40.csv
fashion_mnist,cnn2_c8_c16,old_detach,old_mne_detach_lambda,mne_l2,0p0001,0.0,40,16,0,4,rate_uniform,normal,post_input_if,gaussian,0.25,75.560000,fashion_mnist-checkpoints/cnn2_c8_c16_L[16]_fashion_spectral_mne_cnn2_c8_c16_old_detach_rc0p0001_seed40_ep30_L16_trainT0.pth,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/important_results/mne_adv_screen_seed40_postif_gaussian_T4/cnn2_c8_c16/old_detach/rc0p0001/seed_40/noise_sweep_matrix_fashion_mnist_cnn2_c8_c16_T4_mode_rate_uniform_schedule_normal_seed_40.csv
fashion_mnist,cnn2_c8_c16,old_detach,old_mne_detach_lambda,mne_l2,0p0001,0.0,40,16,0,4,rate_uniform,normal,post_input_if,gaussian,0.5,56.650000,fashion_mnist-checkpoints/cnn2_c8_c16_L[16]_fashion_spectral_mne_cnn2_c8_c16_old_detach_rc0p0001_seed40_ep30_L16_trainT0.pth,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/important_results/mne_adv_screen_seed40_postif_gaussian_T4/cnn2_c8_c16/old_detach/rc0p0001/seed_40/noise_sweep_matrix_fashion_mnist_cnn2_c8_c16_T4_mode_rate_uniform_schedule_normal_seed_40.csv
fashion_mnist,cnn2_c8_c16,old_detach,old_mne_detach_lambda,mne_l2,0p0001,0.0,40,16,0,4,rate_uniform,normal,post_input_if,gaussian,0.75,45.430000,fashion_mnist-checkpoints/cnn2_c8_c16_L[16]_fashion_spectral_mne_cnn2_c8_c16_old_detach_rc0p0001_seed40_ep30_L16_trainT0.pth,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/important_results/mne_adv_screen_seed40_postif_gaussian_T4/cnn2_c8_c16/old_detach/rc0p0001/seed_40/noise_sweep_matrix_fashion_mnist_cnn2_c8_c16_T4_mode_rate_uniform_schedule_normal_seed_40.csv
fashion_mnist,cnn2_c8_c16,old_detach,old_mne_detach_lambda,mne_l2,0p0001,0.0,40,16,0,4,rate_uniform,normal,post_input_if,gaussian,1,32.660000,fashion_mnist-checkpoints/cnn2_c8_c16_L[16]_fashion_spectral_mne_cnn2_c8_c16_old_detach_rc0p0001_seed40_ep30_L16_trainT0.pth,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/important_results/mne_adv_screen_seed40_postif_gaussian_T4/cnn2_c8_c16/old_detach/rc0p0001/seed_40/noise_sweep_matrix_fashion_mnist_cnn2_c8_c16_T4_mode_rate_uniform_schedule_normal_seed_40.csv
fashion_mnist,cnn2_c8_c16,l2_sp,l2_sp_rc0p01,l2_sp,0p01,0.0,40,16,0,4,rate_uniform,normal,post_input_if,gaussian,0,78.190000,fashion_mnist-checkpoints/cnn2_c8_c16_L[16]_fashion_spectral_mne_cnn2_c8_c16_l2_sp_rc0p01_seed40_ep30_L16_trainT0.pth,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/important_results/mne_adv_screen_seed40_postif_gaussian_T4/cnn2_c8_c16/l2_sp/rc0p01/seed_40/noise_sweep_matrix_fashion_mnist_cnn2_c8_c16_T4_mode_rate_uniform_schedule_normal_seed_40.csv
fashion_mnist,cnn2_c8_c16,l2_sp,l2_sp_rc0p01,l2_sp,0p01,0.0,40,16,0,4,rate_uniform,normal,post_input_if,gaussian,0.25,76.260000,fashion_mnist-checkpoints/cnn2_c8_c16_L[16]_fashion_spectral_mne_cnn2_c8_c16_l2_sp_rc0p01_seed40_ep30_L16_trainT0.pth,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/important_results/mne_adv_screen_seed40_postif_gaussian_T4/cnn2_c8_c16/l2_sp/rc0p01/seed_40/noise_sweep_matrix_fashion_mnist_cnn2_c8_c16_T4_mode_rate_uniform_schedule_normal_seed_40.csv
fashion_mnist,cnn2_c8_c16,l2_sp,l2_sp_rc0p01,l2_sp,0p01,0.0,40,16,0,4,rate_uniform,normal,post_input_if,gaussian,0.5,56.490000,fashion_mnist-checkpoints/cnn2_c8_c16_L[16]_fashion_spectral_mne_cnn2_c8_c16_l2_sp_rc0p01_seed40_ep30_L16_trainT0.pth,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/important_results/mne_adv_screen_seed40_postif_gaussian_T4/cnn2_c8_c16/l2_sp/rc0p01/seed_40/noise_sweep_matrix_fashion_mnist_cnn2_c8_c16_T4_mode_rate_uniform_schedule_normal_seed_40.csv
fashion_mnist,cnn2_c8_c16,l2_sp,l2_sp_rc0p01,l2_sp,0p01,0.0,40,16,0,4,rate_uniform,normal,post_input_if,gaussian,0.75,46.350000,fashion_mnist-checkpoints/cnn2_c8_c16_L[16]_fashion_spectral_mne_cnn2_c8_c16_l2_sp_rc0p01_seed40_ep30_L16_trainT0.pth,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/important_results/mne_adv_screen_seed40_postif_gaussian_T4/cnn2_c8_c16/l2_sp/rc0p01/seed_40/noise_sweep_matrix_fashion_mnist_cnn2_c8_c16_T4_mode_rate_uniform_schedule_normal_seed_40.csv
fashion_mnist,cnn2_c8_c16,l2_sp,l2_sp_rc0p01,l2_sp,0p01,0.0,40,16,0,4,rate_uniform,normal,post_input_if,gaussian,1,33.490000,fashion_mnist-checkpoints/cnn2_c8_c16_L[16]_fashion_spectral_mne_cnn2_c8_c16_l2_sp_rc0p01_seed40_ep30_L16_trainT0.pth,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/important_results/mne_adv_screen_seed40_postif_gaussian_T4/cnn2_c8_c16/l2_sp/rc0p01/seed_40/noise_sweep_matrix_fashion_mnist_cnn2_c8_c16_T4_mode_rate_uniform_schedule_normal_seed_40.csv
