dataset,variant,variant_label,regularizer,reg_coeff,hinge_tau,sigma,n,acc_mean,acc_std
cifar10,folded_w_lambda,mne_bn_folded_weight_lambda_trainable,mne_l2,0.0001,none,0,1,90.090000,0.000000
cifar10,folded_w_lambda,mne_bn_folded_weight_lambda_trainable,mne_l2,0.0001,none,0.05,1,89.950000,0.000000
cifar10,folded_w_lambda,mne_bn_folded_weight_lambda_trainable,mne_l2,0.0001,none,0.1,1,89.930000,0.000000
cifar10,folded_w_lambda,mne_bn_folded_weight_lambda_trainable,mne_l2,0.0001,none,0.15,1,90.020000,0.000000
cifar10,folded_w_lambda,mne_bn_folded_weight_lambda_trainable,mne_l2,0.0001,none,0.2,1,89.930000,0.000000
cifar10,folded_w_lambda,mne_bn_folded_weight_lambda_trainable,mne_l2,0.0001,none,0.25,1,89.910000,0.000000
cifar10,folded_w_lambda,mne_bn_folded_weight_lambda_trainable,mne_l2,0.0001,none,0.3,1,89.980000,0.000000
cifar10,folded_w_lambda,mne_bn_folded_weight_lambda_trainable,mne_l2,0.0001,none,0.35,1,89.980000,0.000000
cifar10,folded_w_lambda,mne_bn_folded_weight_lambda_trainable,mne_l2,0.0001,none,0.4,1,89.890000,0.000000
cifar10,folded_w_lambda,mne_bn_folded_weight_lambda_trainable,mne_l2,0.0001,none,0.45,1,89.930000,0.000000
cifar10,folded_w_lambda,mne_bn_folded_weight_lambda_trainable,mne_l2,0.0001,none,0.5,1,89.940000,0.000000
cifar10,folded_w_lambda,mne_bn_folded_weight_lambda_trainable,mne_l2,0.0001,none,0.55,1,89.950000,0.000000
cifar10,folded_w_lambda,mne_bn_folded_weight_lambda_trainable,mne_l2,0.0001,none,0.6,1,89.920000,0.000000
cifar10,folded_w_lambda,mne_bn_folded_weight_lambda_trainable,mne_l2,0.0001,none,0.65,1,89.930000,0.000000
cifar10,folded_w_lambda,mne_bn_folded_weight_lambda_trainable,mne_l2,0.0001,none,0.7,1,90.090000,0.000000
cifar10,folded_w_lambda,mne_bn_folded_weight_lambda_trainable,mne_l2,0.0001,none,0.75,1,89.920000,0.000000
cifar10,folded_w_lambda,mne_bn_folded_weight_lambda_trainable,mne_l2,0.0001,none,0.8,1,90.050000,0.000000
cifar10,folded_w_lambda,mne_bn_folded_weight_lambda_trainable,mne_l2,0.0001,none,0.85,1,89.990000,0.000000
cifar10,folded_w_lambda,mne_bn_folded_weight_lambda_trainable,mne_l2,0.0001,none,0.9,1,89.950000,0.000000
cifar10,folded_w_lambda,mne_bn_folded_weight_lambda_trainable,mne_l2,0.0001,none,0.95,1,90.010000,0.000000
cifar10,folded_w_lambda,mne_bn_folded_weight_lambda_trainable,mne_l2,0.0001,none,1,1,89.950000,0.000000
