dataset,model,method,method_label,seed,L,T,site,sigma,noise_repeat,noise_seed,accuracy,checkpoint
fashion_mnist,cnn2,old_detach_current,MNE-L2,40,16,16,post_input_if,0,0,20300801,83.290000,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/QCFS_simulation/fashion_mnist-checkpoints/cnn2_L[16]_fashion_spectral_mne_cnn2_old_detach_current_rc0p0001_seed40_ep30_L16_trainT0.pth
fashion_mnist,cnn2,old_detach_current,MNE-L2,40,16,16,post_input_if,0.25,0,20300901,81.490000,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/QCFS_simulation/fashion_mnist-checkpoints/cnn2_L[16]_fashion_spectral_mne_cnn2_old_detach_current_rc0p0001_seed40_ep30_L16_trainT0.pth
fashion_mnist,cnn2,old_detach_current,MNE-L2,40,16,16,post_input_if,0.25,1,20300902,81.370000,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/QCFS_simulation/fashion_mnist-checkpoints/cnn2_L[16]_fashion_spectral_mne_cnn2_old_detach_current_rc0p0001_seed40_ep30_L16_trainT0.pth
fashion_mnist,cnn2,old_detach_current,MNE-L2,40,16,16,post_input_if,0.25,2,20300903,81.230000,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/QCFS_simulation/fashion_mnist-checkpoints/cnn2_L[16]_fashion_spectral_mne_cnn2_old_detach_current_rc0p0001_seed40_ep30_L16_trainT0.pth
fashion_mnist,cnn2,old_detach_current,MNE-L2,40,16,16,post_input_if,0.5,0,20301001,76.530000,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/QCFS_simulation/fashion_mnist-checkpoints/cnn2_L[16]_fashion_spectral_mne_cnn2_old_detach_current_rc0p0001_seed40_ep30_L16_trainT0.pth
fashion_mnist,cnn2,old_detach_current,MNE-L2,40,16,16,post_input_if,0.5,1,20301002,76.340000,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/QCFS_simulation/fashion_mnist-checkpoints/cnn2_L[16]_fashion_spectral_mne_cnn2_old_detach_current_rc0p0001_seed40_ep30_L16_trainT0.pth
fashion_mnist,cnn2,old_detach_current,MNE-L2,40,16,16,post_input_if,0.5,2,20301003,76.780000,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/QCFS_simulation/fashion_mnist-checkpoints/cnn2_L[16]_fashion_spectral_mne_cnn2_old_detach_current_rc0p0001_seed40_ep30_L16_trainT0.pth
fashion_mnist,cnn2,old_detach_current,MNE-L2,40,16,16,post_input_if,1,0,20301101,54.780000,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/QCFS_simulation/fashion_mnist-checkpoints/cnn2_L[16]_fashion_spectral_mne_cnn2_old_detach_current_rc0p0001_seed40_ep30_L16_trainT0.pth
fashion_mnist,cnn2,old_detach_current,MNE-L2,40,16,16,post_input_if,1,1,20301102,54.900000,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/QCFS_simulation/fashion_mnist-checkpoints/cnn2_L[16]_fashion_spectral_mne_cnn2_old_detach_current_rc0p0001_seed40_ep30_L16_trainT0.pth
fashion_mnist,cnn2,old_detach_current,MNE-L2,40,16,16,post_input_if,1,2,20301103,54.650000,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/QCFS_simulation/fashion_mnist-checkpoints/cnn2_L[16]_fashion_spectral_mne_cnn2_old_detach_current_rc0p0001_seed40_ep30_L16_trainT0.pth
fashion_mnist,cnn2,old_detach_current,MNE-L2,40,16,16,both,0,0,20300801,83.290000,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/QCFS_simulation/fashion_mnist-checkpoints/cnn2_L[16]_fashion_spectral_mne_cnn2_old_detach_current_rc0p0001_seed40_ep30_L16_trainT0.pth
fashion_mnist,cnn2,old_detach_current,MNE-L2,40,16,16,both,0.25,0,20300901,74.390000,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/QCFS_simulation/fashion_mnist-checkpoints/cnn2_L[16]_fashion_spectral_mne_cnn2_old_detach_current_rc0p0001_seed40_ep30_L16_trainT0.pth
fashion_mnist,cnn2,old_detach_current,MNE-L2,40,16,16,both,0.25,1,20300902,74.340000,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/QCFS_simulation/fashion_mnist-checkpoints/cnn2_L[16]_fashion_spectral_mne_cnn2_old_detach_current_rc0p0001_seed40_ep30_L16_trainT0.pth
fashion_mnist,cnn2,old_detach_current,MNE-L2,40,16,16,both,0.25,2,20300903,74.110000,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/QCFS_simulation/fashion_mnist-checkpoints/cnn2_L[16]_fashion_spectral_mne_cnn2_old_detach_current_rc0p0001_seed40_ep30_L16_trainT0.pth
fashion_mnist,cnn2,old_detach_current,MNE-L2,40,16,16,both,0.5,0,20301001,43.890000,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/QCFS_simulation/fashion_mnist-checkpoints/cnn2_L[16]_fashion_spectral_mne_cnn2_old_detach_current_rc0p0001_seed40_ep30_L16_trainT0.pth
