dataset,model,method,method_label,seed,L,T,site,sigma,noise_repeat,noise_seed,accuracy,checkpoint
fashion_mnist,cnn2,old_detach_current,MNE-L2,40,16,16,post_if1,0,0,20300801,83.290000,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/QCFS_simulation/fashion_mnist-checkpoints/cnn2_L[16]_fashion_spectral_mne_cnn2_old_detach_current_rc0p0001_seed40_ep30_L16_trainT0.pth
fashion_mnist,cnn2,old_detach_current,MNE-L2,40,16,16,post_if1,0.25,0,20300901,78.790000,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/QCFS_simulation/fashion_mnist-checkpoints/cnn2_L[16]_fashion_spectral_mne_cnn2_old_detach_current_rc0p0001_seed40_ep30_L16_trainT0.pth
fashion_mnist,cnn2,old_detach_current,MNE-L2,40,16,16,post_if1,0.25,1,20300902,78.650000,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/QCFS_simulation/fashion_mnist-checkpoints/cnn2_L[16]_fashion_spectral_mne_cnn2_old_detach_current_rc0p0001_seed40_ep30_L16_trainT0.pth
fashion_mnist,cnn2,old_detach_current,MNE-L2,40,16,16,post_if1,0.25,2,20300903,78.350000,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/QCFS_simulation/fashion_mnist-checkpoints/cnn2_L[16]_fashion_spectral_mne_cnn2_old_detach_current_rc0p0001_seed40_ep30_L16_trainT0.pth
fashion_mnist,cnn2,old_detach_current,MNE-L2,40,16,16,post_if1,0.5,0,20301001,68.800000,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/QCFS_simulation/fashion_mnist-checkpoints/cnn2_L[16]_fashion_spectral_mne_cnn2_old_detach_current_rc0p0001_seed40_ep30_L16_trainT0.pth
fashion_mnist,cnn2,old_detach_current,MNE-L2,40,16,16,post_if1,0.5,1,20301002,68.910000,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/QCFS_simulation/fashion_mnist-checkpoints/cnn2_L[16]_fashion_spectral_mne_cnn2_old_detach_current_rc0p0001_seed40_ep30_L16_trainT0.pth
fashion_mnist,cnn2,old_detach_current,MNE-L2,40,16,16,post_if1,0.5,2,20301003,69.120000,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/QCFS_simulation/fashion_mnist-checkpoints/cnn2_L[16]_fashion_spectral_mne_cnn2_old_detach_current_rc0p0001_seed40_ep30_L16_trainT0.pth
fashion_mnist,cnn2,old_detach_current,MNE-L2,40,16,16,post_if1,1,0,20301101,36.270000,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/QCFS_simulation/fashion_mnist-checkpoints/cnn2_L[16]_fashion_spectral_mne_cnn2_old_detach_current_rc0p0001_seed40_ep30_L16_trainT0.pth
fashion_mnist,cnn2,old_detach_current,MNE-L2,40,16,16,post_if1,1,1,20301102,36.180000,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/QCFS_simulation/fashion_mnist-checkpoints/cnn2_L[16]_fashion_spectral_mne_cnn2_old_detach_current_rc0p0001_seed40_ep30_L16_trainT0.pth
fashion_mnist,cnn2,old_detach_current,MNE-L2,40,16,16,post_if1,1,2,20301103,36.410000,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/QCFS_simulation/fashion_mnist-checkpoints/cnn2_L[16]_fashion_spectral_mne_cnn2_old_detach_current_rc0p0001_seed40_ep30_L16_trainT0.pth
