dataset,arch,variant,variant_label,regularizer,reg_coeff,weight_decay,seed,L,T,if_mode,spike_schedule,noise_position,noise_type,sigma,acc,checkpoint,matrix_csv
cifar10,vgg16,weight_decay,weight_decay,weight_decay,none,0.0005,42,16,16,rate_uniform,normal,post_input_if,gaussian,0,90.500000,cifar10-checkpoints/vgg16_L[16]_mneablate_cifar10_weight_decay_rcnone_seed42_L16.pth,/home/595/sl9144/codes/snn_simulation/important_results/mne_stability_ablation_pilot/cifar10/mneablate_cifar10_weight_decay_rcnone_seed42_L16/noise_sweep_matrix_cifar10_vgg16_T16_mode_rate_uniform_schedule_normal_seed_42.csv
cifar10,vgg16,weight_decay,weight_decay,weight_decay,none,0.0005,42,16,16,rate_uniform,normal,post_input_if,gaussian,0.05,90.360000,cifar10-checkpoints/vgg16_L[16]_mneablate_cifar10_weight_decay_rcnone_seed42_L16.pth,/home/595/sl9144/codes/snn_simulation/important_results/mne_stability_ablation_pilot/cifar10/mneablate_cifar10_weight_decay_rcnone_seed42_L16/noise_sweep_matrix_cifar10_vgg16_T16_mode_rate_uniform_schedule_normal_seed_42.csv
cifar10,vgg16,weight_decay,weight_decay,weight_decay,none,0.0005,42,16,16,rate_uniform,normal,post_input_if,gaussian,0.1,90.390000,cifar10-checkpoints/vgg16_L[16]_mneablate_cifar10_weight_decay_rcnone_seed42_L16.pth,/home/595/sl9144/codes/snn_simulation/important_results/mne_stability_ablation_pilot/cifar10/mneablate_cifar10_weight_decay_rcnone_seed42_L16/noise_sweep_matrix_cifar10_vgg16_T16_mode_rate_uniform_schedule_normal_seed_42.csv
cifar10,vgg16,weight_decay,weight_decay,weight_decay,none,0.0005,42,16,16,rate_uniform,normal,post_input_if,gaussian,0.15,90.400000,cifar10-checkpoints/vgg16_L[16]_mneablate_cifar10_weight_decay_rcnone_seed42_L16.pth,/home/595/sl9144/codes/snn_simulation/important_results/mne_stability_ablation_pilot/cifar10/mneablate_cifar10_weight_decay_rcnone_seed42_L16/noise_sweep_matrix_cifar10_vgg16_T16_mode_rate_uniform_schedule_normal_seed_42.csv
cifar10,vgg16,weight_decay,weight_decay,weight_decay,none,0.0005,42,16,16,rate_uniform,normal,post_input_if,gaussian,0.2,90.150000,cifar10-checkpoints/vgg16_L[16]_mneablate_cifar10_weight_decay_rcnone_seed42_L16.pth,/home/595/sl9144/codes/snn_simulation/important_results/mne_stability_ablation_pilot/cifar10/mneablate_cifar10_weight_decay_rcnone_seed42_L16/noise_sweep_matrix_cifar10_vgg16_T16_mode_rate_uniform_schedule_normal_seed_42.csv
cifar10,vgg16,weight_decay,weight_decay,weight_decay,none,0.0005,42,16,16,rate_uniform,normal,post_input_if,gaussian,0.25,89.860000,cifar10-checkpoints/vgg16_L[16]_mneablate_cifar10_weight_decay_rcnone_seed42_L16.pth,/home/595/sl9144/codes/snn_simulation/important_results/mne_stability_ablation_pilot/cifar10/mneablate_cifar10_weight_decay_rcnone_seed42_L16/noise_sweep_matrix_cifar10_vgg16_T16_mode_rate_uniform_schedule_normal_seed_42.csv
cifar10,vgg16,weight_decay,weight_decay,weight_decay,none,0.0005,42,16,16,rate_uniform,normal,post_input_if,gaussian,0.3,89.640000,cifar10-checkpoints/vgg16_L[16]_mneablate_cifar10_weight_decay_rcnone_seed42_L16.pth,/home/595/sl9144/codes/snn_simulation/important_results/mne_stability_ablation_pilot/cifar10/mneablate_cifar10_weight_decay_rcnone_seed42_L16/noise_sweep_matrix_cifar10_vgg16_T16_mode_rate_uniform_schedule_normal_seed_42.csv
cifar10,vgg16,weight_decay,weight_decay,weight_decay,none,0.0005,42,16,16,rate_uniform,normal,post_input_if,gaussian,0.35,88.950000,cifar10-checkpoints/vgg16_L[16]_mneablate_cifar10_weight_decay_rcnone_seed42_L16.pth,/home/595/sl9144/codes/snn_simulation/important_results/mne_stability_ablation_pilot/cifar10/mneablate_cifar10_weight_decay_rcnone_seed42_L16/noise_sweep_matrix_cifar10_vgg16_T16_mode_rate_uniform_schedule_normal_seed_42.csv
cifar10,vgg16,weight_decay,weight_decay,weight_decay,none,0.0005,42,16,16,rate_uniform,normal,post_input_if,gaussian,0.4,88.450000,cifar10-checkpoints/vgg16_L[16]_mneablate_cifar10_weight_decay_rcnone_seed42_L16.pth,/home/595/sl9144/codes/snn_simulation/important_results/mne_stability_ablation_pilot/cifar10/mneablate_cifar10_weight_decay_rcnone_seed42_L16/noise_sweep_matrix_cifar10_vgg16_T16_mode_rate_uniform_schedule_normal_seed_42.csv
cifar10,vgg16,weight_decay,weight_decay,weight_decay,none,0.0005,42,16,16,rate_uniform,normal,post_input_if,gaussian,0.45,87.770000,cifar10-checkpoints/vgg16_L[16]_mneablate_cifar10_weight_decay_rcnone_seed42_L16.pth,/home/595/sl9144/codes/snn_simulation/important_results/mne_stability_ablation_pilot/cifar10/mneablate_cifar10_weight_decay_rcnone_seed42_L16/noise_sweep_matrix_cifar10_vgg16_T16_mode_rate_uniform_schedule_normal_seed_42.csv
