site,method,method_label,sigma,n,acc_mean,acc_std
post_if1,elastic_net_all,Elastic Net (all params),0,1,81.590000,0.000000
post_if1,elastic_net_all,Elastic Net (all params),0.25,1,73.636667,0.000000
post_if1,elastic_net_all,Elastic Net (all params),0.5,1,46.250000,0.000000
post_if1,elastic_net_all,Elastic Net (all params),1,1,22.610000,0.000000
post_if1,l1_all,L1 (all params),0,1,81.190000,0.000000
post_if1,l1_all,L1 (all params),0.25,1,78.350000,0.000000
post_if1,l1_all,L1 (all params),0.5,1,66.313333,0.000000
post_if1,l1_all,L1 (all params),1,1,35.196667,0.000000
post_if1,no_reg_current,No Reg,0,1,82.070000,0.000000
post_if1,no_reg_current,No Reg,0.25,1,78.546667,0.000000
post_if1,no_reg_current,No Reg,0.5,1,66.973333,0.000000
post_if1,no_reg_current,No Reg,1,1,35.430000,0.000000
post_if1,old_detach_current,MNE-L2,0,1,81.940000,0.000000
post_if1,old_detach_current,MNE-L2,0.25,1,80.026667,0.000000
post_if1,old_detach_current,MNE-L2,0.5,1,69.640000,0.000000
post_if1,old_detach_current,MNE-L2,1,1,38.710000,0.000000
post_if1,scale_l2,Scale-L2 diagnostic,0,1,82.210000,0.000000
post_if1,scale_l2,Scale-L2 diagnostic,0.25,1,75.203333,0.000000
post_if1,scale_l2,Scale-L2 diagnostic,0.5,1,52.696667,0.000000
post_if1,scale_l2,Scale-L2 diagnostic,1,1,25.116667,0.000000
post_if1,wd_all_current,WD (all params),0,1,81.710000,0.000000
post_if1,wd_all_current,WD (all params),0.25,1,75.970000,0.000000
post_if1,wd_all_current,WD (all params),0.5,1,50.043333,0.000000
post_if1,wd_all_current,WD (all params),1,1,24.903333,0.000000
post_if1,wd_weight_only,WD (weights only),0,1,82.190000,0.000000
post_if1,wd_weight_only,WD (weights only),0.25,1,77.530000,0.000000
post_if1,wd_weight_only,WD (weights only),0.5,1,62.343333,0.000000
post_if1,wd_weight_only,WD (weights only),1,1,30.776667,0.000000
