dataset,model,method,method_label,seed,L,T,site,sigma,noise_repeat,noise_seed,accuracy,checkpoint
fashion_mnist,cnn2,old_detach_current,MNE-L2,42,16,16,post_if1,0,0,20302801,81.940000,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/QCFS_simulation/fashion_mnist-checkpoints/cnn2_L[16]_fashion_spectral_mne_cnn2_old_detach_current_rc0p0001_seed42_ep30_L16_trainT0.pth
fashion_mnist,cnn2,old_detach_current,MNE-L2,42,16,16,post_if1,0.25,0,20302901,80.180000,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/QCFS_simulation/fashion_mnist-checkpoints/cnn2_L[16]_fashion_spectral_mne_cnn2_old_detach_current_rc0p0001_seed42_ep30_L16_trainT0.pth
fashion_mnist,cnn2,old_detach_current,MNE-L2,42,16,16,post_if1,0.25,1,20302902,79.880000,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/QCFS_simulation/fashion_mnist-checkpoints/cnn2_L[16]_fashion_spectral_mne_cnn2_old_detach_current_rc0p0001_seed42_ep30_L16_trainT0.pth
fashion_mnist,cnn2,old_detach_current,MNE-L2,42,16,16,post_if1,0.25,2,20302903,80.020000,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/QCFS_simulation/fashion_mnist-checkpoints/cnn2_L[16]_fashion_spectral_mne_cnn2_old_detach_current_rc0p0001_seed42_ep30_L16_trainT0.pth
fashion_mnist,cnn2,old_detach_current,MNE-L2,42,16,16,post_if1,0.5,0,20303001,69.930000,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/QCFS_simulation/fashion_mnist-checkpoints/cnn2_L[16]_fashion_spectral_mne_cnn2_old_detach_current_rc0p0001_seed42_ep30_L16_trainT0.pth
fashion_mnist,cnn2,old_detach_current,MNE-L2,42,16,16,post_if1,0.5,1,20303002,69.470000,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/QCFS_simulation/fashion_mnist-checkpoints/cnn2_L[16]_fashion_spectral_mne_cnn2_old_detach_current_rc0p0001_seed42_ep30_L16_trainT0.pth
fashion_mnist,cnn2,old_detach_current,MNE-L2,42,16,16,post_if1,0.5,2,20303003,69.520000,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/QCFS_simulation/fashion_mnist-checkpoints/cnn2_L[16]_fashion_spectral_mne_cnn2_old_detach_current_rc0p0001_seed42_ep30_L16_trainT0.pth
fashion_mnist,cnn2,old_detach_current,MNE-L2,42,16,16,post_if1,1,0,20303101,38.840000,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/QCFS_simulation/fashion_mnist-checkpoints/cnn2_L[16]_fashion_spectral_mne_cnn2_old_detach_current_rc0p0001_seed42_ep30_L16_trainT0.pth
fashion_mnist,cnn2,old_detach_current,MNE-L2,42,16,16,post_if1,1,1,20303102,38.730000,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/QCFS_simulation/fashion_mnist-checkpoints/cnn2_L[16]_fashion_spectral_mne_cnn2_old_detach_current_rc0p0001_seed42_ep30_L16_trainT0.pth
fashion_mnist,cnn2,old_detach_current,MNE-L2,42,16,16,post_if1,1,2,20303103,38.560000,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/QCFS_simulation/fashion_mnist-checkpoints/cnn2_L[16]_fashion_spectral_mne_cnn2_old_detach_current_rc0p0001_seed42_ep30_L16_trainT0.pth
fashion_mnist,cnn2,l1_all,L1 (all params),42,16,16,post_if1,0,0,20302801,81.190000,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/QCFS_simulation/fashion_mnist-checkpoints/cnn2_L[16]_fashion_spectral_mne_cnn2_l1_all_rc1em05_seed42_ep30_L16_trainT0.pth
fashion_mnist,cnn2,l1_all,L1 (all params),42,16,16,post_if1,0.25,0,20302901,78.510000,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/QCFS_simulation/fashion_mnist-checkpoints/cnn2_L[16]_fashion_spectral_mne_cnn2_l1_all_rc1em05_seed42_ep30_L16_trainT0.pth
fashion_mnist,cnn2,l1_all,L1 (all params),42,16,16,post_if1,0.25,1,20302902,78.360000,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/QCFS_simulation/fashion_mnist-checkpoints/cnn2_L[16]_fashion_spectral_mne_cnn2_l1_all_rc1em05_seed42_ep30_L16_trainT0.pth
fashion_mnist,cnn2,l1_all,L1 (all params),42,16,16,post_if1,0.25,2,20302903,78.180000,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/QCFS_simulation/fashion_mnist-checkpoints/cnn2_L[16]_fashion_spectral_mne_cnn2_l1_all_rc1em05_seed42_ep30_L16_trainT0.pth
fashion_mnist,cnn2,l1_all,L1 (all params),42,16,16,post_if1,0.5,0,20303001,66.230000,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/QCFS_simulation/fashion_mnist-checkpoints/cnn2_L[16]_fashion_spectral_mne_cnn2_l1_all_rc1em05_seed42_ep30_L16_trainT0.pth
fashion_mnist,cnn2,l1_all,L1 (all params),42,16,16,post_if1,0.5,1,20303002,66.430000,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/QCFS_simulation/fashion_mnist-checkpoints/cnn2_L[16]_fashion_spectral_mne_cnn2_l1_all_rc1em05_seed42_ep30_L16_trainT0.pth
fashion_mnist,cnn2,l1_all,L1 (all params),42,16,16,post_if1,0.5,2,20303003,66.280000,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/QCFS_simulation/fashion_mnist-checkpoints/cnn2_L[16]_fashion_spectral_mne_cnn2_l1_all_rc1em05_seed42_ep30_L16_trainT0.pth
