method,layer_index,layer,lambda,rms_gamma_over_lambda,g_fro,g_spec,activation_rms,sigma_eff,d50,rho,p_cross
L1-all,0,layer1.2,1.364100,1.766200,34.006300,169.628600,33.226900,0.000000,7.667700,nan,0.000000
L1-all,1,layer1.6,3.920100,0.508400,6.554700,13.438600,39.550200,6.303800,16.448700,2.609300,0.182200
L1-all,2,layer2.2,2.482900,0.539500,12.001300,33.174300,22.748400,4.607400,9.704900,2.106400,0.215500
L1-all,3,layer2.6,3.083400,0.394100,7.381600,21.093000,28.066300,6.411300,16.544800,2.580600,0.154000
L1-all,4,layer3.2,2.579100,0.329400,9.862000,33.528000,21.046200,3.097700,12.902800,4.165200,0.119000
L1-all,5,layer3.6,2.501700,0.244200,7.199800,25.584400,15.346800,2.131100,6.451200,3.027200,0.066900
L1-all,6,layer3.10,1.861400,0.306500,7.848800,35.386600,12.511500,1.702100,0.930700,0.546800,0.060800
L1-all,7,layer4.2,4.733700,0.106200,2.537800,12.987300,12.583400,1.373000,2.366900,1.723800,0.039200
L1-all,8,layer4.6,6.411800,0.072900,0.714300,3.373400,11.040400,1.166000,3.206000,2.749600,0.035000
L1-all,9,layer4.10,7.374100,0.057900,0.441000,2.062900,10.589400,1.177200,3.687100,3.132000,0.032300
L1-all,10,layer5.2,4.538400,0.106700,1.128900,5.811600,12.269200,1.369000,2.269600,1.657800,0.085900
L1-all,11,layer5.6,5.144500,0.088200,1.074600,4.875000,11.332800,1.334700,2.572400,1.927300,0.079800
L1-all,12,layer5.10,1.158000,0.224300,2.274900,10.066200,6.632600,0.794300,0.579000,0.728900,0.090000
L1-all,13,classifier.2,1.018600,nan,2.137400,41.830400,2.835500,0.305600,0.509300,1.666200,0.014400
L1-all,14,classifier.5,0.387100,nan,4.973700,75.863000,2.651400,0.249800,0.193600,0.775000,0.038800
MNE-all,0,layer1.2,0.385200,1.454200,25.435400,103.086600,8.328900,0.000000,1.263300,nan,0.000000
MNE-all,1,layer1.6,0.726700,0.682100,24.331400,51.798900,9.949500,4.334400,5.626800,1.298200,0.262900
MNE-all,2,layer2.2,0.945200,0.408800,29.594700,71.720200,6.285500,4.070200,3.081800,0.757200,0.288900
MNE-all,3,layer2.6,0.846200,0.459100,19.944400,63.946500,8.258900,4.987900,4.638800,0.930000,0.338300
MNE-all,4,layer3.2,0.855300,0.360600,27.302800,63.254600,7.160300,3.579200,4.236200,1.183500,0.245300
MNE-all,5,layer3.6,0.766600,0.344700,24.725800,78.056300,6.954700,3.056300,4.722000,1.545000,0.185600
MNE-all,6,layer3.10,0.664600,0.290900,21.360300,88.929600,4.201900,1.724100,3.600200,2.088200,0.138000
MNE-all,7,layer4.2,0.420900,0.303700,16.191500,79.380100,2.100700,0.880700,0.830800,0.943300,0.302900
MNE-all,8,layer4.6,0.284700,0.420700,26.715500,135.224700,3.163200,1.177400,1.217800,1.034300,0.287400
MNE-all,9,layer4.10,0.377500,0.270500,17.925200,70.721000,2.387700,0.979200,0.371300,0.379200,0.363000
MNE-all,10,layer5.2,0.406000,0.270700,12.271700,70.182600,2.654300,1.070100,0.203000,0.189700,0.429900
MNE-all,11,layer5.6,0.353100,0.313700,14.952000,62.838000,2.694000,1.137200,0.176900,0.155500,0.415500
MNE-all,12,layer5.10,0.483900,0.309100,12.031200,62.739000,3.411500,1.520500,0.231000,0.151900,0.470200
MNE-all,13,classifier.2,0.388000,nan,6.488800,122.400800,2.144000,0.895100,0.276900,0.309400,0.247400
MNE-all,14,classifier.5,0.307300,nan,8.085100,132.017500,2.416900,0.931300,0.163500,0.175500,0.351800
L2-all,0,layer1.2,0.233500,1.665400,31.065100,152.755900,5.226100,0.000000,0.116800,nan,0.000000
L2-all,1,layer1.6,0.563200,0.587800,37.616700,130.154300,6.746400,5.193700,2.428500,0.467600,0.300300
L2-all,2,layer2.2,0.530700,0.482800,46.431400,134.395100,4.465100,4.813200,1.883500,0.391300,0.314800
L2-all,3,layer2.6,0.591000,0.420300,31.945300,96.215800,5.048100,3.931200,2.877700,0.732000,0.366600
L2-all,4,layer3.2,0.576400,0.330400,39.732500,92.801100,4.471800,3.978100,2.488500,0.625600,0.339600
L2-all,5,layer3.6,0.505000,0.328800,32.018000,76.959800,4.148000,3.400400,2.611400,0.768000,0.257200
L2-all,6,layer3.10,0.326300,0.446300,46.769800,164.844000,3.252400,2.719700,1.942700,0.714300,0.282700
L2-all,7,layer4.2,0.287600,0.347400,56.339600,237.013000,2.494800,2.281400,1.311600,0.574900,0.399300
L2-all,8,layer4.6,0.148500,0.530200,53.951700,260.886300,2.049500,1.927700,0.794000,0.411900,0.484100
L2-all,9,layer4.10,0.316600,0.199800,12.414900,76.110100,1.469400,1.477800,0.156700,0.106000,0.615800
L2-all,10,layer5.2,0.231600,0.319400,15.869600,104.263800,1.798400,1.816800,0.115800,0.063800,0.624900
L2-all,11,layer5.6,0.184500,0.398900,21.143300,127.932500,1.753700,1.769200,0.093100,0.052600,0.643000
L2-all,12,layer5.10,0.535700,0.292700,15.005500,87.081200,3.723800,3.646500,0.239500,0.065700,0.710600
L2-all,13,classifier.2,0.462400,nan,2.613500,56.490900,1.732500,1.556000,0.231200,0.148600,0.227100
L2-all,14,classifier.5,0.527700,nan,2.598200,58.364900,2.358400,2.124300,0.263900,0.124200,0.228000
Weights-only,0,layer1.2,1.012500,2.284700,41.247400,184.310700,33.060600,0.000000,7.838700,nan,0.000000
Weights-only,1,layer1.6,3.196400,0.645200,9.430100,23.342300,45.024500,7.394000,23.592100,3.190700,0.161900
Weights-only,2,layer2.2,3.124700,0.493100,8.533900,24.866900,26.853900,3.943100,10.246500,2.598600,0.199500
Weights-only,3,layer2.6,3.469800,0.392200,4.990800,15.983600,29.624000,4.129000,17.342000,4.200100,0.126300
Weights-only,4,layer3.2,3.697200,0.313600,8.023300,21.069300,27.760500,3.031100,16.840600,5.555900,0.120800
Weights-only,5,layer3.6,2.694000,0.360600,5.983900,20.549600,24.418300,2.451600,16.016600,6.533100,0.098200
Weights-only,6,layer3.10,3.535300,0.255700,5.384800,20.595400,20.582800,2.124800,12.120400,5.704300,0.087300
Weights-only,7,layer4.2,5.625700,0.169400,4.514300,17.492200,23.157300,2.092100,11.802600,5.641600,0.080600
Weights-only,8,layer4.6,7.287100,0.137400,1.232200,6.362200,25.746000,1.992500,8.857100,4.445300,0.082000
Weights-only,9,layer4.10,7.471200,0.134700,0.490600,3.141500,26.434500,1.890500,4.537600,2.400300,0.091700
Weights-only,10,layer5.2,5.863000,0.175700,0.652800,4.190000,27.168400,1.914200,2.787500,1.456200,0.125300
Weights-only,11,layer5.6,6.059100,0.168800,0.609700,3.354300,26.547600,1.980000,2.977600,1.503800,0.120200
Weights-only,12,layer5.10,1.760000,0.329700,1.270700,6.492900,14.279300,1.100300,6.671900,6.063600,0.146000
Weights-only,13,classifier.2,0.955200,nan,1.200700,23.303100,3.129300,0.220900,0.709200,3.210500,0.038200
Weights-only,14,classifier.5,0.761500,nan,1.735300,35.602500,3.231400,0.195600,0.987900,5.051900,0.030400
Weights+BN-gamma,0,layer1.2,0.221900,1.868900,35.181300,166.280800,6.981500,0.000000,1.816300,nan,0.000000
Weights+BN-gamma,1,layer1.6,0.619000,0.695800,45.554700,166.484100,9.541200,6.917900,3.988600,0.576600,0.342800
Weights+BN-gamma,2,layer2.2,0.587600,0.501000,43.668900,119.370200,5.148200,6.022300,2.213700,0.367600,0.327000
Weights+BN-gamma,3,layer2.6,0.864800,0.388500,26.227900,85.622800,7.495200,5.443800,4.319000,0.793400,0.330600
Weights+BN-gamma,4,layer3.2,0.757700,0.309600,31.478700,86.793400,6.021700,4.586900,3.750800,0.817700,0.292400
Weights+BN-gamma,5,layer3.6,0.505000,0.403100,35.296300,119.866400,5.328700,3.906500,3.448100,0.882600,0.248100
Weights+BN-gamma,6,layer3.10,0.676100,0.272000,26.560200,101.919100,4.628100,3.306100,2.587800,0.782700,0.245000
Weights+BN-gamma,7,layer4.2,0.275700,0.441100,63.679900,295.008600,3.439300,2.847600,1.991600,0.699400,0.340600
Weights+BN-gamma,8,layer4.6,0.163600,0.444200,38.942200,211.162000,1.920700,1.815200,0.436900,0.240700,0.608700
Weights+BN-gamma,9,layer4.10,0.451200,0.140000,6.017200,43.763600,1.552100,1.517900,0.193500,0.127500,0.657400
Weights+BN-gamma,10,layer5.2,0.246500,0.306300,12.085600,85.119200,1.805000,1.829700,0.114800,0.062700,0.673100
Weights+BN-gamma,11,layer5.6,0.200400,0.378800,18.015700,112.423300,1.822000,1.815500,0.094900,0.052200,0.708600
Weights+BN-gamma,12,layer5.10,0.699400,0.231100,10.464500,64.559200,4.271000,3.851100,0.269500,0.070000,0.739500
Weights+BN-gamma,13,classifier.2,0.634500,nan,1.917500,43.055400,2.084200,1.858800,0.558700,0.300600,0.161800
Weights+BN-gamma,14,classifier.5,0.740500,nan,1.830200,41.136900,2.634800,2.428700,0.899300,0.370300,0.107700
MNE-standard,0,layer1.2,2.096400,1.167300,19.935200,89.932600,36.179700,0.000000,7.374800,nan,0.000000
MNE-standard,1,layer1.6,4.429900,0.531000,4.420900,11.340600,43.924900,4.799100,18.356100,3.824900,0.149600
MNE-standard,2,layer2.2,3.619700,0.470000,7.218100,21.141200,29.130900,3.029500,13.120000,4.330800,0.147600
MNE-standard,3,layer2.6,3.703900,0.415900,5.378700,17.675500,33.824500,4.389600,19.058000,4.341600,0.127800
MNE-standard,4,layer3.2,3.551400,0.357000,6.826600,21.796700,29.842000,2.567500,17.634300,6.868400,0.103800
MNE-standard,5,layer3.6,2.976300,0.363700,6.276600,18.101700,27.358300,2.412300,17.348400,7.191800,0.092700
MNE-standard,6,layer3.10,3.317600,0.307100,5.493100,20.632600,22.334600,2.109700,11.802700,5.594500,0.093800
MNE-standard,7,layer4.2,4.477300,0.215000,5.326600,20.563900,23.808800,1.784200,10.890800,6.104100,0.084700
MNE-standard,8,layer4.6,6.453700,0.157500,1.930300,7.910400,27.414300,1.824200,10.426700,5.715700,0.069500
MNE-standard,9,layer4.10,7.012900,0.145600,1.054500,3.437500,26.049800,1.684400,5.094200,3.024300,0.080800
MNE-standard,10,layer5.2,5.159500,0.202900,1.479100,5.079100,28.511900,1.743700,3.462900,1.986000,0.111000
MNE-standard,11,layer5.6,4.916300,0.214000,1.344200,4.896300,27.936200,1.826600,4.236300,2.319200,0.117000
MNE-standard,12,layer5.10,1.032500,0.622000,3.317000,16.909900,18.824700,1.066100,9.731900,9.128400,0.090700
MNE-standard,13,classifier.2,0.358400,nan,6.505900,112.332600,2.968000,0.164200,1.089800,6.638300,0.050800
MNE-standard,14,classifier.5,0.259500,nan,10.245600,176.283000,2.152800,0.109800,1.327100,12.086000,0.038500
