method,scale_mode,level_name,actual_sigma,n_repeats,acc_mean,acc_std
L1-all,snr,clean,0.000000,1,89.850000,0.000000
L1-all,snr,snr_30dB,0.018130,5,89.812000,0.022804
L1-all,snr,snr_20dB,0.057333,5,89.822000,0.043818
L1-all,snr,snr_15dB,0.101953,5,89.782000,0.038987
L1-all,snr,snr_10dB,0.181301,5,89.748000,0.081670
L1-all,snr,snr_5dB,0.322405,5,89.752000,0.060581
L1-all,snr,snr_0dB,0.573325,5,89.594000,0.066933
L1-all,absolute,sigma_0,0.000000,1,89.850000,0.000000
L1-all,absolute,sigma_0.25,0.250000,5,89.812000,0.046583
L1-all,absolute,sigma_0.5,0.500000,5,89.602000,0.083487
L1-all,absolute,sigma_0.75,0.750000,5,89.526000,0.141527
L1-all,absolute,sigma_1,1.000000,5,89.328000,0.128335
L1-all,lambda_relative,alpha_0,0.000000,1,89.850000,0.000000
L1-all,lambda_relative,alpha_0.05,0.068203,5,89.830000,0.048477
L1-all,lambda_relative,alpha_0.1,0.136406,5,89.790000,0.051478
L1-all,lambda_relative,alpha_0.2,0.272813,5,89.754000,0.049800
L1-all,lambda_relative,alpha_0.3,0.409219,5,89.688000,0.090388
L1-all,lambda_relative,alpha_0.5,0.682032,5,89.524000,0.043359
L1-all,lambda_relative,alpha_1,1.364060,5,88.734000,0.099146
L1-all,activation_relative,alpha_0,0.000000,1,89.850000,0.000000
L1-all,activation_relative,alpha_0.05,0.028666,5,89.810000,0.029155
L1-all,activation_relative,alpha_0.1,0.057333,5,89.818000,0.017889
L1-all,activation_relative,alpha_0.2,0.114665,5,89.814000,0.023022
L1-all,activation_relative,alpha_0.3,0.171998,5,89.822000,0.054955
L1-all,activation_relative,alpha_0.5,0.286663,5,89.752000,0.077266
L1-all,activation_relative,alpha_1,0.573325,5,89.598000,0.099599
MNE-all,snr,clean,0.000000,1,89.550000,0.000000
MNE-all,snr,snr_30dB,0.005391,5,89.528000,0.037683
MNE-all,snr,snr_20dB,0.017049,5,89.530000,0.052440
MNE-all,snr,snr_15dB,0.030318,5,89.466000,0.041593
MNE-all,snr,snr_10dB,0.053914,5,89.460000,0.054314
MNE-all,snr,snr_5dB,0.095875,5,89.442000,0.045497
MNE-all,snr,snr_0dB,0.170492,5,89.470000,0.096695
MNE-all,absolute,sigma_0,0.000000,1,89.550000,0.000000
MNE-all,absolute,sigma_0.25,0.250000,5,89.382000,0.034928
MNE-all,absolute,sigma_0.5,0.500000,5,88.380000,0.053852
MNE-all,absolute,sigma_0.75,0.750000,5,85.516000,0.151427
MNE-all,absolute,sigma_1,1.000000,5,80.064000,0.319969
MNE-all,lambda_relative,alpha_0,0.000000,1,89.550000,0.000000
MNE-all,lambda_relative,alpha_0.05,0.019259,5,89.508000,0.030332
MNE-all,lambda_relative,alpha_0.1,0.038518,5,89.494000,0.087350
MNE-all,lambda_relative,alpha_0.2,0.077036,5,89.440000,0.040620
MNE-all,lambda_relative,alpha_0.3,0.115554,5,89.444000,0.096592
MNE-all,lambda_relative,alpha_0.5,0.192591,5,89.390000,0.059161
MNE-all,lambda_relative,alpha_1,0.385181,5,88.998000,0.083487
MNE-all,activation_relative,alpha_0,0.000000,1,89.550000,0.000000
MNE-all,activation_relative,alpha_0.05,0.008525,5,89.506000,0.011402
MNE-all,activation_relative,alpha_0.1,0.017049,5,89.518000,0.019235
MNE-all,activation_relative,alpha_0.2,0.034098,5,89.526000,0.053198
MNE-all,activation_relative,alpha_0.3,0.051148,5,89.474000,0.040373
MNE-all,activation_relative,alpha_0.5,0.085246,5,89.454000,0.042190
MNE-all,activation_relative,alpha_1,0.170492,5,89.378000,0.087006
L2-all,snr,clean,0.000000,1,90.700000,0.000000
L2-all,snr,snr_30dB,0.003248,5,90.664000,0.029665
L2-all,snr,snr_20dB,0.010270,5,90.658000,0.028636
L2-all,snr,snr_15dB,0.018263,5,90.628000,0.048166
L2-all,snr,snr_10dB,0.032477,5,90.618000,0.048166
L2-all,snr,snr_5dB,0.057752,5,90.598000,0.077910
L2-all,snr,snr_0dB,0.102700,5,90.578000,0.048166
L2-all,absolute,sigma_0,0.000000,1,90.700000,0.000000
L2-all,absolute,sigma_0.25,0.250000,5,90.132000,0.069065
L2-all,absolute,sigma_0.5,0.500000,5,84.756000,0.228758
L2-all,absolute,sigma_0.75,0.750000,5,60.110000,0.341833
L2-all,absolute,sigma_1,1.000000,5,21.896000,0.096850
L2-all,lambda_relative,alpha_0,0.000000,1,90.700000,0.000000
L2-all,lambda_relative,alpha_0.05,0.011675,5,90.660000,0.032404
L2-all,lambda_relative,alpha_0.1,0.023350,5,90.654000,0.044497
L2-all,lambda_relative,alpha_0.2,0.046700,5,90.662000,0.059749
L2-all,lambda_relative,alpha_0.3,0.070051,5,90.584000,0.054589
L2-all,lambda_relative,alpha_0.5,0.116751,5,90.496000,0.055045
L2-all,lambda_relative,alpha_1,0.233502,5,90.232000,0.113886
L2-all,activation_relative,alpha_0,0.000000,1,90.700000,0.000000
L2-all,activation_relative,alpha_0.05,0.005135,5,90.648000,0.014832
L2-all,activation_relative,alpha_0.1,0.010270,5,90.650000,0.043012
L2-all,activation_relative,alpha_0.2,0.020540,5,90.624000,0.045056
L2-all,activation_relative,alpha_0.3,0.030810,5,90.652000,0.039623
L2-all,activation_relative,alpha_0.5,0.051350,5,90.596000,0.054129
L2-all,activation_relative,alpha_1,0.102700,5,90.594000,0.057706
Weights-only,snr,clean,0.000000,1,91.170000,0.000000
Weights-only,snr,snr_30dB,0.015766,5,91.134000,0.005477
Weights-only,snr,snr_20dB,0.049855,5,91.130000,0.052440
