method,label,sigma,acc_mean,acc_std,n_seeds
mne_l2,mne_l2 rc=1e-4,0.00,90.378000,0.144983,5
mne_l2,mne_l2 rc=1e-4,0.05,90.340000,0.157639,5
mne_l2,mne_l2 rc=1e-4,0.10,90.346000,0.163493,5
mne_l2,mne_l2 rc=1e-4,0.15,90.288000,0.134425,5
mne_l2,mne_l2 rc=1e-4,0.20,90.334000,0.170382,5
mne_l2,mne_l2 rc=1e-4,0.25,90.348000,0.116060,5
mne_l2,mne_l2 rc=1e-4,0.30,90.304000,0.131453,5
mne_l2,mne_l2 rc=1e-4,0.35,90.328000,0.151559,5
mne_l2,mne_l2 rc=1e-4,0.40,90.302000,0.189658,5
mne_l2,mne_l2 rc=1e-4,0.45,90.328000,0.156589,5
mne_l2,mne_l2 rc=1e-4,0.50,90.304000,0.131263,5
mne_l2,mne_l2 rc=1e-4,0.55,90.266000,0.172714,5
mne_l2,mne_l2 rc=1e-4,0.60,90.252000,0.158493,5
mne_l2,mne_l2 rc=1e-4,0.65,90.300000,0.109772,5
mne_l2,mne_l2 rc=1e-4,0.70,90.260000,0.129615,5
mne_l2,mne_l2 rc=1e-4,0.75,90.202000,0.164833,5
mne_l2,mne_l2 rc=1e-4,0.80,90.278000,0.196138,5
mne_l2,mne_l2 rc=1e-4,0.85,90.228000,0.153199,5
mne_l2,mne_l2 rc=1e-4,0.90,90.194000,0.237550,5
mne_l2,mne_l2 rc=1e-4,0.95,90.170000,0.141951,5
mne_l2,mne_l2 rc=1e-4,1.00,90.120000,0.183303,5
weight_decay,weight_decay,0.00,90.594000,0.132401,5
weight_decay,weight_decay,0.05,90.520000,0.175642,5
weight_decay,weight_decay,0.10,90.490000,0.200125,5
weight_decay,weight_decay,0.15,90.414000,0.161957,5
weight_decay,weight_decay,0.20,90.272000,0.125778,5
weight_decay,weight_decay,0.25,90.046000,0.154370,5
weight_decay,weight_decay,0.30,89.702000,0.157226,5
weight_decay,weight_decay,0.35,89.104000,0.200574,5
weight_decay,weight_decay,0.40,88.078000,0.325146,5
weight_decay,weight_decay,0.45,86.924000,0.603266,5
weight_decay,weight_decay,0.50,85.080000,0.775016,5
weight_decay,weight_decay,0.55,82.684000,1.168452,5
weight_decay,weight_decay,0.60,79.018000,1.692696,5
weight_decay,weight_decay,0.65,74.724000,2.724166,5
weight_decay,weight_decay,0.70,68.872000,3.945956,5
weight_decay,weight_decay,0.75,61.562000,5.568247,5
weight_decay,weight_decay,0.80,53.174000,7.036610,5
weight_decay,weight_decay,0.85,44.162000,8.155561,5
weight_decay,weight_decay,0.90,35.756000,8.358309,5
weight_decay,weight_decay,0.95,28.752000,7.824016,5
weight_decay,weight_decay,1.00,23.200000,6.438979,5
l1,l1 rc=1e-5,0.00,89.874000,0.199700,5
l1,l1 rc=1e-5,0.05,89.852000,0.178382,5
l1,l1 rc=1e-5,0.10,89.806000,0.173580,5
l1,l1 rc=1e-5,0.15,89.824000,0.233410,5
l1,l1 rc=1e-5,0.20,89.848000,0.234030,5
l1,l1 rc=1e-5,0.25,89.806000,0.193339,5
l1,l1 rc=1e-5,0.30,89.782000,0.195371,5
l1,l1 rc=1e-5,0.35,89.832000,0.226318,5
l1,l1 rc=1e-5,0.40,89.750000,0.187350,5
l1,l1 rc=1e-5,0.45,89.794000,0.161957,5
l1,l1 rc=1e-5,0.50,89.740000,0.225278,5
l1,l1 rc=1e-5,0.55,89.698000,0.172974,5
l1,l1 rc=1e-5,0.60,89.756000,0.170382,5
l1,l1 rc=1e-5,0.65,89.770000,0.157003,5
l1,l1 rc=1e-5,0.70,89.644000,0.256281,5
l1,l1 rc=1e-5,0.75,89.710000,0.311528,5
l1,l1 rc=1e-5,0.80,89.740000,0.184797,5
l1,l1 rc=1e-5,0.85,89.698000,0.189658,5
l1,l1 rc=1e-5,0.90,89.594000,0.162573,5
l1,l1 rc=1e-5,0.95,89.604000,0.122188,5
l1,l1 rc=1e-5,1.00,89.508000,0.194859,5
